CAN Message, 0x1d3:0000a1dffb91b434,Timestamp,Amplitude
,,1739209672.5062256,-45.120503652039325
,,1739209672.5062327,-45.120503652039325
,,1739209672.5062397,-38.13080360867914
,,1739209672.5062466,-45.120503652039325
,,1739209672.5062535,-38.13080360867914
,,1739209672.5062604,-38.13080360867914
,,1739209672.5062673,-38.13080360867914
,,1739209672.5062742,-38.13080360867914
,,1739209672.5062811,-45.120503652039325
,,1739209672.5062883,-38.13080360867914
,,1739209672.5062952,-35.57807855764607
,,1739209672.506302,-38.13080360867914
,,1739209672.506309,-38.13080360867914
,,1739209672.506316,-35.57807855764607
,,1739209672.5063229,-33.981070128970906
,,1739209672.5063298,-33.981070128970906
,,1739209672.5063367,-45.120503652039325
,,1739209672.5063438,-45.120503652039325
,,1739209672.5063508,-45.120503652039325
,,1739209672.5063577,-45.120503652039325
,,1739209672.5063646,-45.120503652039325
,,1739209672.5063715,-45.120503652039325
,,1739209672.5063784,-32.816014438256545
,,1739209672.506385,-31.141103565318915
,,1739209672.5063922,-38.13080360867914
,,1739209672.5063992,-45.120503652039325
,,1739209672.5064063,-35.57807855764607
,,1739209672.5064132,-35.57807855764607
,,1739209672.50642,-45.120503652039325
,,1739209672.506427,-45.120503652039325
,,1739209672.506434,-38.13080360867914
,,1739209672.5064409,-38.13080360867914
,,1739209672.5064478,-38.13080360867914
,,1739209672.5064547,-38.13080360867914
,,1739209672.506462,-38.13080360867914
,,1739209672.5064688,-45.120503652039325
,,1739209672.5064757,-38.13080360867914
,,1739209672.5064826,-38.13080360867914
,,1739209672.5064895,-38.13080360867914
,,1739209672.5064964,-32.816014438256545
,,1739209672.506503,-33.981070128970906
,,1739209672.5065105,-45.120503652039325
,,1739209672.5065174,-45.120503652039325
,,1739209672.5065243,-38.13080360867914
,,1739209672.5065312,-33.981070128970906
,,1739209672.5065382,-33.981070128970906
,,1739209672.506545,-38.13080360867914
,,1739209672.506552,-38.13080360867914
,,1739209672.506559,-30.49652367304973
,,1739209672.5065658,-27.877744956031417
,,1739209672.506573,-15.064409198436486
,,1739209672.50658,-38.13080360867914
,,1739209672.5065868,-33.981070128970906
,,1739209672.5065937,-45.120503652039325
,,1739209672.5066006,-45.120503652039325
,,1739209672.5066075,-38.13080360867914
,,1739209672.5066144,-35.57807855764607
,,1739209672.5066214,-38.13080360867914
,,1739209672.5066285,-38.13080360867914
,,1739209672.5066354,-33.981070128970906
,,1739209672.5066423,-33.981070128970906
