CAN Message, 0x98:00006cb25d5cfe17,Timestamp,Amplitude
,,1739209898.685085,-45.120503652039325
,,1739209898.6850922,-38.13080360867914
,,1739209898.6850996,-35.57807855764607
,,1739209898.6851068,-38.13080360867914
,,1739209898.685114,-45.120503652039325
,,1739209898.6851215,-31.141103565318893
,,1739209898.6851287,-38.13080360867914
,,1739209898.685136,-45.120503652039325
,,1739209898.6851432,-33.981070128970906
,,1739209898.6851506,-31.141103565318915
,,1739209898.6851578,-33.981070128970906
,,1739209898.6851652,-45.120503652039325
,,1739209898.6851726,-38.13080360867914
,,1739209898.6851797,-38.13080360867914
,,1739209898.685187,-38.13080360867914
,,1739209898.6851945,-45.120503652039325
,,1739209898.6852016,-38.13080360867914
,,1739209898.6852088,-38.13080360867914
,,1739209898.6852162,-45.120503652039325
,,1739209898.6852236,-38.13080360867914
,,1739209898.6852307,-45.120503652039325
,,1739209898.685238,-30.49652367304973
,,1739209898.6852453,-35.57807855764607
,,1739209898.685253,-45.120503652039325
,,1739209898.68526,-38.13080360867914
,,1739209898.6852672,-38.13080360867914
,,1739209898.6852746,-38.13080360867914
,,1739209898.6852818,-45.120503652039325
,,1739209898.6852891,-45.120503652039325
,,1739209898.6852963,-45.120503652039325
,,1739209898.6853037,-45.120503652039325
,,1739209898.685311,-45.120503652039325
,,1739209898.6853182,-45.120503652039325
,,1739209898.6853256,-38.13080360867914
,,1739209898.6853328,-33.981070128970906
,,1739209898.6853402,-45.120503652039325
,,1739209898.6853473,-45.120503652039325
,,1739209898.6853547,-45.120503652039325
,,1739209898.685362,-38.13080360867914
,,1739209898.6853693,-45.120503652039325
,,1739209898.6853766,-45.120503652039325
,,1739209898.6853838,-35.57807855764607
,,1739209898.6853912,-35.57807855764607
,,1739209898.6853986,-45.120503652039325
,,1739209898.6854055,-45.120503652039325
,,1739209898.6854131,-45.120503652039325
,,1739209898.6854205,-38.13080360867914
,,1739209898.6854277,-35.57807855764607
,,1739209898.6854348,-38.13080360867914
,,1739209898.6854422,-18.636903542229977
,,1739209898.6854496,-17.16170347859854
,,1739209898.6854568,-45.120503652039325
,,1739209898.685464,-33.981070128970906
,,1739209898.6854713,-31.141103565318915
,,1739209898.6854787,-33.981070128970906
,,1739209898.6854858,-45.120503652039325
,,1739209898.6854932,-45.120503652039325
,,1739209898.6855006,-33.981070128970906
,,1739209898.6855078,-38.13080360867914
,,1739209898.6855152,-45.120503652039325
,,1739209898.6855223,-45.120503652039325
