CAN Message, 0x98:00006c2bd0ae3103,Timestamp,Amplitude
,,1739209723.676157,-35.57807855764607
,,1739209723.67616,-38.13080360867914
,,1739209723.676163,-45.120503652039325
,,1739209723.676166,-45.120503652039325
,,1739209723.676169,-38.13080360867914
,,1739209723.676172,-45.120503652039325
,,1739209723.676175,-45.120503652039325
,,1739209723.676178,-45.120503652039325
,,1739209723.676181,-45.120503652039325
,,1739209723.676184,-45.120503652039325
,,1739209723.676187,-38.13080360867914
,,1739209723.67619,-45.120503652039325
,,1739209723.676193,-38.13080360867914
,,1739209723.676196,-33.981070128970906
,,1739209723.676199,-38.13080360867914
,,1739209723.676202,-45.120503652039325
,,1739209723.676205,-35.57807855764607
,,1739209723.676208,-33.981070128970906
,,1739209723.6762109,-38.13080360867914
,,1739209723.676214,-38.13080360867914
,,1739209723.6762168,-33.981070128970906
,,1739209723.67622,-29.438486411369347
,,1739209723.676223,-24.589719217205094
,,1739209723.676226,-38.13080360867914
,,1739209723.676229,-38.13080360867914
,,1739209723.676232,-38.13080360867914
,,1739209723.676235,-38.13080360867914
,,1739209723.6762378,-38.13080360867914
,,1739209723.676241,-45.120503652039325
,,1739209723.6762438,-38.13080360867914
,,1739209723.676247,-35.57807855764607
,,1739209723.67625,-33.981070128970906
,,1739209723.6762528,-45.120503652039325
,,1739209723.676256,-38.13080360867914
,,1739209723.6762588,-38.13080360867914
,,1739209723.676262,-38.13080360867914
,,1739209723.6762648,-38.13080360867914
,,1739209723.676268,-26.99137008561072
,,1739209723.676271,-25.82631439489636
,,1739209723.6762738,-45.120503652039325
,,1739209723.676277,-35.57807855764607
,,1739209723.6762798,-31.141103565318915
,,1739209723.676283,-45.120503652039325
,,1739209723.6762855,-38.13080360867914
,,1739209723.6762888,-45.120503652039325
,,1739209723.6762917,-35.57807855764607
,,1739209723.6762948,-33.981070128970906
,,1739209723.676298,-38.13080360867914
,,1739209723.6763008,-45.120503652039325
,,1739209723.676304,-25.826314394896357
,,1739209723.6763067,-15.030246231170194
,,1739209723.6763098,-17.600019173844906
,,1739209723.6763127,-26.991370085610736
,,1739209723.6763158,-45.120503652039325
,,1739209723.676319,-38.13080360867914
,,1739209723.6763215,-38.13080360867914
,,1739209723.6763248,-45.120503652039325
,,1739209723.6763277,-38.13080360867914
,,1739209723.6763308,-31.141103565318915
,,1739209723.6763337,-45.120503652039325
,,1739209723.6763368,-38.13080360867914
