CAN Message, 0x62:051e5eae2734ba3a,Timestamp,Amplitude
,,1739209595.164344,-38.13080360867914
,,1739209595.1643472,-33.98107012897096
,,1739209595.1643505,-45.120503652039325
,,1739209595.1643531,-45.120503652039325
,,1739209595.1643562,-45.120503652039325
,,1739209595.164359,-45.120503652039325
,,1739209595.1643622,-38.13080360867914
,,1739209595.1643653,-35.57807855764607
,,1739209595.1643682,-38.13080360867914
,,1739209595.1643713,-45.120503652039325
,,1739209595.164374,-38.13080360867914
,,1739209595.1643772,-38.13080360867914
,,1739209595.1643803,-38.13080360867914
,,1739209595.1643832,-45.120503652039325
,,1739209595.1643865,-45.120503652039325
,,1739209595.1643891,-38.13080360867914
,,1739209595.1643922,-35.57807855764607
,,1739209595.164395,-32.816014438256545
,,1739209595.1643982,-38.13080360867914
,,1739209595.1644013,-45.120503652039325
,,1739209595.1644042,-38.13080360867914
,,1739209595.1644073,-32.816014438256545
,,1739209595.1644104,-33.981070128970906
,,1739209595.1644132,-45.120503652039325
,,1739209595.1644163,-38.13080360867914
,,1739209595.1644192,-38.13080360867914
,,1739209595.1644225,-38.13080360867914
,,1739209595.1644254,-38.13080360867914
,,1739209595.1644282,-38.13080360867914
,,1739209595.164431,-45.120503652039325
,,1739209595.1644342,-45.120503652039325
,,1739209595.1644373,-38.13080360867914
,,1739209595.1644402,-38.13080360867914
,,1739209595.1644433,-33.981070128970906
,,1739209595.1644464,-31.141103565318915
,,1739209595.1644492,-35.57807855764607
,,1739209595.1644523,-38.13080360867914
,,1739209595.1644552,-45.120503652039325
,,1739209595.1644585,-38.13080360867914
,,1739209595.1644614,-35.57807855764607
,,1739209595.1644642,-38.13080360867914
,,1739209595.164467,-45.120503652039325
,,1739209595.1644702,-32.816014438256545
,,1739209595.1644733,-35.57807855764607
,,1739209595.1644764,-38.13080360867914
,,1739209595.1644793,-45.120503652039325
,,1739209595.1644824,-45.120503652039325
,,1739209595.1644852,-38.13080360867914
,,1739209595.1644883,-35.57807855764607
