CAN Message, 0x1d3:00002814fc15b926,Timestamp,Amplitude
,,1739209784.8588908,-38.13080360867914
,,1739209784.8588932,-38.13080360867914
,,1739209784.8588955,-33.981070128970906
,,1739209784.8588982,-38.13080360867914
,,1739209784.8589003,-45.120503652039325
,,1739209784.858903,-38.13080360867914
,,1739209784.8589056,-33.981070128970906
,,1739209784.858908,-45.120503652039325
,,1739209784.8589103,-45.120503652039325
,,1739209784.8589127,-35.57807855764607
,,1739209784.858915,-38.13080360867914
,,1739209784.8589177,-38.13080360867914
,,1739209784.85892,-38.13080360867914
,,1739209784.8589225,-38.13080360867914
,,1739209784.858925,-31.141103565318915
,,1739209784.8589275,-38.13080360867914
,,1739209784.85893,-45.120503652039325
,,1739209784.8589325,-33.981070128970906
,,1739209784.8589349,-33.981070128970906
,,1739209784.8589373,-38.13080360867914
,,1739209784.8589396,-38.13080360867914
,,1739209784.8589425,-38.13080360867914
,,1739209784.858945,-38.13080360867914
,,1739209784.858947,-38.13080360867914
,,1739209784.8589494,-38.13080360867914
,,1739209784.858952,-45.120503652039325
,,1739209784.8589544,-33.981070128970906
,,1739209784.8589568,-28.992665084841946
,,1739209784.8589592,-45.120503652039325
,,1739209784.8589618,-45.120503652039325
,,1739209784.8589642,-45.120503652039325
,,1739209784.8589666,-33.981070128970906
,,1739209784.858969,-38.13080360867914
,,1739209784.8589716,-45.120503652039325
,,1739209784.858974,-33.981070128970906
,,1739209784.8589764,-32.81601443825658
,,1739209784.858979,-38.13080360867914
,,1739209784.8589814,-38.13080360867914
,,1739209784.8589838,-38.13080360867914
,,1739209784.858986,-38.13080360867914
,,1739209784.8589888,-38.13080360867914
,,1739209784.8589911,-38.13080360867914
,,1739209784.8589935,-38.13080360867914
,,1739209784.858996,-45.120503652039325
,,1739209784.8589983,-45.120503652039325
,,1739209784.859001,-32.816014438256545
,,1739209784.8590033,-32.816014438256545
,,1739209784.8590057,-38.13080360867914
,,1739209784.8590083,-38.13080360867914
,,1739209784.8590107,-30.49652367304973
,,1739209784.859013,-10.50101870000167
