CAN Message, 0x24:0e3dc7622b3dab4a,Timestamp,Amplitude
,,1739209609.9211988,-45.120503652039325
,,1739209609.9212058,-38.13080360867914
,,1739209609.921213,-38.13080360867914
,,1739209609.9212196,-38.13080360867914
,,1739209609.9212265,-45.120503652039325
,,1739209609.9212334,-38.13080360867914
,,1739209609.9212406,-45.120503652039325
,,1739209609.9212475,-33.981070128970906
,,1739209609.9212544,-28.992665084841946
,,1739209609.9212613,-45.120503652039325
,,1739209609.9212682,-45.120503652039325
,,1739209609.9212751,-38.13080360867914
,,1739209609.9212823,-38.13080360867914
,,1739209609.9212892,-45.120503652039325
,,1739209609.921296,-38.13080360867914
,,1739209609.921303,-38.13080360867914
,,1739209609.92131,-32.81601443825658
,,1739209609.921317,-45.120503652039325
,,1739209609.921324,-38.13080360867914
,,1739209609.921331,-45.120503652039325
,,1739209609.9213378,-31.141103565318893
,,1739209609.9213448,-20.82298085201522
,,1739209609.9213517,-20.888044912671223
,,1739209609.9213588,-28.992665084841946
,,1739209609.9213655,-33.981070128970906
,,1739209609.921373,-38.13080360867914
,,1739209609.9213796,-38.13080360867914
,,1739209609.9213865,-38.13080360867914
,,1739209609.9213934,-38.13080360867914
,,1739209609.9214003,-45.120503652039325
,,1739209609.9214077,-33.981070128970906
,,1739209609.9214144,-45.120503652039325
,,1739209609.9214213,-38.13080360867914
,,1739209609.9214282,-38.13080360867914
,,1739209609.921435,-45.120503652039325
,,1739209609.9214425,-45.120503652039325
,,1739209609.9214492,-38.13080360867914
,,1739209609.921456,-38.13080360867914
,,1739209609.921463,-33.981070128970906
,,1739209609.92147,-45.120503652039325
,,1739209609.9214768,-32.816014438256545
,,1739209609.921484,-35.57807855764607
,,1739209609.921491,-38.13080360867914
,,1739209609.9214978,-38.13080360867914
,,1739209609.9215047,-31.14110356531892
,,1739209609.9215117,-21.522148828640407
,,1739209609.9215188,-30.49652367304973
,,1739209609.9215257,-38.13080360867914
,,1739209609.9215326,-24.438645034577675
,,1739209609.9215395,-27.267205301931607
,,1739209609.9215465,-11.608340198645877
,,1739209609.9215534,-18.598040242006057
,,1739209609.9215603,-28.992665084841946
,,1739209609.9215674,-33.981070128970906
,,1739209609.9215744,-45.120503652039325
