CAN Message, 0x1b8:0300f3573889a4f6,Timestamp,Amplitude
,,1739209883.1940198,-45.120503652039325
,,1739209883.194023,-38.13080360867914
,,1739209883.1940258,-35.57807855764607
,,1739209883.1940286,-38.13080360867914
,,1739209883.1940317,-45.120503652039325
,,1739209883.1940346,-31.141103565318915
,,1739209883.1940374,-32.816014438256545
,,1739209883.1940403,-45.120503652039325
,,1739209883.1940434,-45.120503652039325
,,1739209883.1940465,-38.13080360867914
,,1739209883.1940494,-45.120503652039325
,,1739209883.1940522,-38.13080360867914
,,1739209883.194055,-38.13080360867914
,,1739209883.1940582,-38.13080360867914
,,1739209883.194061,-38.13080360867914
,,1739209883.194064,-38.13080360867914
,,1739209883.194067,-45.120503652039325
,,1739209883.19407,-38.13080360867914
,,1739209883.194073,-38.13080360867914
,,1739209883.1940758,-45.120503652039325
,,1739209883.1940787,-45.120503652039325
,,1739209883.1940818,-38.13080360867914
,,1739209883.1940846,-33.981070128970906
,,1739209883.1940875,-45.120503652039325
,,1739209883.1940906,-45.120503652039325
,,1739209883.1940937,-45.120503652039325
,,1739209883.1940963,-38.13080360867914
,,1739209883.1940994,-45.120503652039325
,,1739209883.1941023,-45.120503652039325
,,1739209883.1941054,-45.120503652039325
,,1739209883.1941082,-45.120503652039325
,,1739209883.194111,-38.13080360867914
,,1739209883.1941142,-35.57807855764607
,,1739209883.194117,-45.120503652039325
,,1739209883.19412,-45.120503652039325
,,1739209883.194123,-45.120503652039325
,,1739209883.194126,-45.120503652039325
,,1739209883.194129,-45.120503652039325
,,1739209883.194132,-45.120503652039325
,,1739209883.1941347,-45.120503652039325
,,1739209883.1941378,-45.120503652039325
,,1739209883.194141,-38.13080360867914
,,1739209883.1941435,-35.57807855764607
,,1739209883.1941466,-45.120503652039325
,,1739209883.1941495,-38.13080360867914
,,1739209883.1941526,-38.13080360867914
,,1739209883.1941557,-31.141103565318915
,,1739209883.1941583,-45.120503652039325
,,1739209883.1941614,-26.0356534632528
,,1739209883.1941645,-18.676117757360917
,,1739209883.1941671,-9.814665055588115
,,1739209883.1941702,-26.487275050834715
,,1739209883.194173,-45.120503652039325
