CAN Message, 0x39:021444ba83666c26,Timestamp,Amplitude
,,1739209604.2807682,-30.49652367304973
,,1739209604.2807713,-38.13080360867914
,,1739209604.2807746,-45.120503652039325
,,1739209604.2807777,-38.13080360867914
,,1739209604.280781,-38.13080360867914
,,1739209604.280784,-38.13080360867914
,,1739209604.2807877,-38.13080360867914
,,1739209604.2807906,-33.981070128970906
,,1739209604.280794,-28.992665084841946
,,1739209604.280797,-45.120503652039325
,,1739209604.2808003,-45.120503652039325
,,1739209604.2808034,-45.120503652039325
,,1739209604.2808063,-38.13080360867914
,,1739209604.28081,-38.13080360867914
,,1739209604.280813,-45.120503652039325
,,1739209604.2808163,-45.120503652039325
,,1739209604.2808194,-38.13080360867914
,,1739209604.2808228,-38.13080360867914
,,1739209604.280826,-38.13080360867914
,,1739209604.2808292,-38.13080360867914
,,1739209604.2808323,-38.13080360867914
,,1739209604.2808356,-38.13080360867914
,,1739209604.2808387,-38.13080360867914
,,1739209604.2808418,-45.120503652039325
,,1739209604.2808452,-45.120503652039325
,,1739209604.2808485,-45.120503652039325
,,1739209604.2808516,-45.120503652039325
,,1739209604.2808547,-38.13080360867914
,,1739209604.280858,-38.13080360867914
,,1739209604.2808611,-38.13080360867914
,,1739209604.2808645,-45.120503652039325
,,1739209604.2808676,-35.57807855764607
,,1739209604.280871,-38.13080360867914
,,1739209604.280874,-45.120503652039325
,,1739209604.280877,-35.57807855764607
,,1739209604.2808805,-35.57807855764607
,,1739209604.2808836,-45.120503652039325
,,1739209604.280887,-45.120503652039325
,,1739209604.28089,-33.981070128970906
,,1739209604.280893,-38.13080360867914
,,1739209604.2808964,-38.13080360867914
,,1739209604.2808998,-38.13080360867914
,,1739209604.2809029,-38.13080360867914
,,1739209604.280906,-38.13080360867914
,,1739209604.2809093,-45.120503652039325
,,1739209604.2809124,-38.13080360867914
,,1739209604.2809155,-38.13080360867914
,,1739209604.2809188,-33.981070128970906
,,1739209604.2809222,-31.141103565318915
,,1739209604.2809253,-22.17584139042336
