CAN Message, 0x150:0400b8022dfc1245,Timestamp,Amplitude
,,1739209894.864853,-35.57807855764607
,,1739209894.864855,-35.57807855764607
,,1739209894.864857,-38.13080360867914
,,1739209894.864859,-45.120503652039325
,,1739209894.8648612,-45.120503652039325
,,1739209894.8648632,-45.120503652039325
,,1739209894.8648653,-35.57807855764607
,,1739209894.8648674,-33.981070128970906
,,1739209894.8648694,-45.120503652039325
,,1739209894.8648715,-38.13080360867914
,,1739209894.8648734,-45.120503652039325
,,1739209894.8648756,-38.13080360867914
,,1739209894.8648777,-38.13080360867914
,,1739209894.8648796,-38.13080360867914
,,1739209894.8648818,-45.120503652039325
,,1739209894.864884,-38.13080360867914
,,1739209894.8648858,-45.120503652039325
,,1739209894.864888,-38.13080360867914
,,1739209894.86489,-38.13080360867914
,,1739209894.864892,-45.120503652039325
,,1739209894.8648942,-45.120503652039325
,,1739209894.864896,-35.57807855764607
,,1739209894.8648982,-35.57807855764607
,,1739209894.8649004,-32.816014438256545
,,1739209894.8649025,-35.57807855764607
,,1739209894.8649044,-45.120503652039325
,,1739209894.8649063,-35.57807855764607
,,1739209894.8649085,-38.13080360867914
,,1739209894.8649106,-45.120503652039325
,,1739209894.8649125,-38.13080360867914
,,1739209894.864915,-38.13080360867914
,,1739209894.8649168,-38.13080360867914
,,1739209894.8649187,-45.120503652039325
,,1739209894.8649209,-38.13080360867914
,,1739209894.8649228,-38.13080360867914
,,1739209894.864925,-38.13080360867914
,,1739209894.864927,-38.13080360867914
,,1739209894.864929,-38.13080360867914
,,1739209894.864931,-35.57807855764607
,,1739209894.8649333,-45.120503652039325
,,1739209894.8649352,-45.120503652039325
,,1739209894.8649373,-38.13080360867914
,,1739209894.8649392,-38.13080360867914
,,1739209894.8649414,-38.13080360867914
,,1739209894.8649435,-38.13080360867914
,,1739209894.8649454,-38.13080360867914
,,1739209894.8649476,-38.13080360867914
,,1739209894.8649497,-33.981070128970906
,,1739209894.8649516,-28.21854285175415
,,1739209894.8649538,-24.438645034577675
,,1739209894.8649557,-8.564317816627069
,,1739209894.8649578,-31.141103565318915
,,1739209894.86496,-45.120503652039325
