CAN Message, 0x98:0000c5a533c071f3,Timestamp,Amplitude
,,1739209883.500066,-45.120503652039325
,,1739209883.5000763,-38.13080360867914
,,1739209883.5000873,-33.981070128970906
,,1739209883.5000978,-45.120503652039325
,,1739209883.5001082,-45.120503652039325
,,1739209883.5001187,-45.120503652039325
,,1739209883.5001292,-38.13080360867914
,,1739209883.5001397,-45.120503652039325
,,1739209883.5001502,-38.13080360867914
,,1739209883.5001607,-28.21854285175415
,,1739209883.5001712,-32.816014438256545
,,1739209883.500182,-45.120503652039325
,,1739209883.5001924,-45.120503652039325
,,1739209883.500203,-38.13080360867914
,,1739209883.5002134,-38.13080360867914
,,1739209883.500224,-45.120503652039325
,,1739209883.5002344,-35.57807855764607
,,1739209883.5002449,-33.98107012897096
,,1739209883.500255,-45.120503652039325
,,1739209883.5002658,-38.13080360867914
,,1739209883.5002766,-38.13080360867914
,,1739209883.500287,-38.13080360867914
,,1739209883.5002975,-45.120503652039325
,,1739209883.500308,-38.13080360867914
,,1739209883.5003183,-38.13080360867914
,,1739209883.500329,-30.49652367304973
,,1739209883.5003395,-29.438486411369333
,,1739209883.50035,-33.981070128970906
,,1739209883.5003605,-38.13080360867914
,,1739209883.5003712,-35.57807855764607
,,1739209883.5003817,-38.13080360867914
,,1739209883.5003922,-45.120503652039325
,,1739209883.5004027,-38.13080360867914
,,1739209883.5004132,-45.120503652039325
,,1739209883.5004237,-45.120503652039325
,,1739209883.5004342,-33.981070128970906
,,1739209883.500445,-45.120503652039325
,,1739209883.5004551,-45.120503652039325
,,1739209883.500466,-45.120503652039325
,,1739209883.5004764,-38.13080360867914
,,1739209883.5004869,-45.120503652039325
,,1739209883.500497,-32.816014438256545
,,1739209883.5005078,-31.141103565318915
,,1739209883.5005183,-38.13080360867914
,,1739209883.5005288,-38.13080360867914
,,1739209883.5005393,-35.57807855764607
,,1739209883.5005498,-38.13080360867914
,,1739209883.5005603,-33.981070128970906
,,1739209883.500571,-32.816014438256545
,,1739209883.5005815,-26.99137008561072
,,1739209883.500592,-8.023564954761373
,,1739209883.5006025,-28.218542851754165
,,1739209883.500613,-38.13080360867914
,,1739209883.5006237,-33.981070128970906
,,1739209883.500634,-33.981070128970906
,,1739209883.5006444,-45.120503652039325
,,1739209883.5006552,-45.120503652039325
,,1739209883.5006657,-35.57807855764607
