CAN Message, 0x1b8:0300a81320115014,Timestamp,Amplitude
,,1739209673.532167,-32.816014438256545
,,1739209673.5321753,-38.13080360867914
,,1739209673.5321836,-45.120503652039325
,,1739209673.532192,-29.438486411369347
,,1739209673.5322006,-32.816014438256545
,,1739209673.532209,-33.981070128970906
,,1739209673.5322173,-45.120503652039325
,,1739209673.5322256,-45.120503652039325
,,1739209673.532234,-38.13080360867914
,,1739209673.5322423,-45.120503652039325
,,1739209673.5322506,-33.981070128970906
,,1739209673.532259,-31.141103565318915
,,1739209673.532267,-35.57807855764607
,,1739209673.5322757,-38.13080360867914
,,1739209673.532284,-45.120503652039325
,,1739209673.5322924,-35.57807855764607
,,1739209673.5323007,-32.816014438256545
,,1739209673.532309,-38.13080360867914
,,1739209673.5323174,-45.120503652039325
,,1739209673.5323255,-28.58837851428586
,,1739209673.532334,-32.816014438256545
,,1739209673.5323424,-31.141103565318915
,,1739209673.5323508,-38.13080360867914
,,1739209673.5323591,-38.13080360867914
,,1739209673.5323677,-38.13080360867914
,,1739209673.532376,-38.13080360867914
,,1739209673.5323844,-45.120503652039325
,,1739209673.5323927,-31.14110356531892
,,1739209673.532401,-38.13080360867914
,,1739209673.5324094,-38.13080360867914
,,1739209673.5324178,-45.120503652039325
,,1739209673.532426,-31.141103565318915
,,1739209673.5324345,-38.13080360867914
,,1739209673.5324428,-38.13080360867914
,,1739209673.5324512,-45.120503652039325
,,1739209673.5324595,-38.13080360867914
,,1739209673.5324678,-35.57807855764607
,,1739209673.5324762,-45.120503652039325
,,1739209673.5324843,-45.120503652039325
,,1739209673.5324929,-33.981070128970906
,,1739209673.5325012,-33.981070128970906
,,1739209673.5325096,-45.120503652039325
,,1739209673.532518,-45.120503652039325
,,1739209673.5325265,-31.141103565318915
,,1739209673.5325348,-38.13080360867914
,,1739209673.5325432,-30.49652367304973
,,1739209673.5325515,-35.57807855764607
,,1739209673.53256,-45.120503652039325
,,1739209673.5325682,-45.120503652039325
,,1739209673.5325766,-38.13080360867914
,,1739209673.532585,-15.030246231170194
,,1739209673.5325933,-33.98107012897096
,,1739209673.5326016,-38.13080360867914
