CAN Message, 0x150:010080a427d8e63b,Timestamp,Amplitude
,,1739209720.8593805,-38.13080360867914
,,1739209720.8593838,-38.13080360867914
,,1739209720.8593874,-45.120503652039325
,,1739209720.8593907,-38.13080360867914
,,1739209720.8593943,-35.57807855764607
,,1739209720.859398,-38.13080360867914
,,1739209720.8594012,-45.120503652039325
,,1739209720.8594048,-38.13080360867914
,,1739209720.859408,-45.120503652039325
,,1739209720.8594117,-45.120503652039325
,,1739209720.859415,-38.13080360867914
,,1739209720.8594186,-38.13080360867914
,,1739209720.8594222,-45.120503652039325
,,1739209720.8594255,-45.120503652039325
,,1739209720.8594291,-33.981070128970906
,,1739209720.8594325,-38.13080360867914
,,1739209720.859436,-38.13080360867914
,,1739209720.8594394,-35.57807855764607
,,1739209720.859443,-45.120503652039325
,,1739209720.8594463,-45.120503652039325
,,1739209720.85945,-35.57807855764607
,,1739209720.8594534,-38.13080360867914
,,1739209720.8594568,-45.120503652039325
,,1739209720.8594604,-38.13080360867914
,,1739209720.8594637,-38.13080360867914
,,1739209720.8594673,-45.120503652039325
,,1739209720.8594706,-45.120503652039325
,,1739209720.8594742,-33.981070128970906
,,1739209720.8594778,-45.120503652039325
,,1739209720.859481,-45.120503652039325
,,1739209720.859485,-45.120503652039325
,,1739209720.859488,-38.13080360867914
,,1739209720.8594916,-38.13080360867914
,,1739209720.859495,-38.13080360867914
,,1739209720.8594985,-45.120503652039325
,,1739209720.8595018,-38.13080360867914
,,1739209720.8595054,-33.981070128970906
,,1739209720.859509,-45.120503652039325
,,1739209720.8595123,-45.120503652039325
,,1739209720.859516,-45.120503652039325
,,1739209720.8595192,-32.816014438256545
,,1739209720.8595228,-32.816014438256545
,,1739209720.8595262,-38.13080360867914
,,1739209720.8595295,-38.13080360867914
,,1739209720.859533,-38.13080360867914
,,1739209720.8595366,-35.57807855764607
,,1739209720.8595402,-45.120503652039325
,,1739209720.8595436,-45.120503652039325
,,1739209720.8595471,-33.981070128970906
,,1739209720.8595505,-27.877744956031417
,,1739209720.859554,-7.8736497696656995
,,1739209720.8595574,-35.57807855764607
,,1739209720.859561,-33.981070128970906
,,1739209720.8595643,-45.120503652039325
,,1739209720.859568,-45.120503652039325
,,1739209720.8595717,-45.120503652039325
,,1739209720.8595748,-35.57807855764607
,,1739209720.8595784,-38.13080360867914
,,1739209720.8595817,-45.120503652039325
,,1739209720.8595853,-45.120503652039325
,,1739209720.8595886,-27.8777449560314
,,1739209720.8595922,-32.816014438256545
,,1739209720.8595958,-38.13080360867914
,,1739209720.859599,-38.13080360867914
