CAN Message, 0x1a7:00001b0c22d0b5b9,Timestamp,Amplitude
,,1739209781.2160144,-45.120503652039325
,,1739209781.2160172,-38.13080360867914
,,1739209781.21602,-45.120503652039325
,,1739209781.2160232,-45.120503652039325
,,1739209781.216026,-45.120503652039325
,,1739209781.216029,-38.13080360867914
,,1739209781.216032,-31.141103565318915
,,1739209781.216035,-38.13080360867914
,,1739209781.216038,-45.120503652039325
,,1739209781.2160408,-38.13080360867914
,,1739209781.2160437,-33.981070128970906
,,1739209781.2160468,-45.120503652039325
,,1739209781.2160497,-45.120503652039325
,,1739209781.2160523,-38.13080360867914
,,1739209781.2160556,-45.120503652039325
,,1739209781.2160585,-38.13080360867914
,,1739209781.2160616,-38.13080360867914
,,1739209781.2160645,-45.120503652039325
,,1739209781.2160673,-45.120503652039325
,,1739209781.2160704,-31.141103565318915
,,1739209781.2160733,-45.120503652039325
,,1739209781.216076,-45.120503652039325
,,1739209781.2160792,-38.13080360867914
,,1739209781.216082,-35.57807855764607
,,1739209781.2160852,-45.120503652039325
,,1739209781.216088,-38.13080360867914
,,1739209781.216091,-38.13080360867914
,,1739209781.216094,-45.120503652039325
,,1739209781.2160969,-45.120503652039325
,,1739209781.2160995,-38.13080360867914
,,1739209781.2161028,-33.981070128970906
,,1739209781.2161057,-38.13080360867914
,,1739209781.2161088,-38.13080360867914
,,1739209781.2161117,-38.13080360867914
,,1739209781.2161143,-32.816014438256545
,,1739209781.2161176,-35.57807855764607
,,1739209781.2161205,-45.120503652039325
,,1739209781.216123,-45.120503652039325
,,1739209781.2161264,-38.13080360867914
,,1739209781.2161293,-33.981070128970906
,,1739209781.2161322,-45.120503652039325
,,1739209781.2161353,-38.13080360867914
,,1739209781.216138,-38.13080360867914
,,1739209781.2161412,-33.981070128970906
,,1739209781.216144,-45.120503652039325
,,1739209781.216147,-45.120503652039325
,,1739209781.21615,-45.120503652039325
,,1739209781.216153,-33.981070128970906
,,1739209781.2161558,-45.120503652039325
,,1739209781.2161589,-33.981070128970906
,,1739209781.2161615,-11.68641771400072
,,1739209781.2161648,-24.29264994887477
,,1739209781.2161677,-45.120503652039325
,,1739209781.2161703,-38.13080360867914
,,1739209781.2161736,-45.120503652039325
,,1739209781.2161765,-33.981070128970906
,,1739209781.2161794,-38.13080360867914
,,1739209781.2161825,-38.13080360867914
,,1739209781.216185,-38.13080360867914
,,1739209781.2161884,-31.141103565318915
,,1739209781.2161913,-38.13080360867914
,,1739209781.2161942,-45.120503652039325
