CAN Message, 0x77:33087c9b3890f440,Timestamp,Amplitude
,,1739209728.8745246,-45.120503652039325
,,1739209728.8745286,-45.120503652039325
,,1739209728.874533,-45.120503652039325
,,1739209728.874537,-32.816014438256545
,,1739209728.874541,-38.13080360867914
,,1739209728.874545,-38.13080360867914
,,1739209728.8745494,-38.13080360867914
,,1739209728.8745537,-38.13080360867914
,,1739209728.8745575,-45.120503652039325
,,1739209728.8745618,-32.816014438256545
,,1739209728.874566,-35.57807855764607
,,1739209728.87457,-38.13080360867914
,,1739209728.8745744,-45.120503652039325
,,1739209728.8745785,-45.120503652039325
,,1739209728.8745823,-38.13080360867914
,,1739209728.8745868,-38.13080360867914
,,1739209728.8745909,-35.57807855764607
,,1739209728.8745952,-45.120503652039325
,,1739209728.8745992,-38.13080360867914
,,1739209728.8746033,-31.141103565318893
,,1739209728.8746076,-35.57807855764607
,,1739209728.8746116,-38.13080360867914
,,1739209728.874616,-38.13080360867914
,,1739209728.87462,-32.816014438256545
,,1739209728.874624,-45.120503652039325
,,1739209728.8746283,-33.981070128970906
,,1739209728.8746324,-33.981070128970906
,,1739209728.874637,-35.57807855764607
,,1739209728.8746407,-38.13080360867914
,,1739209728.8746448,-45.120503652039325
,,1739209728.874649,-38.13080360867914
,,1739209728.874653,-45.120503652039325
,,1739209728.8746574,-38.13080360867914
,,1739209728.8746614,-45.120503652039325
,,1739209728.8746655,-38.13080360867914
,,1739209728.8746698,-38.13080360867914
,,1739209728.8746738,-45.120503652039325
,,1739209728.874678,-45.120503652039325
,,1739209728.8746822,-38.13080360867914
,,1739209728.8746862,-35.57807855764607
,,1739209728.8746903,-45.120503652039325
,,1739209728.8746946,-45.120503652039325
,,1739209728.8746989,-45.120503652039325
,,1739209728.874703,-38.13080360867914
,,1739209728.874707,-38.13080360867914
,,1739209728.8747113,-38.13080360867914
,,1739209728.874715,-45.120503652039325
,,1739209728.8747196,-38.13080360867914
,,1739209728.8747237,-38.13080360867914
,,1739209728.8747275,-27.267205301931607
,,1739209728.874732,-19.84420464332591
,,1739209728.874736,-38.13080360867914
