CAN Message, 0x98:0000a38659f4da2e,Timestamp,Amplitude
,,1739209795.2602563,-45.120503652039325
,,1739209795.2602742,-38.13080360867914
,,1739209795.2602916,-35.57807855764607
,,1739209795.2603092,-32.816014438256545
,,1739209795.2603266,-38.13080360867914
,,1739209795.2603445,-38.13080360867914
,,1739209795.2603617,-38.13080360867914
,,1739209795.2603793,-32.816014438256545
,,1739209795.2603967,-38.13080360867914
,,1739209795.260414,-35.57807855764607
,,1739209795.2604318,-35.57807855764607
,,1739209795.2604492,-45.120503652039325
,,1739209795.2604668,-38.13080360867914
,,1739209795.2604842,-38.13080360867914
,,1739209795.260502,-45.120503652039325
,,1739209795.2605193,-45.120503652039325
,,1739209795.260537,-45.120503652039325
,,1739209795.2605543,-45.120503652039325
,,1739209795.260572,-45.120503652039325
,,1739209795.2605894,-38.13080360867914
,,1739209795.260607,-38.13080360867914
,,1739209795.2606244,-24.746238672633048
,,1739209795.260642,-38.13080360867914
,,1739209795.2606597,-45.120503652039325
,,1739209795.260677,-45.120503652039325
,,1739209795.2606945,-35.57807855764607
,,1739209795.260712,-38.13080360867914
,,1739209795.2607296,-45.120503652039325
,,1739209795.260747,-38.13080360867914
,,1739209795.2607646,-45.120503652039325
,,1739209795.260782,-45.120503652039325
,,1739209795.2607996,-33.981070128970906
,,1739209795.260817,-45.120503652039325
,,1739209795.2608347,-45.120503652039325
,,1739209795.260852,-38.13080360867914
,,1739209795.2608695,-38.13080360867914
,,1739209795.2608871,-45.120503652039325
,,1739209795.2609048,-31.141103565318893
,,1739209795.2609222,-38.13080360867914
,,1739209795.2609398,-45.120503652039325
,,1739209795.2609572,-45.120503652039325
,,1739209795.260975,-35.57807855764607
,,1739209795.2609923,-38.13080360867914
,,1739209795.26101,-31.141103565318893
,,1739209795.261027,-38.13080360867914
,,1739209795.2610447,-31.141103565318943
,,1739209795.2610624,-35.57807855764607
,,1739209795.2610798,-38.13080360867914
,,1739209795.2610974,-38.13080360867914
,,1739209795.2611148,-33.98107012897096
,,1739209795.2611325,-13.833280808655024
