CAN Message, 0x24:06b8dd96dcf8459c,Timestamp,Amplitude
,,1739209711.268917,-45.120503652039325
,,1739209711.2689233,-38.13080360867914
,,1739209711.2689292,-38.13080360867914
,,1739209711.2689352,-38.13080360867914
,,1739209711.2689414,-38.13080360867914
,,1739209711.2689474,-45.120503652039325
,,1739209711.268953,-45.120503652039325
,,1739209711.2689595,-35.57807855764607
,,1739209711.2689655,-38.13080360867914
,,1739209711.2689714,-45.120503652039325
,,1739209711.2689776,-38.13080360867914
,,1739209711.2689836,-45.120503652039325
,,1739209711.2689896,-45.120503652039325
,,1739209711.2689958,-45.120503652039325
,,1739209711.2690015,-38.13080360867914
,,1739209711.2690077,-38.13080360867914
,,1739209711.269014,-38.13080360867914
,,1739209711.2690198,-45.120503652039325
,,1739209711.2690258,-45.120503652039325
,,1739209711.269032,-38.13080360867914
,,1739209711.269038,-35.57807855764607
,,1739209711.269044,-45.120503652039325
,,1739209711.26905,-35.57807855764607
,,1739209711.269056,-38.13080360867914
,,1739209711.269062,-38.13080360867914
,,1739209711.2690682,-38.13080360867914
,,1739209711.2690742,-33.981070128970906
,,1739209711.2690802,-45.120503652039325
,,1739209711.2690864,-38.13080360867914
,,1739209711.2690923,-35.57807855764607
,,1739209711.2690983,-38.13080360867914
,,1739209711.2691045,-38.13080360867914
,,1739209711.2691104,-35.57807855764607
,,1739209711.2691164,-38.13080360867914
,,1739209711.2691224,-33.981070128970906
,,1739209711.2691286,-45.120503652039325
,,1739209711.2691343,-45.120503652039325
,,1739209711.2691405,-38.13080360867914
,,1739209711.2691467,-38.13080360867914
,,1739209711.2691526,-38.13080360867914
,,1739209711.2691586,-45.120503652039325
,,1739209711.2691648,-45.120503652039325
,,1739209711.2691708,-45.120503652039325
,,1739209711.2691767,-45.120503652039325
,,1739209711.269183,-38.13080360867914
,,1739209711.269189,-38.13080360867914
,,1739209711.2691948,-45.120503652039325
,,1739209711.269201,-45.120503652039325
,,1739209711.269207,-32.816014438256545
,,1739209711.269213,-23.506823629689546
,,1739209711.2692192,-16.398940924556367
,,1739209711.2692251,-9.54182403635907
,,1739209711.269231,-28.58837851428586
,,1739209711.2692373,-32.816014438256545
,,1739209711.2692432,-45.120503652039325
,,1739209711.2692492,-38.13080360867914
,,1739209711.2692554,-45.120503652039325
