CAN Message, 0x39:0c7ac43b16162408,Timestamp,Amplitude
,,1739209597.3587503,-45.120503652039325
,,1739209597.358761,-45.120503652039325
,,1739209597.358772,-45.120503652039325
,,1739209597.358783,-45.120503652039325
,,1739209597.358794,-45.120503652039325
,,1739209597.3588047,-45.120503652039325
,,1739209597.3588157,-38.13080360867914
,,1739209597.3588266,-38.13080360867914
,,1739209597.3588376,-45.120503652039325
,,1739209597.3588483,-45.120503652039325
,,1739209597.3588593,-45.120503652039325
,,1739209597.3588705,-45.120503652039325
,,1739209597.358881,-38.13080360867914
,,1739209597.358892,-45.120503652039325
,,1739209597.358903,-38.13080360867914
,,1739209597.358914,-38.13080360867914
,,1739209597.3589246,-35.57807855764607
,,1739209597.3589356,-38.13080360867914
,,1739209597.3589466,-45.120503652039325
,,1739209597.3589575,-33.981070128970906
,,1739209597.3589685,-38.13080360867914
,,1739209597.3589792,-32.816014438256545
,,1739209597.3589902,-29.438486411369333
,,1739209597.359001,-38.13080360867914
,,1739209597.359012,-45.120503652039325
,,1739209597.3590229,-35.57807855764607
,,1739209597.3590338,-33.981070128970906
,,1739209597.3590446,-45.120503652039325
,,1739209597.3590555,-45.120503652039325
,,1739209597.3590665,-45.120503652039325
,,1739209597.3590777,-38.13080360867914
,,1739209597.3590882,-38.13080360867914
,,1739209597.3590991,-45.120503652039325
,,1739209597.35911,-45.120503652039325
,,1739209597.359121,-33.981070128970906
,,1739209597.3591318,-31.141103565318915
,,1739209597.3591428,-45.120503652039325
,,1739209597.3591535,-33.981070128970906
,,1739209597.3591645,-31.141103565318893
,,1739209597.3591754,-35.57807855764607
,,1739209597.3591864,-38.13080360867914
,,1739209597.3591974,-38.13080360867914
,,1739209597.359208,-45.120503652039325
,,1739209597.359219,-45.120503652039325
,,1739209597.35923,-45.120503652039325
,,1739209597.359241,-45.120503652039325
,,1739209597.3592515,-45.120503652039325
,,1739209597.3592627,-38.13080360867914
,,1739209597.3592737,-38.13080360867914
,,1739209597.3592844,-38.13080360867914
,,1739209597.3592954,-20.001670042250545
,,1739209597.3593063,-32.816014438256545
,,1739209597.3593173,-35.57807855764607
,,1739209597.359328,-38.13080360867914
,,1739209597.359339,-45.120503652039325
,,1739209597.35935,-38.13080360867914
,,1739209597.359361,-38.13080360867914
,,1739209597.3593717,-45.120503652039325
,,1739209597.3593826,-38.13080360867914
,,1739209597.3593936,-38.13080360867914
,,1739209597.3594043,-45.120503652039325
,,1739209597.3594153,-38.13080360867914
,,1739209597.3594265,-38.13080360867914
,,1739209597.3594372,-45.120503652039325
,,1739209597.359448,-45.120503652039325
,,1739209597.359459,-38.13080360867914
