CAN Message; 0x1bb:0000ab7853bbfcc9
Timestamp;Amplitude
1739209640.9442077;-38.13080360867914
1739209640.944214;-33.981070128970906
1739209640.9442205;-38.13080360867914
1739209640.944227;-45.120503652039325
1739209640.9442334;-38.13080360867914
1739209640.9442399;-31.141103565318915
1739209640.9442463;-31.141103565318915
1739209640.9442527;-45.120503652039325
1739209640.9442592;-35.57807855764607
1739209640.9442656;-38.13080360867914
1739209640.944272;-45.120503652039325
1739209640.9442785;-38.13080360867914
1739209640.944285;-45.120503652039325
1739209640.9442914;-38.13080360867914
1739209640.9442978;-38.13080360867914
1739209640.9443045;-45.120503652039325
1739209640.944311;-45.120503652039325
1739209640.9443173;-38.13080360867914
1739209640.9443238;-45.120503652039325
1739209640.9443302;-38.13080360867914
1739209640.9443367;-38.13080360867914
1739209640.944343;-31.141103565318915
1739209640.9443495;-28.58837851428586
1739209640.944356;-45.120503652039325
1739209640.9443624;-38.13080360867914
1739209640.9443688;-33.981070128970906
1739209640.9443753;-38.13080360867914
1739209640.9443817;-45.120503652039325
1739209640.9443882;-38.13080360867914
1739209640.9443946;-38.13080360867914
1739209640.944401;-38.13080360867914
1739209640.9444075;-38.13080360867914
1739209640.944414;-45.120503652039325
1739209640.9444203;-45.120503652039325
1739209640.9444268;-33.981070128970906
1739209640.9444332;-35.57807855764607
1739209640.9444396;-38.13080360867914
1739209640.944446;-45.120503652039325
1739209640.9444525;-33.981070128970906
1739209640.944459;-35.57807855764607
1739209640.9444654;-38.13080360867914
1739209640.9444718;-45.120503652039325
1739209640.9444783;-38.13080360867914
1739209640.9444847;-38.13080360867914
1739209640.9444911;-45.120503652039325
1739209640.9444976;-38.13080360867914
1739209640.944504;-33.981070128970906
1739209640.9445105;-38.13080360867914
1739209640.9445171;-38.13080360867914
1739209640.9445236;-45.120503652039325
1739209640.94453;-38.13080360867914
1739209640.9445364;-38.13080360867914
1739209640.944543;-38.13080360867914
1739209640.9445493;-38.13080360867914
1739209640.9445558;-28.992665084841942
1739209640.9445622;-35.57807855764607
1739209640.9445686;-38.13080360867914
1739209640.944575;-38.13080360867914
1739209640.9445815;-38.13080360867914
1739209640.944588;-38.13080360867914
1739209640.9445944;-45.120503652039325
1739209640.9446008;-38.13080360867914
1739209640.9446073;-32.816014438256545
1739209640.9446137;-38.13080360867914
1739209640.9446201;-38.13080360867914
1739209640.9446266;-45.120503652039325
1739209640.944633;-38.13080360867914
1739209640.9446394;-35.57807855764607
1739209640.944646;-45.120503652039325
1739209640.9446523;-45.120503652039325
1739209640.9446588;-38.13080360867914
1739209640.9446652;-45.120503652039325
1739209640.9446716;-38.13080360867914
1739209640.944678;-45.120503652039325
