CAN Message; 0x1b8:01004dbdcf9cd874
Timestamp;Amplitude
1739209821.0525243;-33.981070128970906
1739209821.052529;-45.120503652039325
1739209821.0525336;-38.13080360867914
1739209821.0525382;-38.13080360867914
1739209821.052543;-45.120503652039325
1739209821.0525475;-45.120503652039325
1739209821.0525522;-38.13080360867914
1739209821.0525568;-33.981070128970906
1739209821.0525613;-33.981070128970906
1739209821.052566;-45.120503652039325
1739209821.0525706;-35.57807855764607
1739209821.052575;-35.57807855764607
1739209821.0525799;-45.120503652039325
1739209821.0525844;-38.13080360867914
1739209821.0525892;-38.13080360867914
1739209821.0525937;-38.13080360867914
1739209821.0525982;-45.120503652039325
1739209821.052603;-45.120503652039325
1739209821.0526075;-45.120503652039325
1739209821.052612;-45.120503652039325
1739209821.0526168;-38.13080360867914
1739209821.0526214;-45.120503652039325
1739209821.0526261;-38.13080360867914
1739209821.0526307;-38.13080360867914
1739209821.0526352;-45.120503652039325
1739209821.05264;-45.120503652039325
1739209821.0526445;-45.120503652039325
1739209821.052649;-38.13080360867914
1739209821.0526538;-45.120503652039325
1739209821.0526583;-45.120503652039325
1739209821.052663;-38.13080360867914
1739209821.0526676;-45.120503652039325
1739209821.0526721;-38.13080360867914
1739209821.052677;-35.57807855764607
1739209821.0526814;-38.13080360867914
1739209821.052686;-38.13080360867914
1739209821.0526907;-38.13080360867914
1739209821.0526953;-35.57807855764607
1739209821.0527;-45.120503652039325
1739209821.0527046;-38.13080360867914
1739209821.052709;-45.120503652039325
1739209821.0527139;-45.120503652039325
1739209821.0527184;-45.120503652039325
1739209821.052723;-45.120503652039325
1739209821.0527277;-45.120503652039325
1739209821.0527322;-45.120503652039325
1739209821.052737;-33.981070128970906
1739209821.0527415;-45.120503652039325
1739209821.052746;-33.981070128970906
1739209821.0527508;-32.816014438256545
1739209821.0527554;-38.13080360867914
1739209821.05276;-45.120503652039325
1739209821.0527647;-31.141103565318915
1739209821.0527692;-32.816014438256545
1739209821.052774;-38.13080360867914
1739209821.0527785;-45.120503652039325
1739209821.052783;-32.816014438256545
1739209821.0527878;-29.438486411369333
1739209821.0527923;-38.13080360867914
1739209821.0527968;-45.120503652039325
1739209821.0528016;-38.13080360867914
1739209821.0528061;-35.57807855764607
1739209821.052811;-45.120503652039325
1739209821.0528154;-38.13080360867914
1739209821.05282;-45.120503652039325
1739209821.0528247;-45.120503652039325
1739209821.0528293;-45.120503652039325
1739209821.0528338;-45.120503652039325
1739209821.0528386;-45.120503652039325
1739209821.052843;-38.13080360867914
1739209821.0528479;-45.120503652039325
1739209821.0528524;-38.13080360867914
1739209821.052857;-38.13080360867914
1739209821.0528617;-45.120503652039325
1739209821.0528662;-35.57807855764607
1739209821.0528708;-35.57807855764607
1739209821.0528755;-45.120503652039325
1739209821.05288;-45.120503652039325
1739209821.0528848;-32.816014438256545
1739209821.0528893;-38.13080360867914
1739209821.0528939;-32.816014438256545
1739209821.0528986;-26.991370085610736
1739209821.0529032;-45.120503652039325
1739209821.0529077;-45.120503652039325
1739209821.0529125;-45.120503652039325
1739209821.052917;-45.120503652039325
1739209821.0529218;-38.13080360867914
1739209821.0529263;-32.816014438256545
1739209821.0529308;-45.120503652039325
1739209821.0529356;-38.13080360867914
1739209821.0529401;-35.57807855764607
1739209821.0529447;-32.816014438256545
1739209821.0529494;-45.120503652039325
1739209821.052954;-38.13080360867914
1739209821.0529587;-38.13080360867914
1739209821.0529633;-45.120503652039325
1739209821.0529678;-38.13080360867914
1739209821.0529726;-32.816014438256545
1739209821.052977;-45.120503652039325
1739209821.0529816;-45.120503652039325
1739209821.0529864;-45.120503652039325
1739209821.052991;-45.120503652039325
1739209821.0529957;-45.120503652039325
1739209821.0530002;-38.13080360867914
1739209821.0530047;-38.13080360867914
1739209821.0530095;-38.13080360867914
1739209821.053014;-38.13080360867914
1739209821.0530186;-45.120503652039325
1739209821.0530233;-38.13080360867914
1739209821.0530279;-35.57807855764607
1739209821.0530326;-45.120503652039325
1739209821.0530372;-45.120503652039325
1739209821.0530417;-38.13080360867914
1739209821.0530465;-45.120503652039325
1739209821.053051;-45.120503652039325
1739209821.0530555;-45.120503652039325
1739209821.0530603;-38.13080360867914
1739209821.0530648;-38.13080360867914
1739209821.0530696;-38.13080360867914
1739209821.0530741;-45.120503652039325
1739209821.0530787;-38.13080360867914
1739209821.0530834;-32.816014438256545
1739209821.053088;-38.13080360867914
1739209821.0530925;-45.120503652039325
1739209821.0530972;-38.13080360867914
1739209821.0531018;-33.981070128970906
1739209821.0531065;-45.120503652039325
1739209821.053111;-38.13080360867914
1739209821.0531156;-38.13080360867914
1739209821.0531204;-32.816014438256545
1739209821.053125;-45.120503652039325
1739209821.0531294;-45.120503652039325
1739209821.0531342;-38.13080360867914
1739209821.0531387;-33.981070128970906
1739209821.0531433;-38.13080360867914
1739209821.053148;-45.120503652039325
1739209821.0531526;-38.13080360867914
1739209821.0531573;-38.13080360867914
1739209821.0531619;-33.981070128970906
1739209821.0531664;-38.13080360867914
1739209821.0531712;-38.13080360867914
1739209821.0531757;-45.120503652039325
1739209821.0531802;-38.13080360867914
1739209821.053185;-38.13080360867914
1739209821.0531895;-38.13080360867914
1739209821.0531943;-38.13080360867914
1739209821.0531988;-38.13080360867914
1739209821.0532033;-38.13080360867914
1739209821.053208;-38.13080360867914
1739209821.0532126;-38.13080360867914
1739209821.0532172;-38.13080360867914
1739209821.053222;-38.13080360867914
1739209821.0532265;-38.13080360867914
1739209821.0532312;-38.13080360867914
1739209821.0532358;-33.981070128970906
1739209821.0532403;-38.13080360867914
1739209821.053245;-45.120503652039325
1739209821.0532496;-45.120503652039325
1739209821.0532541;-38.13080360867914
1739209821.053259;-38.13080360867914
1739209821.0532634;-38.13080360867914
1739209821.0532682;-38.13080360867914
1739209821.0532727;-38.13080360867914
1739209821.0532773;-35.57807855764607
1739209821.053282;-38.13080360867914
1739209821.0532866;-45.120503652039325
1739209821.053291;-33.981070128970906
1739209821.0532959;-38.13080360867914
1739209821.0533004;-45.120503652039325
1739209821.0533051;-38.13080360867914
1739209821.0533097;-31.141103565318915
1739209821.0533142;-45.120503652039325
1739209821.053319;-38.13080360867914
1739209821.0533235;-38.13080360867914
1739209821.053328;-45.120503652039325
1739209821.0533328;-45.120503652039325
1739209821.0533373;-45.120503652039325
1739209821.053342;-38.13080360867914
1739209821.0533466;-38.13080360867914
1739209821.0533512;-45.120503652039325
1739209821.053356;-38.13080360867914
1739209821.0533605;-45.120503652039325
1739209821.053365;-38.13080360867914
1739209821.0533698;-45.120503652039325
1739209821.0533743;-38.13080360867914
1739209821.053379;-33.981070128970906
1739209821.0533836;-31.14110356531892
1739209821.053388;-45.120503652039325
1739209821.053393;-33.981070128970906
1739209821.0533974;-38.13080360867914
1739209821.053402;-38.13080360867914
1739209821.0534067;-38.13080360867914
1739209821.0534112;-38.13080360867914
1739209821.053416;-35.57807855764607
1739209821.0534205;-28.992665084841942
1739209821.053425;-38.13080360867914
1739209821.0534298;-35.57807855764607
1739209821.0534344;-38.13080360867914
1739209821.053439;-38.13080360867914
1739209821.0534437;-45.120503652039325
1739209821.0534482;-45.120503652039325
1739209821.053453;-45.120503652039325
1739209821.0534575;-35.57807855764607
1739209821.053462;-45.120503652039325
1739209821.0534668;-45.120503652039325
1739209821.0534713;-45.120503652039325
1739209821.0534759;-38.13080360867914
1739209821.0534806;-38.13080360867914
1739209821.0534852;-45.120503652039325
1739209821.05349;-45.120503652039325
1739209821.0534945;-38.13080360867914
1739209821.053499;-35.57807855764607
1739209821.0535038;-45.120503652039325
1739209821.0535083;-45.120503652039325
1739209821.0535128;-45.120503652039325
