CAN Message; 0x1a7:00005a7f7af7c52d
Timestamp;Amplitude
1739209602.6920877;-38.13080360867914
1739209602.6920907;-38.13080360867914
1739209602.6920938;-38.13080360867914
1739209602.692097;-38.13080360867914
1739209602.6921;-38.13080360867914
1739209602.6921031;-45.120503652039325
1739209602.6921062;-33.981070128970906
1739209602.6921093;-28.992665084841942
1739209602.6921124;-45.120503652039325
1739209602.6921155;-45.120503652039325
1739209602.6921186;-38.13080360867914
1739209602.6921217;-38.13080360867914
1739209602.6921248;-45.120503652039325
1739209602.692128;-45.120503652039325
1739209602.692131;-45.120503652039325
1739209602.6921341;-38.13080360867914
1739209602.6921372;-45.120503652039325
1739209602.6921403;-38.13080360867914
1739209602.6921434;-45.120503652039325
1739209602.6921465;-45.120503652039325
1739209602.6921496;-45.120503652039325
1739209602.6921527;-45.120503652039325
1739209602.6921558;-38.13080360867914
1739209602.692159;-33.981070128970906
1739209602.692162;-45.120503652039325
1739209602.6921651;-35.57807855764607
1739209602.6921682;-35.57807855764607
1739209602.6921713;-35.57807855764607
1739209602.6921744;-45.120503652039325
1739209602.6921775;-38.13080360867914
1739209602.6921806;-45.120503652039325
1739209602.6921837;-38.13080360867914
1739209602.6921868;-38.13080360867914
1739209602.69219;-38.13080360867914
1739209602.6921933;-45.120503652039325
1739209602.6921964;-38.13080360867914
1739209602.6921995;-45.120503652039325
1739209602.6922026;-45.120503652039325
1739209602.6922057;-38.13080360867914
1739209602.6922088;-31.141103565318915
1739209602.6922119;-45.120503652039325
1739209602.692215;-45.120503652039325
1739209602.692218;-35.57807855764607
1739209602.6922212;-38.13080360867914
1739209602.6922243;-45.120503652039325
1739209602.6922274;-38.13080360867914
1739209602.6922305;-35.57807855764607
1739209602.6922336;-38.13080360867914
1739209602.6922367;-45.120503652039325
1739209602.6922398;-45.120503652039325
1739209602.6922429;-45.120503652039325
1739209602.692246;-38.13080360867914
1739209602.692249;-38.13080360867914
1739209602.6922522;-38.13080360867914
1739209602.6922553;-35.57807855764607
1739209602.6922584;-45.120503652039325
1739209602.6922615;-45.120503652039325
1739209602.6922646;-45.120503652039325
1739209602.6922677;-38.13080360867914
1739209602.6922708;-38.13080360867914
1739209602.6922739;-45.120503652039325
1739209602.692277;-38.13080360867914
1739209602.69228;-38.13080360867914
1739209602.6922832;-38.13080360867914
1739209602.6922863;-38.13080360867914
1739209602.6922894;-38.13080360867914
1739209602.6922925;-45.120503652039325
1739209602.6922956;-45.120503652039325
1739209602.6922987;-38.13080360867914
1739209602.6923018;-38.13080360867914
1739209602.6923048;-45.120503652039325
1739209602.692308;-38.13080360867914
1739209602.692311;-45.120503652039325
1739209602.6923141;-45.120503652039325
1739209602.6923172;-45.120503652039325
1739209602.6923203;-45.120503652039325
1739209602.6923234;-45.120503652039325
1739209602.6923265;-45.120503652039325
1739209602.6923296;-45.120503652039325
1739209602.6923327;-45.120503652039325
1739209602.6923358;-38.13080360867914
1739209602.692339;-38.13080360867914
1739209602.692342;-45.120503652039325
1739209602.6923451;-38.13080360867914
1739209602.6923482;-38.13080360867914
1739209602.6923513;-38.13080360867914
