CAN Message; 0x150:060001c6432fedcd
Timestamp;Amplitude
1739209663.4003162;-45.120503652039325
1739209663.4003227;-35.57807855764607
1739209663.4003294;-33.981070128970906
1739209663.400336;-45.120503652039325
1739209663.4003425;-45.120503652039325
1739209663.4003491;-38.13080360867914
1739209663.4003556;-38.13080360867914
1739209663.4003623;-45.120503652039325
1739209663.400369;-45.120503652039325
1739209663.4003754;-45.120503652039325
1739209663.400382;-38.13080360867914
1739209663.4003887;-45.120503652039325
1739209663.4003952;-45.120503652039325
1739209663.4004018;-45.120503652039325
1739209663.4004085;-32.816014438256545
1739209663.400415;-35.57807855764607
1739209663.4004216;-45.120503652039325
1739209663.400428;-38.13080360867914
1739209663.4004347;-35.57807855764607
1739209663.4004414;-38.13080360867914
1739209663.4004478;-45.120503652039325
1739209663.4004545;-45.120503652039325
1739209663.4004612;-45.120503652039325
1739209663.4004676;-45.120503652039325
1739209663.4004743;-45.120503652039325
1739209663.4004807;-45.120503652039325
1739209663.4004874;-35.57807855764607
1739209663.400494;-38.13080360867914
1739209663.4005005;-45.120503652039325
1739209663.4005072;-38.13080360867914
1739209663.400514;-38.13080360867914
1739209663.4005203;-35.57807855764607
1739209663.400527;-38.13080360867914
1739209663.4005337;-38.13080360867914
1739209663.40054;-45.120503652039325
1739209663.4005468;-38.13080360867914
1739209663.4005532;-38.13080360867914
1739209663.40056;-45.120503652039325
1739209663.4005666;-32.816014438256545
1739209663.400573;-35.57807855764607
1739209663.4005797;-45.120503652039325
1739209663.4005864;-45.120503652039325
1739209663.4005928;-31.141103565318893
1739209663.4005995;-30.49652367304973
1739209663.4006062;-45.120503652039325
1739209663.4006126;-38.13080360867914
1739209663.4006193;-45.120503652039325
1739209663.4006257;-45.120503652039325
1739209663.4006324;-45.120503652039325
1739209663.400639;-45.120503652039325
1739209663.4006455;-38.13080360867914
1739209663.4006522;-38.13080360867914
1739209663.4006588;-35.57807855764607
1739209663.4006653;-45.120503652039325
1739209663.400672;-32.816014438256545
1739209663.4006784;-26.991370085610722
1739209663.400685;-45.120503652039325
1739209663.4006917;-45.120503652039325
1739209663.4006982;-45.120503652039325
1739209663.4007049;-45.120503652039325
1739209663.4007115;-45.120503652039325
1739209663.400718;-45.120503652039325
1739209663.4007246;-45.120503652039325
1739209663.4007313;-45.120503652039325
1739209663.4007378;-45.120503652039325
1739209663.4007444;-45.120503652039325
1739209663.4007509;-38.13080360867914
1739209663.4007576;-31.141103565318915
1739209663.4007642;-38.13080360867914
1739209663.4007707;-38.13080360867914
1739209663.4007773;-35.57807855764607
1739209663.400784;-35.57807855764607
1739209663.4007905;-35.57807855764607
1739209663.4007971;-38.13080360867914
1739209663.4008038;-35.57807855764607
1739209663.4008102;-38.13080360867914
1739209663.400817;-45.120503652039325
1739209663.4008234;-33.981070128970906
1739209663.40083;-45.120503652039325
1739209663.4008367;-45.120503652039325
1739209663.4008431;-45.120503652039325
1739209663.4008498;-45.120503652039325
1739209663.4008565;-35.57807855764607
1739209663.400863;-38.13080360867914
1739209663.4008696;-45.120503652039325
1739209663.4008763;-45.120503652039325
1739209663.4008827;-45.120503652039325
1739209663.4008894;-45.120503652039325
1739209663.4008958;-38.13080360867914
1739209663.4009025;-38.13080360867914
1739209663.4009092;-45.120503652039325
1739209663.4009156;-45.120503652039325
1739209663.4009223;-38.13080360867914
1739209663.400929;-38.13080360867914
1739209663.4009354;-38.13080360867914
1739209663.400942;-33.981070128970906
1739209663.4009485;-33.981070128970906
1739209663.4009552;-35.57807855764607
1739209663.4009619;-38.13080360867914
1739209663.4009683;-38.13080360867914
1739209663.400975;-45.120503652039325
1739209663.4009817;-33.981070128970906
1739209663.400988;-45.120503652039325
1739209663.4009948;-45.120503652039325
1739209663.4010015;-38.13080360867914
1739209663.401008;-45.120503652039325
1739209663.4010146;-45.120503652039325
1739209663.401021;-45.120503652039325
1739209663.4010277;-38.13080360867914
1739209663.4010344;-45.120503652039325
1739209663.4010408;-45.120503652039325
1739209663.4010475;-45.120503652039325
1739209663.4010541;-38.13080360867914
1739209663.4010606;-38.13080360867914
1739209663.4010673;-38.13080360867914
1739209663.401074;-38.13080360867914
1739209663.4010804;-33.981070128970906
1739209663.401087;-38.13080360867914
1739209663.4010935;-45.120503652039325
1739209663.4011002;-45.120503652039325
1739209663.4011068;-45.120503652039325
1739209663.4011133;-38.13080360867914
1739209663.40112;-45.120503652039325
1739209663.4011266;-45.120503652039325
1739209663.401133;-45.120503652039325
1739209663.4011397;-33.981070128970906
1739209663.4011462;-38.13080360867914
1739209663.4011528;-45.120503652039325
1739209663.4011595;-38.13080360867914
1739209663.401166;-38.13080360867914
1739209663.4011726;-45.120503652039325
1739209663.4011793;-45.120503652039325
1739209663.4011858;-45.120503652039325
1739209663.4011924;-45.120503652039325
1739209663.401199;-45.120503652039325
1739209663.4012055;-45.120503652039325
1739209663.4012122;-38.13080360867914
1739209663.4012187;-45.120503652039325
1739209663.4012253;-45.120503652039325
1739209663.401232;-33.981070128970906
1739209663.4012384;-32.816014438256545
1739209663.401245;-38.13080360867914
1739209663.4012518;-38.13080360867914
1739209663.4012582;-45.120503652039325
1739209663.401265;-45.120503652039325
1739209663.4012716;-45.120503652039325
1739209663.401278;-45.120503652039325
1739209663.4012847;-38.13080360867914
1739209663.4012911;-38.13080360867914
1739209663.4012978;-38.13080360867914
1739209663.4013045;-45.120503652039325
1739209663.401311;-45.120503652039325
1739209663.4013176;-31.141103565318915
1739209663.4013243;-45.120503652039325
1739209663.4013307;-45.120503652039325
1739209663.4013374;-45.120503652039325
1739209663.401344;-32.816014438256545
1739209663.4013505;-33.981070128970906
1739209663.4013572;-45.120503652039325
1739209663.4013636;-45.120503652039325
1739209663.4013703;-45.120503652039325
1739209663.401377;-33.981070128970906
1739209663.4013834;-45.120503652039325
1739209663.40139;-45.120503652039325
1739209663.4013968;-45.120503652039325
1739209663.4014032;-45.120503652039325
1739209663.4014099;-45.120503652039325
1739209663.4014163;-45.120503652039325
1739209663.401423;-38.13080360867914
1739209663.4014297;-45.120503652039325
1739209663.401436;-38.13080360867914
1739209663.4014428;-38.13080360867914
1739209663.4014494;-31.141103565318915
1739209663.4014559;-45.120503652039325
