CAN Message; 0x1d3:0000fcfb79d233c7
Timestamp;Amplitude
1739209618.9941769;-38.13080360867914
1739209618.9941802;-38.13080360867914
1739209618.9941833;-45.120503652039325
1739209618.9941866;-45.120503652039325
1739209618.9941897;-45.120503652039325
1739209618.994193;-45.120503652039325
1739209618.9941962;-45.120503652039325
1739209618.9941995;-38.13080360867914
1739209618.9942026;-45.120503652039325
1739209618.994206;-45.120503652039325
1739209618.994209;-45.120503652039325
1739209618.9942122;-32.816014438256545
1739209618.9942155;-28.21854285175415
1739209618.9942186;-45.120503652039325
1739209618.994222;-45.120503652039325
1739209618.994225;-32.816014438256545
1739209618.9942284;-32.816014438256545
1739209618.9942315;-45.120503652039325
1739209618.9942348;-38.13080360867914
1739209618.994238;-38.13080360867914
1739209618.9942412;-38.13080360867914
1739209618.9942443;-45.120503652039325
1739209618.9942477;-45.120503652039325
1739209618.9942508;-38.13080360867914
1739209618.9942539;-38.13080360867914
1739209618.9942572;-38.13080360867914
1739209618.9942603;-45.120503652039325
1739209618.9942636;-35.57807855764607
1739209618.9942667;-25.826314394896354
1739209618.99427;-38.13080360867914
1739209618.9942732;-45.120503652039325
1739209618.9942765;-38.13080360867914
1739209618.9942796;-35.57807855764607
1739209618.994283;-45.120503652039325
1739209618.994286;-35.57807855764607
1739209618.9942892;-38.13080360867914
1739209618.9942925;-45.120503652039325
1739209618.9942956;-45.120503652039325
1739209618.994299;-45.120503652039325
1739209618.994302;-33.981070128970906
1739209618.9943054;-38.13080360867914
1739209618.9943085;-38.13080360867914
1739209618.9943118;-45.120503652039325
1739209618.994315;-38.13080360867914
1739209618.9943182;-26.991370085610722
1739209618.9943213;-38.13080360867914
1739209618.9943247;-45.120503652039325
1739209618.9943278;-38.13080360867914
1739209618.994331;-38.13080360867914
1739209618.9943342;-45.120503652039325
1739209618.9943373;-38.13080360867914
1739209618.9943407;-45.120503652039325
1739209618.9943438;-45.120503652039325
1739209618.994347;-45.120503652039325
1739209618.9943502;-38.13080360867914
1739209618.9943535;-38.13080360867914
1739209618.9943566;-45.120503652039325
1739209618.99436;-38.13080360867914
1739209618.994363;-45.120503652039325
1739209618.9943662;-38.13080360867914
1739209618.9943695;-38.13080360867914
1739209618.9943726;-35.57807855764607
1739209618.994376;-38.13080360867914
1739209618.994379;-45.120503652039325
1739209618.9943824;-45.120503652039325
1739209618.9943855;-45.120503652039325
1739209618.9943888;-45.120503652039325
1739209618.994392;-45.120503652039325
1739209618.9943953;-38.13080360867914
1739209618.9943984;-38.13080360867914
1739209618.9944017;-33.981070128970906
1739209618.9944048;-38.13080360867914
1739209618.994408;-45.120503652039325
1739209618.9944112;-33.981070128970906
1739209618.9944143;-35.57807855764607
1739209618.9944177;-38.13080360867914
1739209618.9944208;-45.120503652039325
1739209618.994424;-45.120503652039325
1739209618.9944272;-38.13080360867914
1739209618.9944305;-45.120503652039325
1739209618.9944336;-45.120503652039325
1739209618.994437;-45.120503652039325
1739209618.99444;-45.120503652039325
1739209618.9944432;-45.120503652039325
1739209618.9944465;-33.981070128970906
1739209618.9944496;-38.13080360867914
1739209618.994453;-45.120503652039325
1739209618.994456;-38.13080360867914
1739209618.9944594;-45.120503652039325
1739209618.9944625;-31.141103565318915
1739209618.9944658;-38.13080360867914
1739209618.994469;-38.13080360867914
1739209618.9944723;-45.120503652039325
1739209618.9944754;-45.120503652039325
1739209618.9944787;-38.13080360867914
1739209618.9944818;-38.13080360867914
1739209618.994485;-38.13080360867914
1739209618.9944882;-45.120503652039325
