CAN Message; 0x150:0000123e26482b77
Timestamp;Amplitude
1739209885.8730168;-31.141103565318915
1739209885.8730237;-38.13080360867914
1739209885.873031;-38.13080360867914
1739209885.873038;-38.13080360867914
1739209885.8730452;-35.57807855764607
1739209885.8730521;-35.57807855764607
1739209885.8730593;-45.120503652039325
1739209885.8730664;-38.13080360867914
1739209885.8730733;-33.981070128970906
1739209885.8730805;-45.120503652039325
1739209885.8730876;-45.120503652039325
1739209885.8730946;-45.120503652039325
1739209885.8731017;-45.120503652039325
1739209885.8731089;-45.120503652039325
1739209885.873116;-38.13080360867914
1739209885.873123;-45.120503652039325
1739209885.87313;-35.57807855764607
1739209885.8731372;-35.57807855764607
1739209885.8731441;-45.120503652039325
1739209885.8731513;-45.120503652039325
1739209885.8731585;-45.120503652039325
1739209885.8731656;-38.13080360867914
1739209885.8731725;-45.120503652039325
1739209885.8731797;-38.13080360867914
1739209885.8731868;-27.267205301931607
1739209885.8731937;-45.120503652039325
1739209885.873201;-45.120503652039325
1739209885.873208;-38.13080360867914
1739209885.873215;-38.13080360867914
1739209885.873222;-45.120503652039325
1739209885.8732293;-45.120503652039325
1739209885.8732364;-45.120503652039325
1739209885.8732433;-45.120503652039325
1739209885.8732505;-45.120503652039325
1739209885.8732576;-45.120503652039325
1739209885.8732646;-35.57807855764607
1739209885.8732717;-38.13080360867914
1739209885.8732789;-38.13080360867914
1739209885.873286;-38.13080360867914
1739209885.873293;-45.120503652039325
1739209885.8733;-38.13080360867914
1739209885.8733072;-38.13080360867914
1739209885.8733141;-45.120503652039325
1739209885.8733213;-45.120503652039325
1739209885.8733284;-38.13080360867914
1739209885.8733354;-38.13080360867914
1739209885.8733425;-45.120503652039325
1739209885.8733497;-38.13080360867914
1739209885.8733568;-45.120503652039325
1739209885.8733637;-45.120503652039325
1739209885.873371;-45.120503652039325
1739209885.873378;-45.120503652039325
1739209885.873385;-45.120503652039325
1739209885.873392;-45.120503652039325
1739209885.8733993;-32.816014438256545
1739209885.8734064;-33.981070128970906
1739209885.8734133;-45.120503652039325
1739209885.8734205;-38.13080360867914
1739209885.8734276;-33.981070128970906
1739209885.8734345;-45.120503652039325
1739209885.8734417;-38.13080360867914
1739209885.8734488;-35.57807855764607
1739209885.8734558;-38.13080360867914
1739209885.873463;-38.13080360867914
1739209885.87347;-35.57807855764607
1739209885.8734772;-45.120503652039325
1739209885.8734841;-45.120503652039325
1739209885.8734913;-33.981070128970906
1739209885.8734984;-45.120503652039325
1739209885.8735054;-45.120503652039325
1739209885.8735125;-45.120503652039325
1739209885.8735197;-45.120503652039325
1739209885.8735268;-45.120503652039325
1739209885.8735337;-45.120503652039325
