CAN Message; 0x98:0000e6524f95a2e5
Timestamp;Amplitude
1739209824.424545;-38.13080360867914
1739209824.424553;-45.120503652039325
1739209824.4245605;-45.120503652039325
1739209824.4245682;-31.141103565318915
1739209824.424576;-45.120503652039325
1739209824.4245837;-38.13080360867914
1739209824.4245915;-45.120503652039325
1739209824.4245992;-35.57807855764607
1739209824.4246068;-38.13080360867914
1739209824.4246147;-45.120503652039325
1739209824.4246223;-45.120503652039325
1739209824.42463;-45.120503652039325
1739209824.4246378;-38.13080360867914
1739209824.4246454;-38.13080360867914
1739209824.4246533;-38.13080360867914
1739209824.424661;-45.120503652039325
1739209824.4246686;-38.13080360867914
1739209824.4246764;-45.120503652039325
1739209824.424684;-45.120503652039325
1739209824.4246917;-35.57807855764607
1739209824.4246995;-38.13080360867914
1739209824.4247072;-31.141103565318915
1739209824.424715;-38.13080360867914
1739209824.4247227;-33.981070128970906
1739209824.4247303;-38.13080360867914
1739209824.4247382;-45.120503652039325
1739209824.4247458;-45.120503652039325
1739209824.4247534;-28.58837851428586
1739209824.4247613;-38.13080360867914
1739209824.424769;-45.120503652039325
1739209824.4247766;-45.120503652039325
1739209824.4247844;-45.120503652039325
1739209824.424792;-35.57807855764607
1739209824.4248;-45.120503652039325
1739209824.4248075;-45.120503652039325
1739209824.4248152;-33.981070128970956
1739209824.424823;-38.13080360867914
1739209824.4248307;-35.57807855764607
1739209824.4248383;-38.13080360867914
1739209824.4248462;-45.120503652039325
1739209824.4248538;-38.13080360867914
1739209824.4248617;-38.13080360867914
1739209824.4248693;-38.13080360867914
1739209824.424877;-28.58837851428586
1739209824.4248848;-38.13080360867914
1739209824.4248924;-38.13080360867914
1739209824.4249;-38.13080360867914
1739209824.424908;-38.13080360867914
1739209824.4249156;-45.120503652039325
1739209824.4249234;-38.13080360867914
1739209824.424931;-32.816014438256545
1739209824.4249387;-45.120503652039325
1739209824.4249465;-45.120503652039325
1739209824.4249542;-45.120503652039325
1739209824.4249618;-45.120503652039325
1739209824.4249697;-38.13080360867914
1739209824.4249773;-45.120503652039325
1739209824.424985;-45.120503652039325
1739209824.4249928;-45.120503652039325
1739209824.4250004;-45.120503652039325
1739209824.4250083;-38.13080360867914
1739209824.425016;-38.13080360867914
1739209824.4250236;-38.13080360867914
1739209824.4250314;-38.13080360867914
1739209824.425039;-45.120503652039325
1739209824.4250467;-35.57807855764607
1739209824.4250546;-35.57807855764607
1739209824.4250622;-31.141103565318893
1739209824.42507;-32.816014438256545
1739209824.4250777;-45.120503652039325
1739209824.4250853;-45.120503652039325
1739209824.4250932;-35.57807855764607
1739209824.4251008;-35.57807855764607
1739209824.4251084;-45.120503652039325
1739209824.4251163;-38.13080360867914
1739209824.425124;-38.13080360867914
1739209824.4251316;-45.120503652039325
1739209824.4251394;-45.120503652039325
1739209824.425147;-38.13080360867914
1739209824.425155;-45.120503652039325
1739209824.4251626;-45.120503652039325
1739209824.4251702;-38.13080360867914
1739209824.425178;-45.120503652039325
1739209824.4251857;-32.816014438256545
1739209824.4251933;-30.49652367304973
1739209824.4252012;-45.120503652039325
1739209824.4252088;-45.120503652039325
1739209824.4252167;-38.13080360867914
1739209824.4252243;-38.13080360867914
1739209824.425232;-38.13080360867914
1739209824.4252398;-38.13080360867914
1739209824.4252474;-33.981070128970906
1739209824.425255;-35.57807855764607
1739209824.425263;-45.120503652039325
1739209824.4252706;-45.120503652039325
1739209824.4252784;-35.57807855764607
1739209824.425286;-35.57807855764607
1739209824.4252937;-45.120503652039325
1739209824.4253016;-38.13080360867914
1739209824.4253092;-38.13080360867914
1739209824.4253168;-38.13080360867914
1739209824.4253247;-38.13080360867914
1739209824.4253323;-38.13080360867914
1739209824.42534;-45.120503652039325
1739209824.4253478;-38.13080360867914
1739209824.4253554;-38.13080360867914
1739209824.4253633;-45.120503652039325
1739209824.425371;-38.13080360867914
1739209824.4253786;-35.57807855764607
1739209824.4253864;-45.120503652039325
1739209824.425394;-45.120503652039325
1739209824.4254017;-32.816014438256545
1739209824.4254096;-38.13080360867914
1739209824.4254172;-45.120503652039325
1739209824.425425;-45.120503652039325
1739209824.4254327;-38.13080360867914
1739209824.4254403;-45.120503652039325
1739209824.4254482;-32.816014438256545
1739209824.4254558;-32.816014438256545
1739209824.4254634;-45.120503652039325
1739209824.4254713;-38.13080360867914
1739209824.425479;-35.57807855764607
1739209824.4254868;-38.13080360867914
1739209824.4254944;-45.120503652039325
1739209824.425502;-45.120503652039325
1739209824.42551;-45.120503652039325
1739209824.4255176;-33.981070128970906
1739209824.4255252;-45.120503652039325
1739209824.425533;-45.120503652039325
1739209824.4255407;-38.13080360867914
1739209824.4255483;-38.13080360867914
1739209824.4255562;-38.13080360867914
1739209824.4255638;-33.981070128970906
1739209824.4255717;-38.13080360867914
1739209824.4255793;-38.13080360867914
1739209824.425587;-38.13080360867914
1739209824.4255948;-35.57807855764607
1739209824.4256024;-38.13080360867914
1739209824.42561;-38.13080360867914
1739209824.425618;-45.120503652039325
1739209824.4256256;-38.13080360867914
1739209824.4256334;-33.981070128970906
1739209824.425641;-38.13080360867914
1739209824.4256487;-45.120503652039325
1739209824.4256566;-38.13080360867914
1739209824.4256642;-38.13080360867914
1739209824.4256718;-38.13080360867914
1739209824.4256797;-45.120503652039325
1739209824.4256873;-38.13080360867914
1739209824.4256952;-45.120503652039325
1739209824.4257028;-38.13080360867914
1739209824.4257104;-33.981070128970906
1739209824.4257183;-38.13080360867914
1739209824.425726;-38.13080360867914
1739209824.4257336;-45.120503652039325
1739209824.4257414;-38.13080360867914
1739209824.425749;-35.57807855764607
1739209824.4257567;-38.13080360867914
1739209824.4257646;-45.120503652039325
1739209824.4257722;-32.816014438256545
1739209824.42578;-33.981070128970906
1739209824.4257877;-38.13080360867914
1739209824.4257953;-38.13080360867914
1739209824.4258032;-38.13080360867914
1739209824.4258108;-38.13080360867914
1739209824.4258184;-35.57807855764607
1739209824.4258263;-38.13080360867914
1739209824.425834;-45.120503652039325
1739209824.4258418;-45.120503652039325
1739209824.4258494;-45.120503652039325
1739209824.425857;-45.120503652039325
1739209824.425865;-38.13080360867914
1739209824.4258726;-33.981070128970906
1739209824.4258802;-31.141103565318915
1739209824.425888;-45.120503652039325
1739209824.4258957;-45.120503652039325
1739209824.4259036;-32.816014438256545
1739209824.4259112;-45.120503652039325
1739209824.4259188;-45.120503652039325
1739209824.4259267;-33.981070128970906
1739209824.4259343;-38.13080360867914
1739209824.425942;-31.14110356531892
1739209824.4259498;-45.120503652039325
1739209824.4259574;-38.13080360867914
1739209824.425965;-45.120503652039325
1739209824.425973;-38.13080360867914
1739209824.4259806;-35.57807855764607
1739209824.4259884;-38.13080360867914
1739209824.425996;-45.120503652039325
1739209824.4260037;-38.13080360867914
1739209824.4260116;-45.120503652039325
1739209824.4260192;-45.120503652039325
1739209824.4260268;-45.120503652039325
1739209824.4260347;-38.13080360867914
1739209824.4260423;-45.120503652039325
1739209824.4260502;-45.120503652039325
1739209824.4260578;-38.13080360867914
1739209824.4260654;-28.992665084841942
1739209824.4260733;-38.13080360867914
1739209824.426081;-38.13080360867914
1739209824.4260886;-38.13080360867914
1739209824.4260964;-33.981070128970906
1739209824.426104;-45.120503652039325
1739209824.426112;-38.13080360867914
1739209824.4261196;-45.120503652039325
1739209824.4261272;-35.57807855764607
1739209824.426135;-45.120503652039325
1739209824.4261427;-35.57807855764607
1739209824.4261503;-45.120503652039325
1739209824.4261582;-38.13080360867914
1739209824.4261658;-38.13080360867914
1739209824.4261734;-45.120503652039325
1739209824.4261813;-38.13080360867914
1739209824.426189;-30.49652367304973
1739209824.4261968;-38.13080360867914
1739209824.4262044;-45.120503652039325
1739209824.426212;-45.120503652039325
1739209824.42622;-38.13080360867914
1739209824.4262276;-33.981070128970906
1739209824.4262352;-45.120503652039325
1739209824.426243;-45.120503652039325
1739209824.4262507;-33.981070128970906
1739209824.4262586;-31.141103565318915
1739209824.4262662;-33.981070128970906
1739209824.4262738;-38.13080360867914
1739209824.4262817;-38.13080360867914
1739209824.4262893;-38.13080360867914
1739209824.426297;-38.13080360867914
1739209824.4263048;-45.120503652039325
1739209824.4263124;-38.13080360867914
1739209824.42632;-35.57807855764607
1739209824.426328;-35.57807855764607
1739209824.4263356;-38.13080360867914
1739209824.4263434;-33.981070128970906
1739209824.426351;-32.816014438256545
1739209824.4263587;-45.120503652039325
1739209824.4263666;-45.120503652039325
1739209824.4263742;-38.13080360867914
1739209824.4263818;-38.13080360867914
1739209824.4263897;-45.120503652039325
1739209824.4263973;-45.120503652039325
1739209824.4264052;-45.120503652039325
1739209824.4264128;-45.120503652039325
1739209824.4264205;-38.13080360867914
1739209824.4264283;-35.57807855764607
1739209824.426436;-38.13080360867914
1739209824.4264436;-45.120503652039325
1739209824.4264514;-45.120503652039325
1739209824.426459;-31.141103565318915
1739209824.426467;-38.13080360867914
1739209824.4264746;-38.13080360867914
1739209824.4264822;-38.13080360867914
1739209824.42649;-33.981070128970906
1739209824.4264977;-38.13080360867914
1739209824.4265053;-35.57807855764607
1739209824.4265132;-38.13080360867914
1739209824.4265208;-38.13080360867914
1739209824.4265285;-45.120503652039325
1739209824.4265363;-38.13080360867914
1739209824.426544;-38.13080360867914
1739209824.4265518;-32.816014438256545
1739209824.4265594;-45.120503652039325
1739209824.426567;-38.13080360867914
1739209824.426575;-35.57807855764607
1739209824.4265826;-45.120503652039325
1739209824.4265902;-45.120503652039325
1739209824.426598;-45.120503652039325
1739209824.4266057;-45.120503652039325
1739209824.4266136;-45.120503652039325
1739209824.4266212;-38.13080360867914
1739209824.4266288;-38.13080360867914
1739209824.4266367;-45.120503652039325
1739209824.4266443;-45.120503652039325
