CAN Message; 0x24:0c7a137376dc549a
Timestamp;Amplitude
1739209777.6827562;-33.981070128970906
1739209777.6827683;-45.120503652039325
1739209777.6827807;-38.13080360867914
1739209777.682793;-38.13080360867914
1739209777.682805;-45.120503652039325
1739209777.6828172;-45.120503652039325
1739209777.6828296;-45.120503652039325
1739209777.6828418;-45.120503652039325
1739209777.682854;-38.13080360867914
1739209777.682866;-38.13080360867914
1739209777.6828785;-45.120503652039325
1739209777.6828907;-38.13080360867914
1739209777.6829028;-45.120503652039325
1739209777.682915;-35.57807855764607
1739209777.6829274;-38.13080360867914
1739209777.6829395;-38.13080360867914
1739209777.6829517;-45.120503652039325
1739209777.6829638;-38.13080360867914
1739209777.6829762;-33.981070128970906
1739209777.6829884;-38.13080360867914
1739209777.6830006;-38.13080360867914
1739209777.6830127;-45.120503652039325
1739209777.6830251;-38.13080360867914
1739209777.6830373;-38.13080360867914
1739209777.6830494;-38.13080360867914
1739209777.6830616;-45.120503652039325
1739209777.683074;-45.120503652039325
1739209777.6830862;-45.120503652039325
1739209777.6830983;-45.120503652039325
1739209777.6831105;-45.120503652039325
1739209777.6831229;-45.120503652039325
1739209777.683135;-45.120503652039325
1739209777.6831472;-38.13080360867914
1739209777.6831594;-35.57807855764607
1739209777.6831715;-35.57807855764607
1739209777.683184;-38.13080360867914
1739209777.683196;-38.13080360867914
1739209777.6832082;-31.141103565318893
1739209777.6832204;-30.49652367304973
1739209777.6832328;-45.120503652039325
1739209777.683245;-45.120503652039325
1739209777.683257;-38.13080360867914
1739209777.6832693;-33.981070128970906
1739209777.6832817;-45.120503652039325
1739209777.6832938;-45.120503652039325
1739209777.683306;-38.13080360867914
1739209777.6833181;-45.120503652039325
1739209777.6833305;-45.120503652039325
1739209777.6833427;-45.120503652039325
1739209777.6833549;-45.120503652039325
1739209777.683367;-35.57807855764607
1739209777.6833794;-45.120503652039325
1739209777.6833916;-45.120503652039325
1739209777.6834037;-35.57807855764607
1739209777.683416;-38.13080360867914
1739209777.6834283;-45.120503652039325
1739209777.6834404;-45.120503652039325
1739209777.6834526;-38.13080360867914
1739209777.6834648;-27.267205301931607
1739209777.6834772;-45.120503652039325
1739209777.6834893;-45.120503652039325
1739209777.6835015;-45.120503652039325
1739209777.6835136;-38.13080360867914
1739209777.683526;-38.13080360867914
1739209777.6835382;-38.13080360867914
1739209777.6835504;-38.13080360867914
1739209777.6835625;-33.981070128970906
1739209777.6835747;-38.13080360867914
1739209777.683587;-33.981070128970906
1739209777.6835992;-38.13080360867914
1739209777.6836114;-38.13080360867914
1739209777.6836236;-38.13080360867914
1739209777.683636;-38.13080360867914
1739209777.683648;-45.120503652039325
1739209777.6836603;-33.981070128970906
1739209777.6836724;-35.57807855764607
1739209777.6836848;-38.13080360867914
1739209777.683697;-45.120503652039325
1739209777.6837091;-45.120503652039325
1739209777.6837213;-35.57807855764607
1739209777.6837337;-38.13080360867914
1739209777.6837459;-45.120503652039325
1739209777.683758;-38.13080360867914
1739209777.6837702;-35.57807855764607
1739209777.6837826;-38.13080360867914
1739209777.6837947;-45.120503652039325
1739209777.683807;-45.120503652039325
1739209777.683819;-32.816014438256545
1739209777.6838315;-38.13080360867914
1739209777.6838436;-45.120503652039325
1739209777.6838558;-28.992665084841942
1739209777.683868;-31.141103565318915
1739209777.6838803;-38.13080360867914
1739209777.6838925;-38.13080360867914
1739209777.6839046;-38.13080360867914
1739209777.6839168;-38.13080360867914
1739209777.683929;-38.13080360867914
1739209777.6839414;-45.120503652039325
1739209777.6839535;-38.13080360867914
1739209777.6839657;-33.981070128970906
1739209777.6839778;-38.13080360867914
1739209777.6839902;-38.13080360867914
1739209777.6840024;-38.13080360867914
1739209777.6840146;-35.57807855764607
1739209777.6840267;-45.120503652039325
1739209777.684039;-38.13080360867914
1739209777.6840513;-33.981070128970906
1739209777.6840634;-31.141103565318915
1739209777.6840756;-38.13080360867914
1739209777.684088;-45.120503652039325
1739209777.6841002;-45.120503652039325
1739209777.6841123;-45.120503652039325
1739209777.6841245;-45.120503652039325
1739209777.6841369;-35.57807855764607
