CAN Message; 0x77:fa90b5054ee7a648
Timestamp;Amplitude
1739209604.8468041;-38.13080360867914
1739209604.846813;-45.120503652039325
1739209604.8468218;-45.120503652039325
1739209604.8468304;-35.57807855764607
1739209604.8468392;-38.13080360867914
1739209604.846848;-45.120503652039325
1739209604.8468568;-45.120503652039325
1739209604.8468657;-33.981070128970906
1739209604.8468745;-33.981070128970906
1739209604.846883;-38.13080360867914
1739209604.8468919;-38.13080360867914
1739209604.8469007;-38.13080360867914
1739209604.8469095;-45.120503652039325
1739209604.8469183;-45.120503652039325
1739209604.8469272;-45.120503652039325
1739209604.846936;-45.120503652039325
1739209604.8469446;-38.13080360867914
1739209604.8469534;-45.120503652039325
1739209604.8469622;-45.120503652039325
1739209604.846971;-38.13080360867914
1739209604.8469799;-35.57807855764607
1739209604.8469887;-38.13080360867914
1739209604.8469973;-45.120503652039325
1739209604.847006;-38.13080360867914
1739209604.847015;-38.13080360867914
1739209604.8470237;-45.120503652039325
1739209604.8470325;-45.120503652039325
1739209604.8470414;-35.57807855764607
1739209604.8470502;-45.120503652039325
1739209604.8470588;-45.120503652039325
1739209604.8470676;-35.57807855764607
1739209604.8470764;-33.981070128970906
1739209604.8470852;-45.120503652039325
1739209604.847094;-45.120503652039325
1739209604.8471029;-38.13080360867914
1739209604.8471115;-45.120503652039325
1739209604.8471203;-45.120503652039325
1739209604.847129;-38.13080360867914
1739209604.847138;-35.57807855764607
1739209604.8471467;-45.120503652039325
1739209604.8471556;-45.120503652039325
1739209604.8471644;-38.13080360867914
1739209604.847173;-45.120503652039325
1739209604.8471818;-35.57807855764607
1739209604.8471906;-31.141103565318893
1739209604.8471994;-35.57807855764607
1739209604.8472083;-35.57807855764607
1739209604.847217;-33.981070128970906
1739209604.8472257;-33.981070128970906
1739209604.8472345;-45.120503652039325
1739209604.8472433;-45.120503652039325
1739209604.8472521;-45.120503652039325
1739209604.847261;-45.120503652039325
1739209604.8472698;-38.13080360867914
1739209604.8472786;-38.13080360867914
1739209604.8472872;-45.120503652039325
1739209604.847296;-38.13080360867914
1739209604.8473048;-38.13080360867914
1739209604.8473136;-45.120503652039325
1739209604.8473225;-45.120503652039325
1739209604.8473313;-45.120503652039325
1739209604.8473399;-38.13080360867914
1739209604.8473487;-38.13080360867914
1739209604.8473575;-33.981070128970906
1739209604.8473663;-38.13080360867914
1739209604.8473752;-35.57807855764607
1739209604.847384;-45.120503652039325
1739209604.8473928;-38.13080360867914
1739209604.8474014;-30.49652367304973
1739209604.8474102;-38.13080360867914
1739209604.847419;-45.120503652039325
1739209604.8474278;-45.120503652039325
1739209604.8474367;-32.816014438256545
1739209604.8474455;-38.13080360867914
1739209604.8474543;-45.120503652039325
1739209604.847463;-45.120503652039325
1739209604.8474717;-38.13080360867914
1739209604.8474805;-45.120503652039325
1739209604.8474894;-45.120503652039325
1739209604.8474982;-45.120503652039325
1739209604.847507;-45.120503652039325
1739209604.8475156;-45.120503652039325
1739209604.8475244;-45.120503652039325
1739209604.8475332;-38.13080360867914
1739209604.847542;-32.816014438256545
1739209604.8475509;-45.120503652039325
1739209604.8475597;-45.120503652039325
1739209604.8475685;-38.13080360867914
1739209604.847577;-35.57807855764607
1739209604.847586;-45.120503652039325
1739209604.8475947;-38.13080360867914
1739209604.8476036;-45.120503652039325
1739209604.8476124;-35.57807855764607
1739209604.8476212;-45.120503652039325
1739209604.8476298;-38.13080360867914
1739209604.8476386;-38.13080360867914
1739209604.8476474;-45.120503652039325
1739209604.8476562;-45.120503652039325
1739209604.847665;-35.57807855764607
1739209604.847674;-38.13080360867914
1739209604.8476827;-45.120503652039325
1739209604.8476913;-38.13080360867914
1739209604.8477;-35.57807855764607
1739209604.847709;-45.120503652039325
1739209604.8477178;-45.120503652039325
1739209604.8477266;-38.13080360867914
1739209604.8477354;-38.13080360867914
1739209604.847744;-45.120503652039325
1739209604.8477528;-28.21854285175415
1739209604.8477616;-38.13080360867914
1739209604.8477705;-45.120503652039325
1739209604.8477793;-38.13080360867914
1739209604.847788;-35.57807855764607
1739209604.847797;-45.120503652039325
1739209604.8478055;-45.120503652039325
1739209604.8478143;-45.120503652039325
1739209604.8478231;-38.13080360867914
1739209604.847832;-45.120503652039325
1739209604.8478408;-32.816014438256545
1739209604.8478496;-38.13080360867914
1739209604.8478582;-45.120503652039325
1739209604.847867;-38.13080360867914
1739209604.8478758;-32.816014438256545
1739209604.8478847;-33.981070128970906
1739209604.8478935;-31.141103565318893
1739209604.8479023;-35.57807855764607
1739209604.8479111;-45.120503652039325
1739209604.8479197;-38.13080360867914
1739209604.8479285;-45.120503652039325
1739209604.8479373;-45.120503652039325
1739209604.8479462;-45.120503652039325
1739209604.847955;-45.120503652039325
1739209604.8479638;-35.57807855764607
1739209604.8479724;-35.57807855764607
1739209604.8479812;-45.120503652039325
1739209604.84799;-45.120503652039325
1739209604.8479989;-45.120503652039325
1739209604.8480077;-38.13080360867914
1739209604.8480165;-38.13080360867914
