CAN Message; 0x24:0ca3700aaf863243
Timestamp;Amplitude
1739209722.62682;-38.13080360867914
1739209722.6268387;-32.816014438256545
1739209722.6268573;-45.120503652039325
1739209722.6268759;-38.13080360867914
1739209722.6268945;-45.120503652039325
1739209722.6269133;-38.13080360867914
1739209722.626932;-35.57807855764607
1739209722.6269505;-38.13080360867914
1739209722.626969;-38.13080360867914
1739209722.6269877;-45.120503652039325
1739209722.6270063;-38.13080360867914
1739209722.627025;-45.120503652039325
1739209722.6270435;-38.13080360867914
1739209722.627062;-35.57807855764607
1739209722.6270807;-45.120503652039325
1739209722.6270993;-35.57807855764607
1739209722.627118;-33.981070128970906
1739209722.6271367;-45.120503652039325
1739209722.6271553;-45.120503652039325
1739209722.627174;-45.120503652039325
1739209722.6271925;-45.120503652039325
1739209722.627211;-38.13080360867914
1739209722.6272297;-38.13080360867914
1739209722.6272483;-35.57807855764607
1739209722.627267;-45.120503652039325
1739209722.6272855;-45.120503652039325
1739209722.6273043;-33.981070128970906
1739209722.627323;-38.13080360867914
1739209722.6273415;-45.120503652039325
1739209722.62736;-45.120503652039325
1739209722.6273787;-35.57807855764607
1739209722.6273973;-35.57807855764607
1739209722.627416;-38.13080360867914
1739209722.6274345;-45.120503652039325
1739209722.627453;-38.13080360867914
1739209722.6274717;-32.816014438256545
1739209722.6274903;-33.981070128970906
1739209722.627509;-28.21854285175415
1739209722.6275277;-38.13080360867914
1739209722.6275463;-45.120503652039325
1739209722.627565;-38.13080360867914
1739209722.6275835;-45.120503652039325
1739209722.627602;-38.13080360867914
1739209722.6276207;-35.57807855764607
1739209722.6276393;-33.981070128970906
1739209722.627658;-31.141103565318943
1739209722.6276765;-45.120503652039325
1739209722.627695;-32.816014438256545
1739209722.627714;-38.13080360867914
1739209722.6277325;-45.120503652039325
1739209722.627751;-38.13080360867914
1739209722.6277697;-35.57807855764607
1739209722.6277883;-38.13080360867914
1739209722.627807;-32.816014438256545
1739209722.6278255;-35.57807855764607
1739209722.627844;-45.120503652039325
1739209722.6278627;-45.120503652039325
1739209722.6278813;-45.120503652039325
1739209722.6279;-38.13080360867914
1739209722.6279187;-38.13080360867914
1739209722.6279373;-45.120503652039325
