CAN Message; 0x24:06e1f9fb5ad98c58
Timestamp;Amplitude
1739209661.5260425;-32.816014438256545
1739209661.5260494;-45.120503652039325
1739209661.526056;-38.13080360867914
1739209661.526063;-38.13080360867914
1739209661.5260696;-35.57807855764607
1739209661.5260766;-45.120503652039325
1739209661.5260832;-38.13080360867914
1739209661.5260901;-38.13080360867914
1739209661.5260968;-45.120503652039325
1739209661.5261037;-38.13080360867914
1739209661.5261104;-45.120503652039325
1739209661.5261173;-32.816014438256545
1739209661.526124;-25.826314394896357
1739209661.526131;-45.120503652039325
1739209661.5261376;-38.13080360867914
1739209661.5261445;-35.57807855764607
1739209661.5261512;-38.13080360867914
1739209661.526158;-45.120503652039325
1739209661.5261648;-38.13080360867914
1739209661.5261717;-45.120503652039325
1739209661.5261784;-31.14110356531892
1739209661.5261853;-38.13080360867914
1739209661.526192;-45.120503652039325
1739209661.5261989;-45.120503652039325
1739209661.5262055;-45.120503652039325
1739209661.5262125;-45.120503652039325
1739209661.5262191;-45.120503652039325
1739209661.526226;-45.120503652039325
1739209661.5262327;-31.141103565318915
1739209661.5262396;-38.13080360867914
1739209661.5262463;-45.120503652039325
1739209661.5262532;-31.141103565318893
1739209661.52626;-38.13080360867914
1739209661.5262668;-45.120503652039325
1739209661.5262735;-38.13080360867914
1739209661.5262804;-33.981070128970906
1739209661.526287;-38.13080360867914
1739209661.5262938;-35.57807855764607
1739209661.5263007;-38.13080360867914
1739209661.5263073;-45.120503652039325
1739209661.5263143;-38.13080360867914
1739209661.526321;-38.13080360867914
1739209661.5263278;-45.120503652039325
1739209661.5263345;-45.120503652039325
1739209661.5263414;-45.120503652039325
1739209661.526348;-38.13080360867914
1739209661.526355;-33.981070128970906
1739209661.5263617;-38.13080360867914
1739209661.5263686;-33.981070128970906
1739209661.5263753;-33.981070128970906
1739209661.5263822;-38.13080360867914
1739209661.526389;-45.120503652039325
1739209661.5263958;-38.13080360867914
1739209661.5264025;-38.13080360867914
1739209661.5264094;-45.120503652039325
1739209661.526416;-45.120503652039325
1739209661.526423;-38.13080360867914
1739209661.5264297;-38.13080360867914
1739209661.5264366;-45.120503652039325
1739209661.5264432;-45.120503652039325
1739209661.5264502;-38.13080360867914
1739209661.5264568;-45.120503652039325
1739209661.5264637;-45.120503652039325
1739209661.5264704;-38.13080360867914
1739209661.5264773;-33.981070128970906
1739209661.526484;-45.120503652039325
1739209661.526491;-33.981070128970906
1739209661.5264976;-45.120503652039325
1739209661.5265045;-38.13080360867914
1739209661.5265112;-38.13080360867914
1739209661.526518;-38.13080360867914
1739209661.5265248;-45.120503652039325
1739209661.5265317;-45.120503652039325
1739209661.5265384;-32.816014438256545
1739209661.526545;-38.13080360867914
1739209661.526552;-45.120503652039325
1739209661.5265586;-38.13080360867914
1739209661.5265656;-45.120503652039325
1739209661.5265722;-45.120503652039325
1739209661.5265791;-38.13080360867914
1739209661.5265858;-35.57807855764607
1739209661.5265927;-45.120503652039325
1739209661.5265994;-38.13080360867914
1739209661.5266063;-38.13080360867914
1739209661.526613;-45.120503652039325
1739209661.52662;-38.13080360867914
1739209661.5266266;-35.57807855764607
1739209661.5266335;-45.120503652039325
1739209661.5266402;-38.13080360867914
1739209661.526647;-38.13080360867914
1739209661.5266538;-45.120503652039325
1739209661.5266607;-38.13080360867914
1739209661.5266674;-45.120503652039325
1739209661.5266743;-35.57807855764607
1739209661.526681;-38.13080360867914
1739209661.5266879;-45.120503652039325
1739209661.5266945;-45.120503652039325
1739209661.5267015;-45.120503652039325
1739209661.5267081;-45.120503652039325
1739209661.526715;-38.13080360867914
1739209661.5267217;-35.57807855764607
1739209661.5267286;-45.120503652039325
1739209661.5267353;-45.120503652039325
1739209661.5267422;-35.57807855764607
1739209661.526749;-33.981070128970906
