CAN Message; 0x77:66deaad5c2d803e5
Timestamp;Amplitude
1739209805.6391304;-31.141103565318915
1739209805.6391346;-38.13080360867914
1739209805.639139;-38.13080360867914
1739209805.6391432;-29.438486411369333
1739209805.6391475;-38.13080360867914
1739209805.6391518;-25.826314394896354
1739209805.639156;-23.16150712794696
1739209805.6391604;-38.13080360867914
1739209805.6391647;-38.13080360867914
1739209805.6391687;-24.746238672633048
1739209805.639173;-31.141103565318915
1739209805.6391773;-45.120503652039325
1739209805.6391816;-33.981070128970906
1739209805.639186;-38.13080360867914
1739209805.6391902;-35.57807855764607
1739209805.6391945;-38.13080360867914
1739209805.6391988;-38.13080360867914
1739209805.639203;-25.62660358559016
1739209805.6392074;-23.38864096791655
1739209805.6392117;-22.841636605902558
1739209805.639216;-32.816014438256545
1739209805.6392202;-31.141103565318915
1739209805.6392245;-35.57807855764607
1739209805.6392288;-38.13080360867914
1739209805.639233;-38.13080360867914
1739209805.6392374;-38.13080360867914
1739209805.6392417;-38.13080360867914
1739209805.6392457;-33.981070128970906
1739209805.63925;-45.120503652039325
1739209805.6392543;-28.992665084841942
1739209805.6392586;-22.448786368009156
1739209805.639263;-26.991370085610754
1739209805.6392672;-45.120503652039325
1739209805.6392715;-28.992665084841942
1739209805.6392758;-27.267205301931607
1739209805.63928;-32.816014438256545
1739209805.6392844;-45.120503652039325
1739209805.6392887;-33.981070128970906
1739209805.639293;-35.57807855764607
1739209805.6392972;-45.120503652039325
1739209805.6393015;-45.120503652039325
1739209805.6393058;-32.81601443825658
1739209805.6393101;-24.15140352195872
1739209805.6393144;-22.002965041481744
1739209805.6393187;-35.57807855764607
1739209805.639323;-33.981070128970906
1739209805.639327;-26.991370085610722
1739209805.6393313;-38.13080360867914
1739209805.6393356;-38.13080360867914
1739209805.63934;-26.991370085610736
1739209805.6393442;-27.8777449560314
1739209805.6393485;-45.120503652039325
1739209805.6393528;-45.120503652039325
1739209805.639357;-32.816014438256545
1739209805.6393614;-31.141103565318893
1739209805.6393657;-45.120503652039325
1739209805.63937;-35.57807855764607
1739209805.6393743;-45.120503652039325
1739209805.6393785;-45.120503652039325
1739209805.6393828;-38.13080360867914
1739209805.6393871;-45.120503652039325
1739209805.6393914;-38.13080360867914
1739209805.6393957;-45.120503652039325
1739209805.6394;-38.13080360867914
1739209805.6394043;-45.120503652039325
1739209805.6394083;-29.438486411369333
1739209805.6394126;-30.49652367304973
1739209805.639417;-38.13080360867914
1739209805.6394212;-38.13080360867914
1739209805.6394255;-38.13080360867914
1739209805.6394298;-32.816014438256545
1739209805.639434;-45.120503652039325
1739209805.6394384;-45.120503652039325
1739209805.6394427;-45.120503652039325
1739209805.639447;-45.120503652039325
1739209805.6394513;-45.120503652039325
1739209805.6394556;-38.13080360867914
1739209805.6394598;-45.120503652039325
1739209805.6394641;-38.13080360867914
1739209805.6394684;-35.57807855764607
1739209805.6394727;-35.57807855764607
1739209805.639477;-38.13080360867914
1739209805.6394813;-45.120503652039325
1739209805.6394854;-45.120503652039325
1739209805.6394897;-45.120503652039325
1739209805.639494;-45.120503652039325
1739209805.6394982;-45.120503652039325
1739209805.6395025;-45.120503652039325
1739209805.6395068;-45.120503652039325
1739209805.639511;-45.120503652039325
1739209805.6395154;-38.13080360867914
1739209805.6395197;-38.13080360867914
1739209805.639524;-45.120503652039325
1739209805.6395283;-45.120503652039325
1739209805.6395326;-35.57807855764607
1739209805.6395369;-31.141103565318915
1739209805.6395411;-33.981070128970906
1739209805.6395454;-45.120503652039325
1739209805.6395497;-38.13080360867914
1739209805.639554;-35.57807855764607
1739209805.6395583;-33.981070128970906
1739209805.6395626;-45.120503652039325
1739209805.6395667;-38.13080360867914
1739209805.639571;-38.13080360867914
1739209805.6395752;-45.120503652039325
1739209805.6395795;-45.120503652039325
1739209805.6395838;-35.57807855764607
1739209805.639588;-38.13080360867914
1739209805.6395924;-45.120503652039325
1739209805.6395967;-38.13080360867914
1739209805.639601;-35.57807855764607
1739209805.6396053;-38.13080360867914
1739209805.6396096;-38.13080360867914
1739209805.6396139;-45.120503652039325
1739209805.6396182;-45.120503652039325
1739209805.6396224;-45.120503652039325
1739209805.6396267;-45.120503652039325
1739209805.639631;-29.438486411369333
1739209805.6396353;-32.816014438256545
1739209805.6396396;-45.120503652039325
1739209805.639644;-38.13080360867914
1739209805.639648;-45.120503652039325
1739209805.6396523;-38.13080360867914
1739209805.6396565;-45.120503652039325
1739209805.6396608;-45.120503652039325
1739209805.6396651;-35.57807855764607
1739209805.6396694;-45.120503652039325
1739209805.6396737;-45.120503652039325
1739209805.639678;-45.120503652039325
1739209805.6396823;-38.13080360867914
1739209805.6396866;-35.57807855764607
1739209805.6396909;-38.13080360867914
1739209805.6396952;-38.13080360867914
1739209805.6396995;-26.991370085610736
1739209805.6397038;-28.58837851428586
1739209805.639708;-38.13080360867914
1739209805.6397123;-30.49652367304973
