CAN Message; 0x39:07d79c5f55c1c9a2
Timestamp;Amplitude
1739209873.5036862;-45.120503652039325
1739209873.5036895;-33.981070128970906
1739209873.503693;-33.981070128970906
1739209873.5036967;-45.120503652039325
1739209873.5037;-38.13080360867914
1739209873.5037036;-38.13080360867914
1739209873.5037072;-38.13080360867914
1739209873.5037105;-45.120503652039325
1739209873.503714;-45.120503652039325
1739209873.5037177;-33.981070128970906
1739209873.503721;-45.120503652039325
1739209873.5037246;-45.120503652039325
1739209873.5037282;-38.13080360867914
1739209873.5037315;-38.13080360867914
1739209873.503735;-45.120503652039325
1739209873.5037386;-45.120503652039325
1739209873.5037422;-38.13080360867914
1739209873.5037456;-45.120503652039325
1739209873.5037491;-38.13080360867914
1739209873.5037527;-25.077289914212862
1739209873.503756;-45.120503652039325
1739209873.5037596;-45.120503652039325
1739209873.5037632;-33.981070128970906
1739209873.5037665;-38.13080360867914
1739209873.50377;-38.13080360867914
1739209873.5037737;-35.57807855764607
1739209873.503777;-38.13080360867914
1739209873.5037806;-45.120503652039325
1739209873.5037842;-45.120503652039325
1739209873.5037875;-38.13080360867914
1739209873.503791;-45.120503652039325
1739209873.5037947;-45.120503652039325
1739209873.503798;-38.13080360867914
1739209873.5038016;-45.120503652039325
1739209873.5038052;-38.13080360867914
1739209873.5038085;-38.13080360867914
1739209873.503812;-45.120503652039325
1739209873.5038157;-45.120503652039325
1739209873.503819;-45.120503652039325
1739209873.5038226;-45.120503652039325
1739209873.5038261;-38.13080360867914
1739209873.5038295;-45.120503652039325
1739209873.503833;-38.13080360867914
1739209873.5038366;-29.438486411369333
1739209873.50384;-38.13080360867914
1739209873.5038435;-45.120503652039325
1739209873.5038471;-38.13080360867914
1739209873.5038505;-35.57807855764607
1739209873.503854;-45.120503652039325
1739209873.5038576;-45.120503652039325
1739209873.5038612;-45.120503652039325
1739209873.5038645;-45.120503652039325
1739209873.503868;-38.13080360867914
1739209873.5038717;-35.57807855764607
1739209873.503875;-38.13080360867914
1739209873.5038786;-38.13080360867914
1739209873.5038822;-35.57807855764607
1739209873.5038855;-38.13080360867914
1739209873.503889;-45.120503652039325
1739209873.5038927;-38.13080360867914
1739209873.503896;-38.13080360867914
1739209873.5038996;-45.120503652039325
1739209873.5039032;-45.120503652039325
1739209873.5039065;-33.981070128970906
1739209873.50391;-45.120503652039325
1739209873.5039136;-45.120503652039325
1739209873.503917;-45.120503652039325
1739209873.5039206;-45.120503652039325
1739209873.5039241;-38.13080360867914
1739209873.5039275;-45.120503652039325
1739209873.503931;-45.120503652039325
1739209873.5039346;-35.57807855764607
1739209873.503938;-38.13080360867914
1739209873.5039415;-32.816014438256545
1739209873.503945;-38.13080360867914
1739209873.5039485;-38.13080360867914
1739209873.503952;-31.141103565318915
1739209873.5039556;-38.13080360867914
1739209873.503959;-45.120503652039325
1739209873.5039625;-45.120503652039325
1739209873.503966;-33.981070128970906
1739209873.5039694;-45.120503652039325
1739209873.503973;-38.13080360867914
1739209873.5039766;-35.57807855764607
1739209873.5039802;-45.120503652039325
1739209873.5039835;-45.120503652039325
1739209873.503987;-45.120503652039325
1739209873.5039907;-45.120503652039325
1739209873.503994;-45.120503652039325
1739209873.5039976;-45.120503652039325
1739209873.5040011;-45.120503652039325
1739209873.5040045;-45.120503652039325
1739209873.504008;-38.13080360867914
1739209873.5040116;-38.13080360867914
1739209873.504015;-45.120503652039325
1739209873.5040185;-38.13080360867914
1739209873.5040221;-38.13080360867914
1739209873.5040255;-45.120503652039325
1739209873.504029;-38.13080360867914
1739209873.5040326;-38.13080360867914
1739209873.504036;-31.141103565318915
1739209873.5040395;-38.13080360867914
1739209873.504043;-35.57807855764607
1739209873.5040464;-38.13080360867914
1739209873.50405;-45.120503652039325
1739209873.5040536;-38.13080360867914
1739209873.504057;-38.13080360867914
1739209873.5040605;-45.120503652039325
1739209873.504064;-33.981070128970906
1739209873.5040674;-45.120503652039325
1739209873.504071;-45.120503652039325
1739209873.5040746;-38.13080360867914
1739209873.504078;-38.13080360867914
1739209873.5040815;-38.13080360867914
1739209873.504085;-38.13080360867914
1739209873.5040886;-45.120503652039325
1739209873.504092;-31.141103565318915
1739209873.5040956;-38.13080360867914
1739209873.5040991;-38.13080360867914
1739209873.5041025;-45.120503652039325
1739209873.504106;-38.13080360867914
1739209873.5041096;-38.13080360867914
1739209873.504113;-45.120503652039325
1739209873.5041165;-45.120503652039325
1739209873.50412;-38.13080360867914
1739209873.5041234;-38.13080360867914
1739209873.504127;-45.120503652039325
1739209873.5041306;-45.120503652039325
1739209873.504134;-33.981070128970906
1739209873.5041375;-45.120503652039325
1739209873.504141;-33.981070128970906
1739209873.5041444;-38.13080360867914
1739209873.504148;-31.141103565318915
1739209873.5041516;-45.120503652039325
1739209873.504155;-45.120503652039325
1739209873.5041585;-45.120503652039325
1739209873.504162;-38.13080360867914
1739209873.5041654;-45.120503652039325
1739209873.504169;-45.120503652039325
1739209873.5041726;-45.120503652039325
1739209873.504176;-38.13080360867914
1739209873.5041795;-45.120503652039325
1739209873.504183;-45.120503652039325
1739209873.5041864;-45.120503652039325
1739209873.50419;-38.13080360867914
1739209873.5041935;-38.13080360867914
1739209873.504197;-45.120503652039325
1739209873.5042005;-45.120503652039325
1739209873.504204;-45.120503652039325
1739209873.5042076;-45.120503652039325
1739209873.504211;-45.120503652039325
1739209873.5042145;-45.120503652039325
1739209873.504218;-38.13080360867914
1739209873.5042214;-38.13080360867914
1739209873.504225;-38.13080360867914
1739209873.5042286;-35.57807855764607
1739209873.504232;-38.13080360867914
1739209873.5042355;-45.120503652039325
1739209873.504239;-45.120503652039325
1739209873.5042424;-35.57807855764607
1739209873.504246;-38.13080360867914
1739209873.5042496;-45.120503652039325
1739209873.504253;-45.120503652039325
1739209873.5042565;-38.13080360867914
1739209873.50426;-45.120503652039325
1739209873.5042634;-35.57807855764607
1739209873.504267;-35.57807855764607
1739209873.5042706;-45.120503652039325
1739209873.504274;-38.13080360867914
1739209873.5042775;-35.57807855764607
1739209873.504281;-45.120503652039325
1739209873.5042844;-45.120503652039325
1739209873.504288;-38.13080360867914
1739209873.5042915;-45.120503652039325
1739209873.5042949;-45.120503652039325
1739209873.5042984;-35.57807855764607
1739209873.504302;-38.13080360867914
1739209873.5043054;-45.120503652039325
1739209873.504309;-38.13080360867914
1739209873.5043125;-35.57807855764607
1739209873.5043159;-33.981070128970906
1739209873.5043194;-45.120503652039325
1739209873.504323;-45.120503652039325
1739209873.5043266;-35.57807855764607
1739209873.50433;-38.13080360867914
1739209873.5043335;-45.120503652039325
1739209873.504337;-38.13080360867914
1739209873.5043404;-38.13080360867914
1739209873.504344;-45.120503652039325
1739209873.5043476;-35.57807855764607
1739209873.504351;-38.13080360867914
1739209873.5043545;-45.120503652039325
1739209873.504358;-45.120503652039325
1739209873.5043614;-35.57807855764607
1739209873.504365;-35.57807855764607
1739209873.5043685;-45.120503652039325
1739209873.504372;-45.120503652039325
1739209873.5043755;-45.120503652039325
1739209873.504379;-45.120503652039325
1739209873.5043824;-35.57807855764607
1739209873.504386;-33.981070128970906
1739209873.5043895;-45.120503652039325
1739209873.5043929;-45.120503652039325
1739209873.5043964;-45.120503652039325
1739209873.5044;-45.120503652039325
1739209873.5044034;-35.57807855764607
1739209873.504407;-45.120503652039325
1739209873.5044105;-38.13080360867914
1739209873.5044138;-35.57807855764607
1739209873.5044174;-35.57807855764607
1739209873.504421;-38.13080360867914
1739209873.5044243;-45.120503652039325
1739209873.504428;-38.13080360867914
1739209873.5044315;-32.816014438256545
1739209873.504435;-35.57807855764607
1739209873.5044384;-38.13080360867914
1739209873.504442;-45.120503652039325
1739209873.5044456;-45.120503652039325
1739209873.504449;-38.13080360867914
1739209873.5044525;-38.13080360867914
1739209873.504456;-38.13080360867914
1739209873.5044594;-35.57807855764607
1739209873.504463;-45.120503652039325
1739209873.5044665;-38.13080360867914
1739209873.5044699;-45.120503652039325
1739209873.5044734;-45.120503652039325
1739209873.504477;-45.120503652039325
1739209873.5044804;-45.120503652039325
1739209873.504484;-45.120503652039325
1739209873.5044875;-35.57807855764607
1739209873.5044909;-38.13080360867914
1739209873.5044944;-45.120503652039325
1739209873.504498;-38.13080360867914
1739209873.5045013;-35.57807855764607
1739209873.504505;-38.13080360867914
1739209873.5045085;-45.120503652039325
1739209873.5045118;-45.120503652039325
1739209873.5045154;-32.816014438256545
1739209873.504519;-35.57807855764607
1739209873.5045223;-38.13080360867914
1739209873.504526;-38.13080360867914
1739209873.5045295;-38.13080360867914
1739209873.5045328;-38.13080360867914
1739209873.5045364;-38.13080360867914
1739209873.50454;-38.13080360867914
1739209873.5045433;-33.981070128970956
1739209873.5045469;-45.120503652039325
1739209873.5045505;-32.816014438256545
1739209873.504554;-35.57807855764607
1739209873.5045574;-38.13080360867914
1739209873.504561;-38.13080360867914
1739209873.5045645;-38.13080360867914
1739209873.5045679;-45.120503652039325
1739209873.5045714;-28.58837851428586
1739209873.504575;-28.992665084841942
1739209873.5045784;-45.120503652039325
1739209873.504582;-45.120503652039325
1739209873.5045855;-33.981070128970906
1739209873.5045888;-35.57807855764607
1739209873.5045924;-38.13080360867914
1739209873.504596;-38.13080360867914
1739209873.5045993;-45.120503652039325
1739209873.504603;-45.120503652039325
1739209873.5046065;-38.13080360867914
1739209873.5046098;-38.13080360867914
1739209873.5046134;-45.120503652039325
1739209873.504617;-45.120503652039325
1739209873.5046203;-38.13080360867914
1739209873.504624;-33.981070128970906
1739209873.5046275;-45.120503652039325
1739209873.5046308;-38.13080360867914
1739209873.5046344;-35.57807855764607
1739209873.504638;-33.981070128970906
1739209873.5046413;-45.120503652039325
1739209873.5046449;-45.120503652039325
1739209873.5046484;-38.13080360867914
1739209873.5046518;-45.120503652039325
1739209873.5046554;-38.13080360867914
1739209873.504659;-31.141103565318915
