CAN Message; 0x77:54f78994d812ab57
Timestamp;Amplitude
1739209656.0880299;-38.13080360867914
1739209656.0880344;-45.120503652039325
1739209656.0880392;-38.13080360867914
1739209656.0880437;-38.13080360867914
1739209656.0880482;-45.120503652039325
1739209656.0880527;-45.120503652039325
1739209656.0880575;-38.13080360867914
1739209656.088062;-35.57807855764607
1739209656.0880666;-35.57807855764607
1739209656.088071;-45.120503652039325
1739209656.0880759;-45.120503652039325
1739209656.0880804;-45.120503652039325
1739209656.088085;-35.57807855764607
1739209656.0880895;-45.120503652039325
1739209656.0880942;-38.13080360867914
1739209656.0880988;-38.13080360867914
1739209656.0881033;-45.120503652039325
1739209656.0881078;-38.13080360867914
1739209656.0881124;-35.57807855764607
1739209656.0881171;-38.13080360867914
1739209656.0881217;-45.120503652039325
1739209656.0881262;-45.120503652039325
1739209656.0881307;-45.120503652039325
1739209656.0881355;-45.120503652039325
1739209656.08814;-38.13080360867914
1739209656.0881445;-38.13080360867914
1739209656.088149;-45.120503652039325
1739209656.0881538;-38.13080360867914
1739209656.0881584;-38.13080360867914
1739209656.088163;-45.120503652039325
1739209656.0881674;-33.981070128970906
1739209656.088172;-35.57807855764607
1739209656.0881767;-35.57807855764607
1739209656.0881813;-38.13080360867914
1739209656.0881858;-38.13080360867914
1739209656.0881903;-38.13080360867914
1739209656.088195;-45.120503652039325
1739209656.0881996;-45.120503652039325
1739209656.0882041;-38.13080360867914
1739209656.0882087;-38.13080360867914
1739209656.0882134;-33.981070128970906
1739209656.088218;-45.120503652039325
1739209656.0882225;-45.120503652039325
1739209656.088227;-45.120503652039325
1739209656.0882318;-45.120503652039325
1739209656.0882363;-45.120503652039325
1739209656.0882409;-45.120503652039325
1739209656.0882454;-35.57807855764607
1739209656.08825;-35.57807855764607
1739209656.0882547;-45.120503652039325
1739209656.0882592;-45.120503652039325
1739209656.0882638;-38.13080360867914
1739209656.0882683;-45.120503652039325
1739209656.088273;-38.13080360867914
1739209656.0882776;-38.13080360867914
1739209656.088282;-30.49652367304973
1739209656.0882866;-32.816014438256545
1739209656.0882914;-45.120503652039325
1739209656.088296;-45.120503652039325
