CAN Message; 0x39:021444ba83666c26
Timestamp;Amplitude
1739209604.2576463;-38.13080360867914
1739209604.257651;-38.13080360867914
1739209604.257656;-45.120503652039325
1739209604.2576609;-45.120503652039325
1739209604.2576656;-45.120503652039325
1739209604.2576704;-38.13080360867914
1739209604.2576754;-45.120503652039325
1739209604.2576802;-45.120503652039325
1739209604.257685;-45.120503652039325
1739209604.2576897;-45.120503652039325
1739209604.2576947;-38.13080360867914
1739209604.2576995;-33.981070128970906
1739209604.2577043;-38.13080360867914
1739209604.257709;-38.13080360867914
1739209604.2577138;-45.120503652039325
1739209604.2577188;-45.120503652039325
1739209604.2577236;-38.13080360867914
1739209604.2577283;-38.13080360867914
1739209604.257733;-45.120503652039325
1739209604.257738;-45.120503652039325
1739209604.257743;-45.120503652039325
1739209604.2577477;-45.120503652039325
1739209604.2577524;-38.13080360867914
1739209604.2577572;-45.120503652039325
1739209604.2577622;-38.13080360867914
1739209604.257767;-38.13080360867914
1739209604.2577717;-35.57807855764607
1739209604.2577765;-38.13080360867914
1739209604.2577815;-45.120503652039325
1739209604.2577863;-45.120503652039325
1739209604.257791;-38.13080360867914
1739209604.2577958;-38.13080360867914
1739209604.2578008;-45.120503652039325
1739209604.2578056;-38.13080360867914
1739209604.2578104;-45.120503652039325
1739209604.2578151;-45.120503652039325
1739209604.25782;-38.13080360867914
1739209604.257825;-45.120503652039325
1739209604.2578297;-45.120503652039325
1739209604.2578344;-38.13080360867914
1739209604.2578392;-45.120503652039325
1739209604.2578442;-45.120503652039325
1739209604.257849;-35.57807855764607
1739209604.2578537;-38.13080360867914
1739209604.2578585;-38.13080360867914
1739209604.2578633;-38.13080360867914
1739209604.2578683;-45.120503652039325
1739209604.257873;-31.141103565318915
1739209604.2578778;-45.120503652039325
1739209604.2578826;-45.120503652039325
1739209604.2578876;-45.120503652039325
1739209604.2578924;-45.120503652039325
1739209604.2578971;-33.981070128970906
1739209604.257902;-38.13080360867914
1739209604.257907;-38.13080360867914
1739209604.2579117;-45.120503652039325
1739209604.2579165;-45.120503652039325
1739209604.2579212;-45.120503652039325
1739209604.257926;-38.13080360867914
1739209604.257931;-45.120503652039325
1739209604.2579358;-45.120503652039325
1739209604.2579405;-38.13080360867914
1739209604.2579453;-35.57807855764607
1739209604.2579503;-32.816014438256545
1739209604.257955;-38.13080360867914
1739209604.2579598;-38.13080360867914
1739209604.2579646;-38.13080360867914
1739209604.2579694;-31.141103565318915
1739209604.2579744;-38.13080360867914
1739209604.2579792;-45.120503652039325
1739209604.257984;-45.120503652039325
1739209604.2579887;-45.120503652039325
1739209604.2579937;-45.120503652039325
1739209604.2579985;-35.57807855764607
1739209604.2580032;-38.13080360867914
1739209604.258008;-45.120503652039325
1739209604.258013;-45.120503652039325
1739209604.2580178;-45.120503652039325
1739209604.2580225;-45.120503652039325
1739209604.2580273;-38.13080360867914
1739209604.258032;-38.13080360867914
1739209604.258037;-45.120503652039325
1739209604.2580419;-38.13080360867914
1739209604.2580466;-31.141103565318915
1739209604.2580514;-38.13080360867914
1739209604.2580564;-38.13080360867914
1739209604.2580612;-38.13080360867914
1739209604.258066;-45.120503652039325
1739209604.2580707;-45.120503652039325
1739209604.2580755;-45.120503652039325
