CAN Message; 0x1bb:0000ad654245af3a
Timestamp;Amplitude
1739209850.4664655;-45.120503652039325
1739209850.466471;-38.13080360867914
1739209850.4664767;-35.57807855764607
1739209850.4664822;-38.13080360867914
1739209850.466488;-45.120503652039325
1739209850.4664934;-38.13080360867914
1739209850.466499;-38.13080360867914
1739209850.4665046;-38.13080360867914
1739209850.4665103;-32.816014438256545
1739209850.4665158;-38.13080360867914
1739209850.4665215;-45.120503652039325
1739209850.4665272;-38.13080360867914
1739209850.4665327;-38.13080360867914
1739209850.4665384;-45.120503652039325
1739209850.466544;-45.120503652039325
1739209850.4665496;-35.57807855764607
1739209850.466555;-38.13080360867914
1739209850.4665608;-45.120503652039325
1739209850.4665663;-45.120503652039325
1739209850.466572;-45.120503652039325
1739209850.4665775;-35.57807855764607
1739209850.4665833;-38.13080360867914
1739209850.466589;-38.13080360867914
1739209850.4665945;-38.13080360867914
1739209850.4666002;-35.57807855764607
1739209850.4666057;-35.57807855764607
1739209850.4666114;-35.57807855764607
1739209850.4666169;-33.981070128970906
1739209850.4666226;-32.816014438256545
1739209850.466628;-33.981070128970906
1739209850.4666338;-38.13080360867914
1739209850.4666395;-38.13080360867914
1739209850.466645;-33.981070128970906
1739209850.4666507;-38.13080360867914
1739209850.4666562;-38.13080360867914
1739209850.466662;-33.981070128970906
1739209850.4666674;-45.120503652039325
1739209850.4666731;-38.13080360867914
1739209850.4666786;-45.120503652039325
1739209850.4666843;-45.120503652039325
1739209850.4666898;-35.57807855764607
1739209850.4666955;-38.13080360867914
1739209850.4667013;-45.120503652039325
1739209850.4667068;-45.120503652039325
1739209850.4667125;-45.120503652039325
1739209850.466718;-38.13080360867914
1739209850.4667237;-45.120503652039325
1739209850.4667292;-38.13080360867914
1739209850.466735;-38.13080360867914
1739209850.4667404;-45.120503652039325
1739209850.466746;-35.57807855764607
1739209850.4667516;-38.13080360867914
1739209850.4667573;-38.13080360867914
1739209850.466763;-38.13080360867914
