CAN Message; 0x1bb:000031496b999104
Timestamp;Amplitude
1739209594.79467;-35.57807855764607
1739209594.7946792;-30.49652367304973
1739209594.7946885;-38.13080360867914
1739209594.7946975;-45.120503652039325
1739209594.7947068;-38.13080360867914
1739209594.794716;-38.13080360867914
1739209594.7947252;-45.120503652039325
1739209594.7947342;-38.13080360867914
1739209594.7947435;-45.120503652039325
1739209594.7947526;-31.141103565318915
1739209594.794762;-38.13080360867914
1739209594.794771;-45.120503652039325
1739209594.7947803;-45.120503652039325
1739209594.7947893;-33.981070128970906
1739209594.7947986;-45.120503652039325
1739209594.7948077;-45.120503652039325
1739209594.794817;-45.120503652039325
1739209594.794826;-45.120503652039325
1739209594.7948353;-45.120503652039325
1739209594.7948446;-38.13080360867914
1739209594.7948537;-38.13080360867914
1739209594.794863;-38.13080360867914
1739209594.794872;-38.13080360867914
1739209594.7948813;-45.120503652039325
1739209594.7948904;-38.13080360867914
1739209594.7948997;-38.13080360867914
1739209594.7949088;-45.120503652039325
1739209594.794918;-38.13080360867914
1739209594.7949271;-45.120503652039325
1739209594.7949364;-38.13080360867914
1739209594.7949455;-35.57807855764607
1739209594.7949548;-38.13080360867914
1739209594.7949638;-38.13080360867914
1739209594.7949731;-28.992665084841942
1739209594.7949822;-30.49652367304973
1739209594.7949915;-38.13080360867914
1739209594.7950006;-45.120503652039325
1739209594.7950099;-38.13080360867914
1739209594.7950191;-38.13080360867914
1739209594.7950282;-33.981070128970906
1739209594.7950375;-33.981070128970906
1739209594.7950466;-32.81601443825658
1739209594.7950559;-45.120503652039325
1739209594.795065;-33.981070128970906
1739209594.7950742;-38.13080360867914
1739209594.7950833;-38.13080360867914
1739209594.7950926;-38.13080360867914
1739209594.7951016;-33.981070128970906
1739209594.795111;-45.120503652039325
1739209594.79512;-31.141103565318915
1739209594.7951293;-30.49652367304973
1739209594.7951384;-45.120503652039325
1739209594.7951477;-45.120503652039325
1739209594.7951567;-38.13080360867914
1739209594.795166;-38.13080360867914
1739209594.795175;-45.120503652039325
1739209594.7951844;-45.120503652039325
1739209594.7951937;-45.120503652039325
1739209594.7952027;-38.13080360867914
1739209594.795212;-38.13080360867914
1739209594.795221;-45.120503652039325
1739209594.7952304;-38.13080360867914
1739209594.7952394;-35.57807855764607
1739209594.7952487;-38.13080360867914
1739209594.7952578;-45.120503652039325
1739209594.795267;-45.120503652039325
1739209594.7952762;-45.120503652039325
1739209594.7952855;-38.13080360867914
1739209594.7952945;-45.120503652039325
1739209594.7953038;-45.120503652039325
1739209594.795313;-35.57807855764607
1739209594.7953222;-38.13080360867914
1739209594.7953312;-45.120503652039325
1739209594.7953405;-33.981070128970906
1739209594.7953496;-31.141103565318893
1739209594.795359;-33.981070128970906
1739209594.7953682;-45.120503652039325
1739209594.7953773;-38.13080360867914
1739209594.7953866;-38.13080360867914
1739209594.7953956;-38.13080360867914
1739209594.795405;-38.13080360867914
1739209594.795414;-45.120503652039325
1739209594.7954233;-38.13080360867914
1739209594.7954323;-38.13080360867914
1739209594.7954416;-38.13080360867914
1739209594.7954507;-38.13080360867914
1739209594.79546;-38.13080360867914
1739209594.795469;-38.13080360867914
1739209594.7954783;-35.57807855764607
1739209594.7954874;-38.13080360867914
1739209594.7954967;-45.120503652039325
1739209594.7955058;-45.120503652039325
1739209594.795515;-38.13080360867914
1739209594.7955241;-38.13080360867914
1739209594.7955334;-45.120503652039325
1739209594.7955427;-45.120503652039325
1739209594.7955518;-45.120503652039325
1739209594.795561;-38.13080360867914
1739209594.7955701;-38.13080360867914
1739209594.7955794;-45.120503652039325
1739209594.7955885;-45.120503652039325
1739209594.7955978;-38.13080360867914
1739209594.7956069;-32.816014438256545
1739209594.7956161;-45.120503652039325
1739209594.7956252;-45.120503652039325
1739209594.7956345;-45.120503652039325
