CAN Message; 0x62:051e5eae2734ba3a
Timestamp;Amplitude
1739209595.1358614;-45.120503652039325
1739209595.135868;-45.120503652039325
1739209595.135875;-38.13080360867914
1739209595.1358817;-35.57807855764607
1739209595.1358886;-45.120503652039325
1739209595.1358953;-38.13080360867914
1739209595.1359022;-38.13080360867914
1739209595.1359088;-45.120503652039325
1739209595.1359158;-38.13080360867914
1739209595.1359227;-45.120503652039325
1739209595.1359293;-45.120503652039325
1739209595.1359363;-38.13080360867914
1739209595.135943;-45.120503652039325
1739209595.1359499;-38.13080360867914
1739209595.1359565;-38.13080360867914
1739209595.1359634;-45.120503652039325
1739209595.1359704;-45.120503652039325
1739209595.135977;-45.120503652039325
1739209595.135984;-38.13080360867914
1739209595.1359906;-35.57807855764607
1739209595.1359975;-33.981070128970906
1739209595.1360042;-45.120503652039325
1739209595.1360111;-38.13080360867914
1739209595.1360178;-26.991370085610736
1739209595.1360247;-38.13080360867914
1739209595.1360316;-38.13080360867914
1739209595.1360383;-45.120503652039325
1739209595.1360452;-32.816014438256545
1739209595.136052;-45.120503652039325
1739209595.1360588;-45.120503652039325
1739209595.1360655;-45.120503652039325
1739209595.1360724;-33.981070128970956
1739209595.136079;-38.13080360867914
1739209595.136086;-35.57807855764607
1739209595.136093;-45.120503652039325
1739209595.1360996;-45.120503652039325
1739209595.1361065;-38.13080360867914
1739209595.1361132;-35.57807855764607
1739209595.13612;-38.13080360867914
1739209595.1361268;-27.8777449560314
1739209595.1361337;-32.816014438256545
1739209595.1361406;-45.120503652039325
1739209595.1361473;-33.981070128970906
1739209595.1361542;-32.816014438256545
1739209595.1361609;-45.120503652039325
1739209595.1361678;-45.120503652039325
1739209595.1361744;-38.13080360867914
1739209595.1361814;-45.120503652039325
1739209595.136188;-45.120503652039325
1739209595.136195;-45.120503652039325
1739209595.1362019;-38.13080360867914
1739209595.1362085;-38.13080360867914
1739209595.1362154;-38.13080360867914
1739209595.1362221;-38.13080360867914
1739209595.136229;-35.57807855764607
1739209595.1362357;-32.816014438256545
1739209595.1362426;-33.981070128970906
1739209595.1362495;-38.13080360867914
1739209595.1362562;-45.120503652039325
1739209595.1362631;-45.120503652039325
1739209595.1362698;-45.120503652039325
1739209595.1362767;-38.13080360867914
1739209595.1362834;-45.120503652039325
1739209595.1362903;-45.120503652039325
1739209595.136297;-45.120503652039325
1739209595.136304;-45.120503652039325
1739209595.1363108;-38.13080360867914
1739209595.1363175;-35.57807855764607
1739209595.1363244;-45.120503652039325
1739209595.136331;-45.120503652039325
1739209595.136338;-45.120503652039325
1739209595.1363447;-45.120503652039325
1739209595.1363516;-45.120503652039325
1739209595.1363583;-45.120503652039325
1739209595.1363652;-33.981070128970906
1739209595.136372;-45.120503652039325
1739209595.1363788;-38.13080360867914
1739209595.1363857;-45.120503652039325
