CAN Message; 0x98:00004e81134c1c60
Timestamp;Amplitude
1739209899.8602438;-45.120503652039325
1739209899.8602495;-31.141103565318915
1739209899.8602555;-32.816014438256545
1739209899.8602614;-35.57807855764607
1739209899.8602672;-38.13080360867914
1739209899.8602731;-38.13080360867914
1739209899.860279;-38.13080360867914
1739209899.8602848;-38.13080360867914
1739209899.8602908;-38.13080360867914
1739209899.8602967;-33.981070128970906
1739209899.8603027;-38.13080360867914
1739209899.8603084;-31.141103565318915
1739209899.8603144;-45.120503652039325
1739209899.8603203;-45.120503652039325
1739209899.860326;-35.57807855764607
1739209899.860332;-38.13080360867914
1739209899.860338;-45.120503652039325
1739209899.8603437;-38.13080360867914
1739209899.8603497;-38.13080360867914
1739209899.8603556;-45.120503652039325
1739209899.8603613;-45.120503652039325
1739209899.8603673;-38.13080360867914
1739209899.8603733;-45.120503652039325
1739209899.860379;-38.13080360867914
1739209899.860385;-45.120503652039325
1739209899.860391;-38.13080360867914
1739209899.8603966;-38.13080360867914
1739209899.8604026;-45.120503652039325
1739209899.8604085;-45.120503652039325
1739209899.8604145;-45.120503652039325
1739209899.8604202;-32.816014438256545
1739209899.8604262;-38.13080360867914
1739209899.8604321;-38.13080360867914
1739209899.8604379;-38.13080360867914
1739209899.8604438;-38.13080360867914
1739209899.8604498;-38.13080360867914
1739209899.8604555;-38.13080360867914
1739209899.8604615;-45.120503652039325
1739209899.8604674;-45.120503652039325
1739209899.8604732;-38.13080360867914
1739209899.860479;-38.13080360867914
1739209899.860485;-45.120503652039325
1739209899.8604908;-35.57807855764607
1739209899.8604968;-38.13080360867914
1739209899.8605027;-45.120503652039325
1739209899.8605084;-45.120503652039325
1739209899.8605144;-45.120503652039325
1739209899.8605204;-45.120503652039325
1739209899.8605263;-45.120503652039325
1739209899.860532;-45.120503652039325
1739209899.860538;-32.816014438256545
1739209899.860544;-45.120503652039325
1739209899.8605497;-45.120503652039325
1739209899.8605556;-33.981070128970906
1739209899.8605616;-33.981070128970906
1739209899.8605673;-38.13080360867914
1739209899.8605733;-45.120503652039325
1739209899.8605793;-45.120503652039325
1739209899.860585;-45.120503652039325
1739209899.860591;-38.13080360867914
1739209899.860597;-45.120503652039325
1739209899.8606026;-45.120503652039325
1739209899.8606086;-45.120503652039325
1739209899.8606145;-45.120503652039325
1739209899.8606203;-35.57807855764607
1739209899.8606262;-32.816014438256545
1739209899.8606322;-35.57807855764607
1739209899.8606381;-38.13080360867914
1739209899.8606439;-35.57807855764607
1739209899.8606498;-35.57807855764607
1739209899.8606558;-33.981070128970906
1739209899.8606615;-45.120503652039325
1739209899.8606675;-38.13080360867914
1739209899.8606734;-45.120503652039325
1739209899.8606791;-32.816014438256545
1739209899.860685;-32.816014438256545
1739209899.860691;-45.120503652039325
