CAN Message; 0x1b8:030003b7f50f848d
Timestamp;Amplitude
1739209659.2197785;-38.13080360867914
1739209659.2197816;-38.13080360867914
1739209659.219785;-45.120503652039325
1739209659.2197883;-38.13080360867914
1739209659.2197914;-38.13080360867914
1739209659.2197948;-45.120503652039325
1739209659.219798;-45.120503652039325
1739209659.2198014;-45.120503652039325
1739209659.2198045;-45.120503652039325
1739209659.2198079;-45.120503652039325
1739209659.2198112;-38.13080360867914
1739209659.2198143;-45.120503652039325
1739209659.2198176;-38.13080360867914
1739209659.219821;-38.13080360867914
1739209659.219824;-45.120503652039325
1739209659.2198274;-45.120503652039325
1739209659.2198308;-38.13080360867914
1739209659.219834;-38.13080360867914
1739209659.2198372;-45.120503652039325
1739209659.2198405;-33.981070128970906
1739209659.2198439;-30.49652367304973
1739209659.219847;-45.120503652039325
1739209659.2198503;-45.120503652039325
1739209659.2198536;-38.13080360867914
1739209659.2198567;-38.13080360867914
1739209659.21986;-45.120503652039325
1739209659.2198634;-45.120503652039325
1739209659.2198668;-45.120503652039325
1739209659.2198699;-45.120503652039325
1739209659.2198732;-38.13080360867914
1739209659.2198765;-45.120503652039325
1739209659.2198796;-45.120503652039325
1739209659.219883;-45.120503652039325
1739209659.2198863;-45.120503652039325
1739209659.2198894;-45.120503652039325
1739209659.2198927;-38.13080360867914
1739209659.219896;-25.826314394896354
1739209659.2198992;-38.13080360867914
1739209659.2199025;-45.120503652039325
1739209659.2199059;-45.120503652039325
1739209659.2199092;-35.57807855764607
1739209659.2199123;-38.13080360867914
1739209659.2199156;-45.120503652039325
1739209659.219919;-38.13080360867914
1739209659.219922;-35.57807855764607
1739209659.2199254;-45.120503652039325
1739209659.2199287;-38.13080360867914
1739209659.2199318;-45.120503652039325
1739209659.2199352;-45.120503652039325
1739209659.2199385;-38.13080360867914
1739209659.2199419;-45.120503652039325
1739209659.219945;-38.13080360867914
1739209659.2199483;-26.991370085610736
1739209659.2199516;-33.981070128970906
1739209659.2199547;-45.120503652039325
1739209659.219958;-38.13080360867914
1739209659.2199614;-32.816014438256545
1739209659.2199645;-45.120503652039325
1739209659.2199678;-45.120503652039325
1739209659.2199712;-45.120503652039325
1739209659.2199745;-38.13080360867914
1739209659.2199776;-33.981070128970906
1739209659.219981;-31.141103565318915
1739209659.2199843;-45.120503652039325
1739209659.2199874;-45.120503652039325
1739209659.2199907;-33.981070128970906
1739209659.219994;-45.120503652039325
1739209659.2199972;-38.13080360867914
1739209659.2200005;-32.816014438256545
1739209659.2200038;-38.13080360867914
1739209659.2200072;-45.120503652039325
1739209659.2200103;-33.981070128970906
1739209659.2200136;-45.120503652039325
1739209659.220017;-45.120503652039325
1739209659.22002;-38.13080360867914
1739209659.2200234;-38.13080360867914
1739209659.2200267;-38.13080360867914
1739209659.2200298;-38.13080360867914
1739209659.2200332;-45.120503652039325
1739209659.2200365;-38.13080360867914
1739209659.2200396;-35.57807855764607
1739209659.220043;-38.13080360867914
1739209659.2200463;-45.120503652039325
1739209659.2200496;-45.120503652039325
1739209659.2200527;-45.120503652039325
1739209659.220056;-45.120503652039325
1739209659.2200594;-38.13080360867914
1739209659.2200625;-38.13080360867914
1739209659.2200658;-45.120503652039325
1739209659.2200692;-45.120503652039325
1739209659.2200723;-45.120503652039325
1739209659.2200756;-45.120503652039325
1739209659.220079;-38.13080360867914
1739209659.2200823;-38.13080360867914
1739209659.2200854;-38.13080360867914
1739209659.2200887;-38.13080360867914
1739209659.220092;-45.120503652039325
1739209659.2200952;-38.13080360867914
1739209659.2200985;-45.120503652039325
1739209659.2201018;-33.981070128970906
1739209659.220105;-45.120503652039325
1739209659.2201083;-45.120503652039325
1739209659.2201116;-35.57807855764607
1739209659.220115;-38.13080360867914
1739209659.220118;-45.120503652039325
1739209659.2201214;-45.120503652039325
1739209659.2201247;-31.141103565318893
1739209659.2201278;-38.13080360867914
1739209659.2201312;-45.120503652039325
1739209659.2201345;-38.13080360867914
1739209659.2201376;-35.57807855764607
1739209659.220141;-35.57807855764607
1739209659.2201443;-45.120503652039325
1739209659.2201474;-38.13080360867914
1739209659.2201507;-38.13080360867914
1739209659.220154;-45.120503652039325
1739209659.2201574;-38.13080360867914
1739209659.2201605;-35.57807855764607
1739209659.2201638;-38.13080360867914
1739209659.2201672;-38.13080360867914
1739209659.2201703;-38.13080360867914
1739209659.2201736;-38.13080360867914
1739209659.220177;-38.13080360867914
1739209659.22018;-33.981070128970906
1739209659.2201834;-45.120503652039325
1739209659.2201867;-45.120503652039325
1739209659.22019;-38.13080360867914
1739209659.2201931;-35.57807855764607
1739209659.2201965;-38.13080360867914
1739209659.2201998;-45.120503652039325
1739209659.220203;-33.981070128970906
1739209659.2202063;-45.120503652039325
1739209659.2202096;-38.13080360867914
1739209659.2202127;-33.981070128970906
1739209659.220216;-45.120503652039325
1739209659.2202194;-33.981070128970906
1739209659.2202227;-38.13080360867914
1739209659.2202258;-45.120503652039325
1739209659.2202291;-45.120503652039325
1739209659.2202325;-45.120503652039325
1739209659.2202356;-45.120503652039325
1739209659.220239;-45.120503652039325
1739209659.2202423;-38.13080360867914
1739209659.2202454;-38.13080360867914
1739209659.2202487;-45.120503652039325
1739209659.220252;-38.13080360867914
1739209659.2202551;-38.13080360867914
1739209659.2202585;-38.13080360867914
1739209659.2202618;-35.57807855764607
1739209659.2202652;-38.13080360867914
1739209659.2202682;-38.13080360867914
1739209659.2202716;-38.13080360867914
1739209659.220275;-38.13080360867914
1739209659.220278;-38.13080360867914
1739209659.2202814;-38.13080360867914
1739209659.2202847;-38.13080360867914
1739209659.2202878;-35.57807855764607
1739209659.2202911;-38.13080360867914
1739209659.2202945;-45.120503652039325
1739209659.2202978;-45.120503652039325
1739209659.220301;-45.120503652039325
1739209659.2203043;-38.13080360867914
1739209659.2203076;-38.13080360867914
1739209659.2203107;-45.120503652039325
1739209659.220314;-32.816014438256545
1739209659.2203174;-45.120503652039325
1739209659.2203205;-45.120503652039325
1739209659.2203238;-45.120503652039325
1739209659.2203271;-45.120503652039325
1739209659.2203305;-33.981070128970906
1739209659.2203336;-45.120503652039325
1739209659.220337;-45.120503652039325
1739209659.2203403;-45.120503652039325
1739209659.2203434;-38.13080360867914
1739209659.2203467;-38.13080360867914
1739209659.22035;-45.120503652039325
1739209659.2203531;-45.120503652039325
1739209659.2203565;-45.120503652039325
1739209659.2203598;-38.13080360867914
1739209659.2203631;-38.13080360867914
1739209659.2203662;-35.57807855764607
1739209659.2203696;-38.13080360867914
1739209659.220373;-45.120503652039325
1739209659.220376;-35.57807855764607
1739209659.2203794;-45.120503652039325
1739209659.2203827;-33.981070128970906
1739209659.2203858;-33.981070128970906
1739209659.2203891;-38.13080360867914
1739209659.2203925;-45.120503652039325
1739209659.2203956;-38.13080360867914
1739209659.220399;-29.438486411369333
1739209659.2204022;-38.13080360867914
1739209659.2204056;-45.120503652039325
1739209659.2204087;-45.120503652039325
1739209659.220412;-38.13080360867914
1739209659.2204154;-38.13080360867914
1739209659.2204185;-38.13080360867914
1739209659.2204218;-45.120503652039325
1739209659.2204251;-45.120503652039325
1739209659.2204282;-32.816014438256545
1739209659.2204316;-45.120503652039325
1739209659.220435;-38.13080360867914
1739209659.2204382;-32.816014438256545
1739209659.2204413;-38.13080360867914
1739209659.2204447;-45.120503652039325
1739209659.220448;-38.13080360867914
1739209659.220451;-29.438486411369333
1739209659.2204545;-38.13080360867914
1739209659.2204578;-45.120503652039325
1739209659.220461;-45.120503652039325
1739209659.2204642;-38.13080360867914
1739209659.2204676;-38.13080360867914
1739209659.220471;-45.120503652039325
1739209659.220474;-45.120503652039325
1739209659.2204773;-38.13080360867914
1739209659.2204807;-45.120503652039325
1739209659.2204838;-45.120503652039325
1739209659.220487;-38.13080360867914
1739209659.2204905;-45.120503652039325
1739209659.2204936;-45.120503652039325
1739209659.220497;-45.120503652039325
1739209659.2205002;-38.13080360867914
1739209659.2205033;-25.826314394896354
1739209659.2205067;-35.57807855764607
1739209659.22051;-45.120503652039325
1739209659.2205133;-45.120503652039325
1739209659.2205164;-38.13080360867914
1739209659.2205198;-38.13080360867914
1739209659.220523;-38.13080360867914
1739209659.2205262;-38.13080360867914
1739209659.2205296;-31.141103565318943
1739209659.220533;-45.120503652039325
1739209659.220536;-35.57807855764607
1739209659.2205393;-45.120503652039325
1739209659.2205427;-45.120503652039325
1739209659.220546;-38.13080360867914
1739209659.220549;-38.13080360867914
1739209659.2205524;-45.120503652039325
1739209659.2205558;-28.21854285175415
1739209659.220559;-35.57807855764607
1739209659.2205622;-45.120503652039325
1739209659.2205656;-45.120503652039325
1739209659.2205687;-35.57807855764607
1739209659.220572;-45.120503652039325
1739209659.2205753;-35.57807855764607
1739209659.2205787;-35.57807855764607
1739209659.2205818;-38.13080360867914
1739209659.220585;-38.13080360867914
1739209659.2205884;-38.13080360867914
1739209659.2205915;-45.120503652039325
1739209659.220595;-45.120503652039325
1739209659.2205982;-45.120503652039325
1739209659.2206013;-38.13080360867914
1739209659.2206047;-45.120503652039325
1739209659.220608;-32.816014438256545
1739209659.220611;-35.57807855764607
1739209659.2206144;-35.57807855764607
1739209659.2206178;-45.120503652039325
1739209659.220621;-35.57807855764607
1739209659.2206242;-38.13080360867914
1739209659.2206275;-45.120503652039325
1739209659.220631;-38.13080360867914
1739209659.220634;-38.13080360867914
1739209659.2206373;-45.120503652039325
1739209659.2206407;-35.57807855764607
1739209659.2206438;-38.13080360867914
1739209659.220647;-45.120503652039325
1739209659.2206504;-45.120503652039325
1739209659.2206538;-38.13080360867914
1739209659.2206569;-38.13080360867914
1739209659.2206602;-33.981070128970906
1739209659.2206635;-32.816014438256545
1739209659.2206666;-33.981070128970906
1739209659.22067;-45.120503652039325
1739209659.2206733;-38.13080360867914
1739209659.2206764;-38.13080360867914
1739209659.2206798;-35.57807855764607
1739209659.220683;-38.13080360867914
1739209659.2206864;-45.120503652039325
1739209659.2206895;-33.981070128970906
1739209659.2206929;-45.120503652039325
1739209659.2206962;-45.120503652039325
1739209659.2206993;-38.13080360867914
1739209659.2207026;-38.13080360867914
1739209659.220706;-45.120503652039325
1739209659.220709;-45.120503652039325
1739209659.2207124;-38.13080360867914
1739209659.2207158;-38.13080360867914
1739209659.220719;-35.57807855764607
1739209659.2207222;-45.120503652039325
1739209659.2207255;-45.120503652039325
1739209659.2207289;-33.981070128970906
1739209659.220732;-45.120503652039325
1739209659.2207353;-45.120503652039325
1739209659.2207386;-38.13080360867914
1739209659.2207417;-38.13080360867914
1739209659.220745;-45.120503652039325
1739209659.2207484;-38.13080360867914
1739209659.2207515;-35.57807855764607
1739209659.2207549;-33.981070128970906
1739209659.2207582;-45.120503652039325
1739209659.2207615;-38.13080360867914
1739209659.2207646;-38.13080360867914
1739209659.220768;-45.120503652039325
1739209659.2207713;-45.120503652039325
1739209659.2207744;-45.120503652039325
1739209659.2207778;-35.57807855764607
1739209659.220781;-35.57807855764607
1739209659.2207842;-45.120503652039325
1739209659.2207875;-45.120503652039325
1739209659.2207909;-38.13080360867914
1739209659.2207942;-33.981070128970906
1739209659.2207973;-38.13080360867914
1739209659.2208006;-45.120503652039325
1739209659.220804;-35.57807855764607
1739209659.220807;-35.57807855764607
1739209659.2208104;-45.120503652039325
1739209659.2208138;-45.120503652039325
1739209659.2208169;-45.120503652039325
1739209659.2208202;-38.13080360867914
1739209659.2208235;-45.120503652039325
1739209659.2208269;-38.13080360867914
1739209659.22083;-38.13080360867914
1739209659.2208333;-38.13080360867914
1739209659.2208366;-38.13080360867914
1739209659.2208397;-38.13080360867914
1739209659.220843;-32.816014438256545
1739209659.2208464;-28.58837851428586
1739209659.2208495;-38.13080360867914
1739209659.2208529;-38.13080360867914
1739209659.2208562;-45.120503652039325
1739209659.2208593;-38.13080360867914
1739209659.2208626;-32.816014438256545
1739209659.220866;-45.120503652039325
1739209659.2208693;-45.120503652039325
1739209659.2208724;-30.49652367304973
1739209659.2208757;-45.120503652039325
1739209659.220879;-45.120503652039325
1739209659.2208822;-45.120503652039325
1739209659.2208855;-38.13080360867914
1739209659.2208889;-45.120503652039325
1739209659.220892;-45.120503652039325
1739209659.2208953;-45.120503652039325
1739209659.2208986;-33.981070128970906
