CAN Message; 0x39:051e0933d41b336c
Timestamp;Amplitude
1739209757.6325467;-35.57807855764607
1739209757.6325564;-45.120503652039325
1739209757.6325665;-45.120503652039325
1739209757.6325765;-32.816014438256545
1739209757.6325862;-28.21854285175415
1739209757.6325963;-45.120503652039325
1739209757.6326063;-45.120503652039325
1739209757.6326163;-45.120503652039325
1739209757.632626;-45.120503652039325
1739209757.632636;-38.13080360867914
1739209757.632646;-32.816014438256545
1739209757.6326559;-45.120503652039325
1739209757.6326659;-45.120503652039325
1739209757.632676;-32.816014438256545
1739209757.6326857;-38.13080360867914
1739209757.6326957;-45.120503652039325
1739209757.6327057;-45.120503652039325
1739209757.6327155;-38.13080360867914
1739209757.6327255;-45.120503652039325
1739209757.6327355;-35.57807855764607
1739209757.6327453;-29.438486411369333
1739209757.6327553;-45.120503652039325
1739209757.6327653;-38.13080360867914
1739209757.6327753;-35.57807855764607
1739209757.632785;-35.57807855764607
1739209757.632795;-38.13080360867914
1739209757.632805;-38.13080360867914
1739209757.632815;-45.120503652039325
1739209757.632825;-45.120503652039325
1739209757.632835;-38.13080360867914
1739209757.6328447;-38.13080360867914
1739209757.6328547;-45.120503652039325
1739209757.6328647;-45.120503652039325
1739209757.6328745;-38.13080360867914
1739209757.6328845;-38.13080360867914
1739209757.6328945;-38.13080360867914
1739209757.6329045;-38.13080360867914
1739209757.6329143;-38.13080360867914
1739209757.6329243;-33.981070128970906
1739209757.6329343;-35.57807855764607
1739209757.632944;-35.57807855764607
1739209757.6329541;-45.120503652039325
1739209757.6329641;-38.13080360867914
1739209757.632974;-38.13080360867914
1739209757.632984;-38.13080360867914
1739209757.632994;-32.816014438256545
1739209757.6330037;-35.57807855764607
1739209757.6330137;-45.120503652039325
1739209757.6330237;-38.13080360867914
1739209757.6330338;-32.816014438256545
1739209757.6330435;-38.13080360867914
1739209757.6330535;-38.13080360867914
1739209757.6330636;-31.141103565318943
1739209757.6330733;-45.120503652039325
1739209757.6330833;-32.816014438256545
1739209757.6330934;-45.120503652039325
1739209757.6331031;-45.120503652039325
1739209757.6331131;-33.981070128970906
1739209757.6331232;-38.13080360867914
1739209757.633133;-45.120503652039325
1739209757.633143;-27.267205301931607
1739209757.633153;-35.57807855764607
1739209757.6331627;-35.57807855764607
1739209757.6331728;-38.13080360867914
1739209757.6331828;-38.13080360867914
1739209757.6331928;-38.13080360867914
1739209757.6332026;-38.13080360867914
1739209757.6332126;-38.13080360867914
1739209757.6332226;-33.981070128970956
1739209757.6332324;-33.981070128970906
1739209757.6332424;-32.816014438256545
1739209757.6332524;-45.120503652039325
1739209757.6332622;-45.120503652039325
1739209757.6332722;-38.13080360867914
1739209757.6332822;-38.13080360867914
1739209757.633292;-45.120503652039325
1739209757.633302;-45.120503652039325
1739209757.633312;-35.57807855764607
1739209757.633322;-38.13080360867914
1739209757.6333318;-45.120503652039325
1739209757.6333418;-45.120503652039325
1739209757.6333518;-45.120503652039325
1739209757.6333616;-45.120503652039325
1739209757.6333716;-38.13080360867914
1739209757.6333816;-45.120503652039325
1739209757.6333914;-45.120503652039325
1739209757.6334014;-38.13080360867914
1739209757.6334114;-35.57807855764607
1739209757.6334212;-38.13080360867914
1739209757.6334312;-45.120503652039325
