CAN Message; 0x150:040011a2d98f4252
Timestamp;Amplitude
1739209888.3302608;-45.120503652039325
1739209888.3302636;-35.57807855764607
1739209888.3302662;-33.981070128970956
1739209888.330269;-38.13080360867914
1739209888.3302717;-35.57807855764607
1739209888.3302743;-35.57807855764607
1739209888.3302772;-45.120503652039325
1739209888.3302798;-31.141103565318915
1739209888.3302827;-32.816014438256545
1739209888.3302853;-35.57807855764607
1739209888.330288;-35.57807855764607
1739209888.3302908;-32.816014438256545
1739209888.3302934;-45.120503652039325
1739209888.3302963;-35.57807855764607
1739209888.330299;-35.57807855764607
1739209888.3303015;-45.120503652039325
1739209888.3303044;-38.13080360867914
1739209888.330307;-35.57807855764607
1739209888.3303099;-38.13080360867914
1739209888.3303125;-45.120503652039325
1739209888.330315;-38.13080360867914
1739209888.330318;-35.57807855764607
1739209888.3303206;-35.57807855764607
1739209888.3303235;-38.13080360867914
1739209888.330326;-45.120503652039325
1739209888.3303287;-35.57807855764607
1739209888.3303316;-45.120503652039325
1739209888.3303342;-45.120503652039325
1739209888.330337;-38.13080360867914
1739209888.3303397;-45.120503652039325
1739209888.3303423;-45.120503652039325
1739209888.3303452;-33.981070128970906
1739209888.3303478;-38.13080360867914
1739209888.3303506;-45.120503652039325
1739209888.3303533;-35.57807855764607
1739209888.330356;-35.57807855764607
1739209888.3303587;-45.120503652039325
1739209888.3303614;-45.120503652039325
1739209888.3303642;-35.57807855764607
1739209888.3303668;-33.981070128970906
1739209888.3303695;-45.120503652039325
1739209888.3303723;-35.57807855764607
1739209888.330375;-38.13080360867914
1739209888.3303776;-38.13080360867914
1739209888.3303804;-38.13080360867914
1739209888.330383;-45.120503652039325
1739209888.330386;-45.120503652039325
1739209888.3303885;-38.13080360867914
1739209888.3303912;-38.13080360867914
1739209888.330394;-45.120503652039325
1739209888.3303967;-38.13080360867914
1739209888.3303995;-38.13080360867914
1739209888.3304021;-45.120503652039325
1739209888.3304048;-38.13080360867914
1739209888.3304076;-45.120503652039325
1739209888.3304102;-45.120503652039325
1739209888.330413;-38.13080360867914
1739209888.3304157;-32.816014438256545
1739209888.3304183;-38.13080360867914
1739209888.3304212;-45.120503652039325
1739209888.3304238;-38.13080360867914
1739209888.3304267;-35.57807855764607
1739209888.3304293;-38.13080360867914
1739209888.330432;-45.120503652039325
1739209888.3304348;-33.981070128970906
1739209888.3304374;-32.816014438256545
1739209888.3304403;-38.13080360867914
1739209888.330443;-45.120503652039325
1739209888.3304455;-35.57807855764607
1739209888.3304484;-38.13080360867914
1739209888.330451;-45.120503652039325
1739209888.3304539;-45.120503652039325
1739209888.3304565;-35.57807855764607
1739209888.330459;-32.816014438256545
1739209888.330462;-38.13080360867914
1739209888.3304646;-38.13080360867914
1739209888.3304675;-38.13080360867914
1739209888.33047;-38.13080360867914
1739209888.3304727;-38.13080360867914
1739209888.3304756;-38.13080360867914
1739209888.3304782;-45.120503652039325
1739209888.330481;-45.120503652039325
1739209888.3304837;-45.120503652039325
1739209888.3304863;-38.13080360867914
1739209888.3304892;-33.981070128970906
1739209888.3304918;-45.120503652039325
1739209888.3304946;-45.120503652039325
1739209888.3304973;-38.13080360867914
1739209888.3305;-33.981070128970906
1739209888.3305027;-45.120503652039325
1739209888.3305054;-38.13080360867914
1739209888.3305082;-38.13080360867914
1739209888.3305109;-38.13080360867914
1739209888.3305135;-45.120503652039325
1739209888.3305163;-38.13080360867914
1739209888.330519;-45.120503652039325
1739209888.3305218;-45.120503652039325
1739209888.3305244;-45.120503652039325
1739209888.330527;-45.120503652039325
1739209888.33053;-38.13080360867914
1739209888.3305326;-38.13080360867914
1739209888.3305354;-45.120503652039325
1739209888.330538;-45.120503652039325
1739209888.3305407;-45.120503652039325
1739209888.3305435;-45.120503652039325
1739209888.3305461;-45.120503652039325
1739209888.330549;-33.981070128970906
1739209888.3305516;-45.120503652039325
1739209888.3305542;-33.981070128970906
1739209888.330557;-45.120503652039325
1739209888.3305597;-45.120503652039325
1739209888.3305626;-45.120503652039325
1739209888.3305652;-35.57807855764607
1739209888.3305678;-35.57807855764607
1739209888.3305707;-38.13080360867914
1739209888.3305733;-45.120503652039325
1739209888.3305762;-28.58837851428586
1739209888.3305788;-35.57807855764607
1739209888.3305814;-38.13080360867914
1739209888.3305843;-45.120503652039325
1739209888.330587;-38.13080360867914
1739209888.3305895;-35.57807855764607
1739209888.3305924;-45.120503652039325
1739209888.330595;-38.13080360867914
1739209888.3305979;-31.141103565318915
1739209888.3306005;-35.57807855764607
1739209888.3306031;-38.13080360867914
1739209888.330606;-45.120503652039325
1739209888.3306086;-38.13080360867914
1739209888.3306115;-38.13080360867914
1739209888.330614;-38.13080360867914
1739209888.3306167;-45.120503652039325
1739209888.3306196;-31.141103565318915
1739209888.3306222;-35.57807855764607
1739209888.330625;-45.120503652039325
1739209888.3306277;-45.120503652039325
1739209888.3306303;-45.120503652039325
1739209888.3306332;-45.120503652039325
1739209888.3306358;-38.13080360867914
1739209888.3306386;-45.120503652039325
1739209888.3306413;-45.120503652039325
1739209888.330644;-45.120503652039325
1739209888.3306468;-45.120503652039325
1739209888.3306494;-45.120503652039325
1739209888.3306522;-45.120503652039325
1739209888.3306549;-45.120503652039325
1739209888.3306575;-38.13080360867914
1739209888.3306603;-38.13080360867914
1739209888.330663;-35.57807855764607
1739209888.3306658;-38.13080360867914
1739209888.3306684;-38.13080360867914
1739209888.330671;-45.120503652039325
1739209888.330674;-38.13080360867914
1739209888.3306766;-38.13080360867914
1739209888.3306794;-38.13080360867914
1739209888.330682;-45.120503652039325
1739209888.3306847;-28.992665084841942
1739209888.3306875;-38.13080360867914
1739209888.3306901;-45.120503652039325
1739209888.330693;-35.57807855764607
1739209888.3306956;-45.120503652039325
1739209888.3306983;-45.120503652039325
1739209888.330701;-45.120503652039325
1739209888.3307037;-32.816014438256545
1739209888.3307066;-31.14110356531892
1739209888.3307092;-45.120503652039325
1739209888.3307118;-38.13080360867914
1739209888.3307147;-45.120503652039325
1739209888.3307173;-45.120503652039325
1739209888.3307202;-38.13080360867914
1739209888.3307228;-45.120503652039325
1739209888.3307254;-45.120503652039325
1739209888.3307283;-31.141103565318915
1739209888.330731;-33.981070128970906
1739209888.3307338;-45.120503652039325
1739209888.3307364;-45.120503652039325
1739209888.330739;-38.13080360867914
1739209888.330742;-38.13080360867914
1739209888.3307445;-38.13080360867914
1739209888.3307474;-45.120503652039325
1739209888.33075;-45.120503652039325
1739209888.3307526;-45.120503652039325
1739209888.3307555;-45.120503652039325
1739209888.330758;-45.120503652039325
1739209888.330761;-33.981070128970906
1739209888.3307636;-33.981070128970906
1739209888.3307662;-45.120503652039325
1739209888.330769;-45.120503652039325
1739209888.3307717;-38.13080360867914
1739209888.3307745;-35.57807855764607
1739209888.3307772;-38.13080360867914
1739209888.3307798;-45.120503652039325
1739209888.3307827;-45.120503652039325
1739209888.3307853;-45.120503652039325
1739209888.3307881;-45.120503652039325
1739209888.3307908;-45.120503652039325
1739209888.3307934;-35.57807855764607
1739209888.3307962;-38.13080360867914
1739209888.3307989;-45.120503652039325
1739209888.3308015;-45.120503652039325
1739209888.3308043;-38.13080360867914
1739209888.330807;-45.120503652039325
1739209888.3308098;-38.13080360867914
1739209888.3308125;-38.13080360867914
1739209888.330815;-38.13080360867914
1739209888.330818;-45.120503652039325
1739209888.3308206;-33.981070128970906
1739209888.3308234;-38.13080360867914
1739209888.330826;-38.13080360867914
1739209888.3308287;-35.57807855764607
1739209888.3308315;-38.13080360867914
1739209888.3308342;-45.120503652039325
1739209888.330837;-38.13080360867914
1739209888.3308396;-38.13080360867914
1739209888.3308423;-38.13080360867914
1739209888.330845;-45.120503652039325
1739209888.3308477;-38.13080360867914
1739209888.3308506;-38.13080360867914
1739209888.3308532;-38.13080360867914
1739209888.3308558;-45.120503652039325
1739209888.3308587;-38.13080360867914
1739209888.3308613;-38.13080360867914
1739209888.3308642;-38.13080360867914
1739209888.3308668;-45.120503652039325
1739209888.3308694;-38.13080360867914
1739209888.3308723;-32.816014438256545
1739209888.330875;-38.13080360867914
1739209888.3308778;-45.120503652039325
1739209888.3308804;-35.57807855764607
1739209888.330883;-35.57807855764607
1739209888.330886;-38.13080360867914
1739209888.3308885;-45.120503652039325
1739209888.3308914;-35.57807855764607
1739209888.330894;-35.57807855764607
1739209888.3308966;-45.120503652039325
1739209888.3308995;-45.120503652039325
1739209888.330902;-45.120503652039325
1739209888.330905;-45.120503652039325
1739209888.3309076;-45.120503652039325
1739209888.3309102;-38.13080360867914
1739209888.330913;-45.120503652039325
1739209888.3309157;-38.13080360867914
1739209888.3309186;-38.13080360867914
1739209888.3309212;-38.13080360867914
1739209888.3309238;-38.13080360867914
1739209888.3309267;-45.120503652039325
1739209888.3309293;-38.13080360867914
1739209888.3309321;-35.57807855764607
1739209888.3309348;-45.120503652039325
1739209888.3309374;-45.120503652039325
1739209888.3309402;-45.120503652039325
1739209888.3309429;-45.120503652039325
1739209888.3309457;-38.13080360867914
1739209888.3309484;-38.13080360867914
1739209888.330951;-38.13080360867914
1739209888.3309538;-38.13080360867914
1739209888.3309565;-38.13080360867914
1739209888.3309593;-35.57807855764607
1739209888.330962;-38.13080360867914
1739209888.3309646;-45.120503652039325
1739209888.3309674;-33.981070128970906
1739209888.33097;-33.981070128970906
1739209888.330973;-31.141103565318915
1739209888.3309755;-45.120503652039325
1739209888.3309782;-38.13080360867914
1739209888.330981;-45.120503652039325
1739209888.3309836;-33.981070128970906
1739209888.3309865;-45.120503652039325
1739209888.3309891;-38.13080360867914
1739209888.3309917;-35.57807855764607
1739209888.3309946;-38.13080360867914
1739209888.3309972;-45.120503652039325
1739209888.331;-45.120503652039325
1739209888.3310027;-31.141103565318893
1739209888.3310053;-45.120503652039325
1739209888.3310082;-45.120503652039325
1739209888.3310108;-45.120503652039325
1739209888.3310134;-33.981070128970906
1739209888.3310163;-33.981070128970906
1739209888.331019;-45.120503652039325
1739209888.3310218;-45.120503652039325
1739209888.3310244;-38.13080360867914
1739209888.331027;-38.13080360867914
1739209888.33103;-45.120503652039325
1739209888.3310325;-38.13080360867914
1739209888.3310354;-45.120503652039325
1739209888.331038;-38.13080360867914
1739209888.3310406;-45.120503652039325
1739209888.3310435;-38.13080360867914
1739209888.331046;-45.120503652039325
1739209888.331049;-45.120503652039325
1739209888.3310516;-45.120503652039325
1739209888.3310542;-45.120503652039325
1739209888.331057;-38.13080360867914
1739209888.3310597;-45.120503652039325
1739209888.3310626;-45.120503652039325
1739209888.3310652;-38.13080360867914
1739209888.3310678;-38.13080360867914
1739209888.3310707;-38.13080360867914
1739209888.3310733;-38.13080360867914
1739209888.3310761;-38.13080360867914
1739209888.3310788;-38.13080360867914
1739209888.3310814;-38.13080360867914
1739209888.3310843;-35.57807855764607
1739209888.3310869;-38.13080360867914
1739209888.3310897;-45.120503652039325
1739209888.3310924;-38.13080360867914
1739209888.331095;-35.57807855764607
1739209888.3310978;-38.13080360867914
1739209888.3311005;-45.120503652039325
1739209888.3311033;-28.992665084841942
1739209888.331106;-35.57807855764607
1739209888.3311086;-38.13080360867914
1739209888.3311114;-38.13080360867914
1739209888.331114;-38.13080360867914
1739209888.331117;-45.120503652039325
1739209888.3311195;-45.120503652039325
1739209888.3311222;-45.120503652039325
1739209888.331125;-30.49652367304973
1739209888.3311276;-38.13080360867914
1739209888.3311305;-38.13080360867914
1739209888.3311331;-38.13080360867914
1739209888.3311357;-33.981070128970906
1739209888.3311386;-45.120503652039325
1739209888.3311412;-38.13080360867914
1739209888.331144;-38.13080360867914
1739209888.3311467;-31.141103565318915
1739209888.3311493;-38.13080360867914
1739209888.3311522;-38.13080360867914
1739209888.3311548;-35.57807855764607
1739209888.3311577;-38.13080360867914
1739209888.3311603;-45.120503652039325
1739209888.331163;-38.13080360867914
1739209888.3311658;-45.120503652039325
1739209888.3311684;-31.14110356531892
1739209888.3311713;-45.120503652039325
1739209888.331174;-38.13080360867914
1739209888.3311765;-45.120503652039325
1739209888.3311794;-38.13080360867914
1739209888.331182;-45.120503652039325
1739209888.3311849;-38.13080360867914
1739209888.3311875;-38.13080360867914
1739209888.33119;-33.981070128970906
1739209888.331193;-38.13080360867914
1739209888.3311956;-45.120503652039325
1739209888.3311985;-45.120503652039325
1739209888.331201;-38.13080360867914
1739209888.3312037;-35.57807855764607
1739209888.3312066;-38.13080360867914
1739209888.3312092;-45.120503652039325
1739209888.331212;-38.13080360867914
1739209888.3312147;-35.57807855764607
1739209888.3312173;-38.13080360867914
1739209888.3312201;-45.120503652039325
1739209888.3312228;-45.120503652039325
1739209888.3312254;-38.13080360867914
1739209888.3312283;-38.13080360867914
1739209888.3312309;-45.120503652039325
1739209888.3312337;-38.13080360867914
1739209888.3312364;-45.120503652039325
1739209888.331239;-45.120503652039325
1739209888.3312418;-38.13080360867914
1739209888.3312445;-45.120503652039325
1739209888.3312473;-45.120503652039325
1739209888.33125;-38.13080360867914
1739209888.3312526;-45.120503652039325
1739209888.3312554;-33.981070128970906
1739209888.331258;-33.981070128970906
1739209888.331261;-45.120503652039325
1739209888.3312635;-35.57807855764607
1739209888.3312662;-35.57807855764607
1739209888.331269;-38.13080360867914
1739209888.3312716;-45.120503652039325
1739209888.3312745;-32.816014438256545
1739209888.3312771;-45.120503652039325
1739209888.3312798;-38.13080360867914
1739209888.3312826;-38.13080360867914
1739209888.3312852;-45.120503652039325
1739209888.331288;-38.13080360867914
1739209888.3312907;-45.120503652039325
1739209888.3312933;-38.13080360867914
