CAN Message; 0x1a7:00003cd9c04eab25
Timestamp;Amplitude
1739209699.9437113;-45.120503652039325
1739209699.9437177;-38.13080360867914
1739209699.943724;-35.57807855764607
1739209699.94373;-45.120503652039325
1739209699.9437366;-38.13080360867914
1739209699.9437428;-45.120503652039325
1739209699.9437492;-45.120503652039325
1739209699.9437554;-45.120503652039325
1739209699.9437616;-38.13080360867914
1739209699.943768;-38.13080360867914
1739209699.9437742;-38.13080360867914
1739209699.9437804;-38.13080360867914
1739209699.9437869;-45.120503652039325
1739209699.943793;-32.816014438256545
1739209699.9437993;-32.816014438256545
1739209699.9438057;-35.57807855764607
1739209699.943812;-38.13080360867914
1739209699.9438183;-35.57807855764607
1739209699.9438245;-35.57807855764607
1739209699.9438307;-35.57807855764607
1739209699.9438372;-35.57807855764607
1739209699.9438434;-45.120503652039325
1739209699.9438496;-38.13080360867914
1739209699.943856;-38.13080360867914
1739209699.9438622;-45.120503652039325
1739209699.9438686;-38.13080360867914
1739209699.9438748;-45.120503652039325
1739209699.943881;-35.57807855764607
1739209699.9438875;-38.13080360867914
1739209699.9438937;-45.120503652039325
1739209699.9438999;-38.13080360867914
1739209699.9439063;-38.13080360867914
1739209699.9439125;-38.13080360867914
1739209699.9439187;-45.120503652039325
1739209699.9439251;-45.120503652039325
1739209699.9439313;-38.13080360867914
1739209699.9439378;-45.120503652039325
1739209699.943944;-38.13080360867914
1739209699.9439502;-33.981070128970906
1739209699.9439566;-38.13080360867914
1739209699.9439628;-45.120503652039325
1739209699.943969;-38.13080360867914
1739209699.9439754;-35.57807855764607
1739209699.9439816;-38.13080360867914
1739209699.9439878;-45.120503652039325
1739209699.9439943;-35.57807855764607
1739209699.9440005;-38.13080360867914
1739209699.944007;-45.120503652039325
1739209699.944013;-38.13080360867914
1739209699.9440193;-33.981070128970906
1739209699.9440258;-38.13080360867914
1739209699.944032;-38.13080360867914
1739209699.9440382;-38.13080360867914
1739209699.9440446;-32.816014438256545
1739209699.9440508;-33.981070128970906
1739209699.9440572;-38.13080360867914
1739209699.9440634;-38.13080360867914
1739209699.9440696;-35.57807855764607
1739209699.944076;-38.13080360867914
1739209699.9440823;-45.120503652039325
1739209699.9440885;-38.13080360867914
1739209699.944095;-35.57807855764607
1739209699.944101;-28.992665084841942
1739209699.9441073;-38.13080360867914
1739209699.9441137;-45.120503652039325
1739209699.94412;-35.57807855764607
1739209699.9441264;-38.13080360867914
1739209699.9441326;-45.120503652039325
1739209699.9441388;-45.120503652039325
1739209699.9441452;-35.57807855764607
1739209699.9441514;-33.981070128970906
1739209699.9441576;-45.120503652039325
1739209699.944164;-38.13080360867914
1739209699.9441702;-45.120503652039325
1739209699.9441764;-38.13080360867914
1739209699.9441829;-38.13080360867914
1739209699.944189;-45.120503652039325
1739209699.9441955;-45.120503652039325
1739209699.9442017;-45.120503652039325
1739209699.944208;-38.13080360867914
1739209699.9442143;-38.13080360867914
1739209699.9442205;-45.120503652039325
1739209699.9442267;-45.120503652039325
1739209699.9442332;-38.13080360867914
1739209699.9442394;-38.13080360867914
1739209699.9442456;-45.120503652039325
1739209699.944252;-33.981070128970906
1739209699.9442582;-31.141103565318915
1739209699.9442647;-38.13080360867914
1739209699.9442708;-45.120503652039325
1739209699.944277;-38.13080360867914
1739209699.9442835;-33.981070128970906
1739209699.9442897;-45.120503652039325
1739209699.944296;-38.13080360867914
