CAN Message; 0x39:08281814b0d0cf97
Timestamp;Amplitude
1739209689.5536013;-35.57807855764607
1739209689.5536041;-38.13080360867914
1739209689.553607;-45.120503652039325
1739209689.5536098;-45.120503652039325
1739209689.5536127;-38.13080360867914
1739209689.5536158;-38.13080360867914
1739209689.5536187;-45.120503652039325
1739209689.5536215;-38.13080360867914
1739209689.5536244;-35.57807855764607
1739209689.5536273;-38.13080360867914
1739209689.55363;-38.13080360867914
1739209689.553633;-38.13080360867914
1739209689.5536358;-45.120503652039325
1739209689.5536387;-45.120503652039325
1739209689.5536416;-45.120503652039325
1739209689.5536447;-45.120503652039325
1739209689.5536475;-32.816014438256545
1739209689.5536504;-45.120503652039325
1739209689.5536532;-45.120503652039325
1739209689.553656;-45.120503652039325
1739209689.553659;-33.981070128970906
1739209689.5536618;-31.141103565318915
1739209689.5536647;-45.120503652039325
1739209689.5536675;-38.13080360867914
1739209689.5536704;-45.120503652039325
1739209689.5536733;-33.981070128970906
1739209689.5536764;-45.120503652039325
1739209689.5536792;-45.120503652039325
1739209689.553682;-38.13080360867914
1739209689.553685;-38.13080360867914
1739209689.5536878;-45.120503652039325
1739209689.5536907;-45.120503652039325
1739209689.5536935;-32.816014438256545
1739209689.5536964;-38.13080360867914
1739209689.5536993;-45.120503652039325
1739209689.553702;-38.13080360867914
1739209689.5537052;-32.816014438256545
1739209689.553708;-31.141103565318915
1739209689.553711;-45.120503652039325
1739209689.5537138;-38.13080360867914
1739209689.5537167;-38.13080360867914
1739209689.5537195;-33.981070128970906
1739209689.5537224;-45.120503652039325
1739209689.5537252;-38.13080360867914
1739209689.553728;-38.13080360867914
1739209689.553731;-45.120503652039325
1739209689.5537338;-45.120503652039325
1739209689.553737;-45.120503652039325
1739209689.5537398;-38.13080360867914
1739209689.5537426;-38.13080360867914
1739209689.5537455;-45.120503652039325
1739209689.5537484;-38.13080360867914
1739209689.5537512;-38.13080360867914
1739209689.553754;-45.120503652039325
1739209689.553757;-45.120503652039325
1739209689.5537598;-38.13080360867914
1739209689.5537627;-35.57807855764607
1739209689.5537655;-38.13080360867914
1739209689.5537686;-45.120503652039325
1739209689.5537715;-33.981070128970906
1739209689.5537744;-32.816014438256545
1739209689.5537772;-31.141103565318915
1739209689.55378;-45.120503652039325
1739209689.553783;-38.13080360867914
1739209689.5537858;-45.120503652039325
1739209689.5537887;-38.13080360867914
1739209689.5537915;-45.120503652039325
1739209689.5537944;-45.120503652039325
1739209689.5537975;-45.120503652039325
1739209689.5538003;-27.877744956031414
1739209689.5538032;-45.120503652039325
1739209689.553806;-38.13080360867914
1739209689.553809;-35.57807855764607
1739209689.5538118;-38.13080360867914
1739209689.5538146;-45.120503652039325
1739209689.5538175;-45.120503652039325
1739209689.5538204;-38.13080360867914
1739209689.5538232;-31.141103565318915
1739209689.553826;-45.120503652039325
1739209689.5538292;-38.13080360867914
1739209689.553832;-35.57807855764607
1739209689.553835;-38.13080360867914
1739209689.5538378;-38.13080360867914
1739209689.5538406;-45.120503652039325
1739209689.5538435;-45.120503652039325
1739209689.5538464;-45.120503652039325
1739209689.5538492;-45.120503652039325
1739209689.553852;-35.57807855764607
1739209689.553855;-35.57807855764607
1739209689.553858;-45.120503652039325
1739209689.553861;-38.13080360867914
1739209689.5538638;-38.13080360867914
1739209689.5538666;-45.120503652039325
1739209689.5538695;-38.13080360867914
1739209689.5538723;-38.13080360867914
1739209689.5538752;-45.120503652039325
1739209689.553878;-38.13080360867914
1739209689.553881;-38.13080360867914
1739209689.5538838;-45.120503652039325
1739209689.5538867;-45.120503652039325
1739209689.5538898;-45.120503652039325
1739209689.5538926;-32.816014438256545
1739209689.5538955;-33.981070128970906
1739209689.5538983;-38.13080360867914
1739209689.5539012;-45.120503652039325
1739209689.553904;-38.13080360867914
1739209689.553907;-38.13080360867914
1739209689.5539098;-45.120503652039325
1739209689.5539126;-45.120503652039325
1739209689.5539155;-27.267205301931607
1739209689.5539186;-33.981070128970906
1739209689.5539215;-38.13080360867914
1739209689.5539243;-38.13080360867914
1739209689.5539272;-38.13080360867914
1739209689.55393;-45.120503652039325
1739209689.553933;-38.13080360867914
1739209689.5539358;-45.120503652039325
1739209689.5539386;-45.120503652039325
1739209689.5539415;-38.13080360867914
1739209689.5539443;-38.13080360867914
1739209689.5539472;-45.120503652039325
1739209689.5539503;-38.13080360867914
1739209689.5539532;-38.13080360867914
1739209689.553956;-38.13080360867914
1739209689.553959;-45.120503652039325
1739209689.5539618;-38.13080360867914
1739209689.5539646;-35.57807855764607
1739209689.5539675;-38.13080360867914
1739209689.5539703;-45.120503652039325
1739209689.5539732;-45.120503652039325
1739209689.553976;-45.120503652039325
1739209689.5539792;-45.120503652039325
1739209689.553982;-45.120503652039325
1739209689.5539849;-38.13080360867914
1739209689.5539877;-38.13080360867914
1739209689.5539906;-38.13080360867914
1739209689.5539935;-45.120503652039325
1739209689.5539963;-38.13080360867914
1739209689.5539992;-38.13080360867914
1739209689.554002;-45.120503652039325
1739209689.554005;-45.120503652039325
1739209689.5540078;-45.120503652039325
1739209689.5540109;-33.981070128970906
1739209689.5540137;-38.13080360867914
1739209689.5540166;-38.13080360867914
1739209689.5540195;-38.13080360867914
1739209689.5540223;-38.13080360867914
1739209689.5540252;-45.120503652039325
1739209689.554028;-45.120503652039325
1739209689.554031;-38.13080360867914
1739209689.5540338;-38.13080360867914
1739209689.5540366;-38.13080360867914
1739209689.5540395;-45.120503652039325
1739209689.5540426;-38.13080360867914
1739209689.5540454;-45.120503652039325
1739209689.5540483;-45.120503652039325
1739209689.5540512;-38.13080360867914
1739209689.554054;-45.120503652039325
1739209689.554057;-45.120503652039325
