CAN Message; 0x150:040008077a2d2bda
Timestamp;Amplitude
1739209855.7957282;-38.13080360867914
1739209855.795735;-45.120503652039325
1739209855.7957418;-33.981070128970906
1739209855.7957485;-33.981070128970906
1739209855.7957554;-45.120503652039325
1739209855.795762;-45.120503652039325
1739209855.795769;-38.13080360867914
1739209855.7957757;-35.57807855764607
1739209855.7957826;-45.120503652039325
1739209855.7957892;-45.120503652039325
1739209855.7957962;-33.981070128970906
1739209855.7958028;-33.981070128970906
1739209855.7958097;-45.120503652039325
1739209855.7958164;-38.13080360867914
1739209855.7958233;-38.13080360867914
1739209855.79583;-45.120503652039325
1739209855.795837;-33.981070128970906
1739209855.7958436;-35.57807855764607
1739209855.7958505;-33.981070128970956
1739209855.7958572;-45.120503652039325
1739209855.795864;-38.13080360867914
1739209855.7958708;-45.120503652039325
1739209855.7958777;-45.120503652039325
1739209855.7958844;-38.13080360867914
1739209855.7958913;-38.13080360867914
1739209855.7958982;-45.120503652039325
1739209855.7959049;-30.49652367304973
1739209855.7959118;-29.438486411369333
1739209855.7959185;-38.13080360867914
1739209855.7959254;-45.120503652039325
1739209855.795932;-38.13080360867914
1739209855.795939;-35.57807855764607
1739209855.7959456;-38.13080360867914
1739209855.7959526;-38.13080360867914
1739209855.7959592;-45.120503652039325
1739209855.7959661;-45.120503652039325
1739209855.7959728;-38.13080360867914
1739209855.7959797;-45.120503652039325
1739209855.7959864;-38.13080360867914
1739209855.7959933;-35.57807855764607
1739209855.796;-38.13080360867914
1739209855.796007;-45.120503652039325
1739209855.7960136;-38.13080360867914
1739209855.7960205;-38.13080360867914
1739209855.7960272;-38.13080360867914
1739209855.796034;-38.13080360867914
1739209855.7960408;-45.120503652039325
1739209855.7960477;-38.13080360867914
1739209855.7960546;-38.13080360867914
1739209855.7960613;-45.120503652039325
1739209855.7960682;-33.981070128970906
1739209855.7960749;-32.816014438256545
1739209855.7960818;-45.120503652039325
1739209855.7960885;-45.120503652039325
1739209855.7960954;-33.981070128970906
1739209855.796102;-38.13080360867914
1739209855.796109;-45.120503652039325
1739209855.7961156;-32.816014438256545
1739209855.7961226;-45.120503652039325
1739209855.7961292;-38.13080360867914
1739209855.7961361;-35.57807855764607
1739209855.7961428;-38.13080360867914
1739209855.7961497;-38.13080360867914
1739209855.7961564;-45.120503652039325
1739209855.7961633;-33.981070128970906
1739209855.79617;-45.120503652039325
1739209855.796177;-45.120503652039325
1739209855.7961836;-33.981070128970906
1739209855.7961905;-45.120503652039325
1739209855.7961972;-38.13080360867914
1739209855.796204;-33.981070128970906
1739209855.7962108;-38.13080360867914
1739209855.7962177;-45.120503652039325
1739209855.7962246;-45.120503652039325
1739209855.7962313;-38.13080360867914
1739209855.7962382;-38.13080360867914
1739209855.7962449;-45.120503652039325
1739209855.7962518;-45.120503652039325
1739209855.7962584;-45.120503652039325
1739209855.7962654;-32.816014438256545
1739209855.796272;-38.13080360867914
1739209855.796279;-45.120503652039325
1739209855.7962856;-45.120503652039325
1739209855.7962925;-38.13080360867914
1739209855.7962992;-33.981070128970906
1739209855.7963061;-35.57807855764607
1739209855.7963128;-45.120503652039325
1739209855.7963197;-45.120503652039325
1739209855.7963264;-38.13080360867914
1739209855.7963333;-45.120503652039325
1739209855.79634;-45.120503652039325
1739209855.796347;-45.120503652039325
1739209855.7963536;-45.120503652039325
1739209855.7963605;-45.120503652039325
1739209855.7963672;-38.13080360867914
1739209855.796374;-35.57807855764607
1739209855.7963808;-45.120503652039325
1739209855.7963877;-45.120503652039325
1739209855.7963946;-33.981070128970906
1739209855.7964013;-33.981070128970906
1739209855.7964082;-31.141103565318915
1739209855.7964149;-45.120503652039325
1739209855.7964218;-38.13080360867914
1739209855.7964284;-38.13080360867914
1739209855.7964354;-38.13080360867914
1739209855.796442;-35.57807855764607
1739209855.796449;-45.120503652039325
1739209855.7964556;-45.120503652039325
1739209855.7964625;-38.13080360867914
1739209855.7964692;-38.13080360867914
1739209855.7964761;-38.13080360867914
1739209855.7964828;-38.13080360867914
1739209855.7964897;-38.13080360867914
1739209855.7964964;-45.120503652039325
1739209855.7965033;-45.120503652039325
1739209855.79651;-38.13080360867914
1739209855.796517;-38.13080360867914
1739209855.7965236;-45.120503652039325
1739209855.7965305;-38.13080360867914
1739209855.7965372;-33.981070128970906
1739209855.796544;-38.13080360867914
1739209855.796551;-45.120503652039325
1739209855.7965577;-45.120503652039325
1739209855.7965646;-38.13080360867914
1739209855.7965713;-33.981070128970906
1739209855.7965782;-45.120503652039325
1739209855.7965848;-38.13080360867914
1739209855.7965918;-45.120503652039325
1739209855.7965984;-38.13080360867914
1739209855.7966053;-38.13080360867914
1739209855.796612;-38.13080360867914
1739209855.796619;-38.13080360867914
1739209855.7966256;-31.141103565318915
1739209855.7966325;-45.120503652039325
1739209855.7966392;-31.141103565318915
1739209855.796646;-32.816014438256545
1739209855.7966528;-38.13080360867914
1739209855.7966597;-38.13080360867914
1739209855.7966664;-45.120503652039325
1739209855.7966733;-38.13080360867914
1739209855.79668;-27.877744956031414
1739209855.796687;-45.120503652039325
1739209855.7966936;-33.981070128970906
1739209855.7967005;-45.120503652039325
1739209855.7967072;-38.13080360867914
1739209855.796714;-38.13080360867914
1739209855.796721;-38.13080360867914
1739209855.7967277;-38.13080360867914
1739209855.7967346;-31.141103565318915
1739209855.7967412;-45.120503652039325
1739209855.7967482;-45.120503652039325
1739209855.7967548;-38.13080360867914
1739209855.7967618;-38.13080360867914
1739209855.7967684;-45.120503652039325
1739209855.7967753;-45.120503652039325
1739209855.796782;-38.13080360867914
1739209855.796789;-32.816014438256545
1739209855.7967956;-38.13080360867914
1739209855.7968025;-38.13080360867914
1739209855.7968092;-38.13080360867914
1739209855.796816;-35.57807855764607
1739209855.7968228;-35.57807855764607
1739209855.7968297;-38.13080360867914
1739209855.7968364;-35.57807855764607
1739209855.7968433;-38.13080360867914
1739209855.79685;-45.120503652039325
1739209855.7968569;-45.120503652039325
1739209855.7968636;-45.120503652039325
1739209855.7968705;-45.120503652039325
1739209855.7968771;-45.120503652039325
1739209855.796884;-38.13080360867914
1739209855.796891;-35.57807855764607
1739209855.7968976;-31.141103565318915
1739209855.7969046;-38.13080360867914
1739209855.7969112;-45.120503652039325
1739209855.7969182;-32.816014438256545
1739209855.7969248;-35.57807855764607
1739209855.7969317;-45.120503652039325
1739209855.7969384;-45.120503652039325
1739209855.7969453;-38.13080360867914
1739209855.796952;-32.81601443825658
1739209855.796959;-33.981070128970906
1739209855.7969656;-38.13080360867914
1739209855.7969725;-45.120503652039325
1739209855.7969792;-38.13080360867914
1739209855.796986;-35.57807855764607
1739209855.7969928;-45.120503652039325
1739209855.7969997;-45.120503652039325
1739209855.7970064;-28.992665084841942
1739209855.7970133;-32.816014438256545
1739209855.79702;-38.13080360867914
1739209855.7970269;-45.120503652039325
1739209855.7970335;-33.981070128970906
1739209855.7970405;-45.120503652039325
1739209855.7970471;-45.120503652039325
1739209855.797054;-32.816014438256545
1739209855.797061;-32.81601443825658
1739209855.7970676;-38.13080360867914
1739209855.7970746;-38.13080360867914
1739209855.7970812;-38.13080360867914
1739209855.7970881;-38.13080360867914
1739209855.7970948;-38.13080360867914
1739209855.7971017;-38.13080360867914
1739209855.7971084;-35.57807855764607
1739209855.7971153;-38.13080360867914
1739209855.797122;-45.120503652039325
1739209855.797129;-38.13080360867914
1739209855.7971356;-45.120503652039325
1739209855.7971425;-45.120503652039325
1739209855.7971492;-35.57807855764607
1739209855.797156;-38.13080360867914
1739209855.7971628;-45.120503652039325
1739209855.7971697;-33.981070128970906
1739209855.7971764;-38.13080360867914
1739209855.7971833;-45.120503652039325
1739209855.79719;-45.120503652039325
1739209855.7971969;-38.13080360867914
1739209855.7972035;-38.13080360867914
1739209855.7972105;-45.120503652039325
1739209855.7972174;-38.13080360867914
1739209855.797224;-45.120503652039325
1739209855.797231;-38.13080360867914
1739209855.7972376;-38.13080360867914
1739209855.7972445;-45.120503652039325
1739209855.7972512;-38.13080360867914
1739209855.7972581;-38.13080360867914
1739209855.7972648;-45.120503652039325
1739209855.7972717;-45.120503652039325
1739209855.7972784;-32.816014438256545
1739209855.7972853;-38.13080360867914
1739209855.797292;-45.120503652039325
1739209855.797299;-38.13080360867914
