CAN Message; 0x1bb:000044653dd7954b
Timestamp;Amplitude
1739209876.530726;-45.120503652039325
1739209876.530734;-45.120503652039325
1739209876.5307422;-38.13080360867914
1739209876.5307503;-35.57807855764607
1739209876.5307581;-38.13080360867914
1739209876.5307662;-45.120503652039325
1739209876.5307744;-38.13080360867914
1739209876.5307825;-45.120503652039325
1739209876.5307906;-31.141103565318915
1739209876.5307987;-33.981070128970906
1739209876.5308068;-45.120503652039325
1739209876.530815;-45.120503652039325
1739209876.530823;-38.13080360867914
1739209876.530831;-45.120503652039325
1739209876.530839;-45.120503652039325
1739209876.530847;-35.57807855764607
1739209876.5308552;-35.57807855764607
1739209876.5308633;-45.120503652039325
1739209876.5308714;-38.13080360867914
1739209876.5308795;-45.120503652039325
1739209876.5308876;-38.13080360867914
1739209876.5308957;-45.120503652039325
1739209876.5309038;-45.120503652039325
1739209876.530912;-45.120503652039325
1739209876.5309198;-30.49652367304973
1739209876.530928;-32.816014438256545
1739209876.530936;-38.13080360867914
1739209876.530944;-32.816014438256545
1739209876.5309522;-38.13080360867914
1739209876.5309603;-45.120503652039325
1739209876.5309684;-38.13080360867914
1739209876.5309765;-38.13080360867914
1739209876.5309846;-38.13080360867914
1739209876.5309927;-45.120503652039325
1739209876.5310006;-38.13080360867914
1739209876.5310087;-35.57807855764607
1739209876.5310168;-45.120503652039325
1739209876.531025;-45.120503652039325
1739209876.531033;-45.120503652039325
1739209876.5310411;-45.120503652039325
1739209876.5310493;-45.120503652039325
1739209876.5310574;-38.13080360867914
1739209876.5310655;-45.120503652039325
1739209876.5310736;-45.120503652039325
1739209876.5310814;-33.981070128970906
1739209876.5310895;-35.57807855764607
1739209876.5310977;-45.120503652039325
1739209876.5311058;-45.120503652039325
1739209876.5311139;-35.57807855764607
1739209876.531122;-31.141103565318893
1739209876.53113;-45.120503652039325
1739209876.5311382;-38.13080360867914
1739209876.5311463;-38.13080360867914
1739209876.5311544;-38.13080360867914
1739209876.5311623;-38.13080360867914
1739209876.5311704;-32.816014438256545
1739209876.5311785;-45.120503652039325
1739209876.5311866;-35.57807855764607
1739209876.5311947;-35.57807855764607
1739209876.5312028;-35.57807855764607
1739209876.531211;-45.120503652039325
1739209876.531219;-45.120503652039325
1739209876.531227;-35.57807855764607
1739209876.5312352;-45.120503652039325
1739209876.531243;-32.816014438256545
1739209876.5312512;-31.141103565318893
1739209876.5312593;-38.13080360867914
1739209876.5312674;-38.13080360867914
1739209876.5312755;-38.13080360867914
1739209876.5312836;-35.57807855764607
1739209876.5312917;-45.120503652039325
1739209876.5312998;-32.816014438256545
1739209876.531308;-45.120503652039325
1739209876.5313158;-45.120503652039325
1739209876.531324;-45.120503652039325
1739209876.531332;-38.13080360867914
1739209876.5313401;-35.57807855764607
1739209876.5313482;-35.57807855764607
1739209876.5313563;-38.13080360867914
1739209876.5313644;-45.120503652039325
1739209876.5313725;-45.120503652039325
1739209876.5313807;-45.120503652039325
1739209876.5313888;-45.120503652039325
1739209876.5313966;-45.120503652039325
1739209876.5314047;-45.120503652039325
1739209876.5314128;-45.120503652039325
1739209876.531421;-38.13080360867914
1739209876.531429;-35.57807855764607
1739209876.5314372;-38.13080360867914
1739209876.5314453;-35.57807855764607
1739209876.5314534;-38.13080360867914
1739209876.5314615;-45.120503652039325
1739209876.5314696;-38.13080360867914
1739209876.5314775;-38.13080360867914
1739209876.5314856;-45.120503652039325
