CAN Message; 0x1d3:0000517122a6cd38
Timestamp;Amplitude
1739209596.5468667;-45.120503652039325
1739209596.546871;-45.120503652039325
1739209596.5468755;-35.57807855764607
1739209596.54688;-45.120503652039325
1739209596.5468845;-38.13080360867914
1739209596.5468888;-38.13080360867914
1739209596.5468934;-45.120503652039325
1739209596.546898;-45.120503652039325
1739209596.5469022;-38.13080360867914
1739209596.5469067;-38.13080360867914
1739209596.5469112;-45.120503652039325
1739209596.5469155;-33.981070128970906
1739209596.54692;-45.120503652039325
1739209596.5469246;-45.120503652039325
1739209596.5469291;-38.13080360867914
1739209596.5469334;-35.57807855764607
1739209596.546938;-45.120503652039325
1739209596.5469425;-45.120503652039325
1739209596.5469468;-45.120503652039325
1739209596.5469513;-45.120503652039325
1739209596.5469558;-32.816014438256545
1739209596.5469604;-35.57807855764607
1739209596.5469646;-38.13080360867914
1739209596.5469692;-38.13080360867914
1739209596.5469737;-38.13080360867914
1739209596.546978;-33.981070128970906
1739209596.5469825;-45.120503652039325
1739209596.546987;-45.120503652039325
1739209596.5469913;-45.120503652039325
1739209596.5469959;-45.120503652039325
1739209596.5470004;-45.120503652039325
1739209596.547005;-45.120503652039325
1739209596.5470092;-45.120503652039325
1739209596.5470138;-45.120503652039325
1739209596.5470183;-45.120503652039325
1739209596.5470226;-45.120503652039325
1739209596.547027;-38.13080360867914
1739209596.5470316;-45.120503652039325
1739209596.547036;-45.120503652039325
1739209596.5470405;-45.120503652039325
1739209596.547045;-35.57807855764607
1739209596.5470495;-33.981070128970906
1739209596.5470538;-32.816014438256545
1739209596.5470583;-38.13080360867914
1739209596.5470629;-38.13080360867914
1739209596.5470672;-38.13080360867914
1739209596.5470717;-38.13080360867914
1739209596.5470762;-38.13080360867914
1739209596.5470808;-45.120503652039325
1739209596.547085;-38.13080360867914
1739209596.5470896;-45.120503652039325
1739209596.547094;-35.57807855764607
1739209596.5470984;-38.13080360867914
1739209596.547103;-45.120503652039325
1739209596.5471075;-35.57807855764607
1739209596.5471117;-38.13080360867914
1739209596.5471163;-35.57807855764607
1739209596.5471208;-33.981070128970906
1739209596.5471253;-38.13080360867914
1739209596.5471296;-45.120503652039325
1739209596.5471342;-27.8777449560314
1739209596.5471387;-28.992665084841942
1739209596.547143;-45.120503652039325
1739209596.5471475;-38.13080360867914
1739209596.547152;-45.120503652039325
1739209596.5471566;-45.120503652039325
1739209596.5471609;-45.120503652039325
1739209596.5471654;-38.13080360867914
1739209596.54717;-33.981070128970956
1739209596.5471742;-35.57807855764607
1739209596.5471787;-38.13080360867914
1739209596.5471833;-45.120503652039325
1739209596.5471876;-45.120503652039325
1739209596.547192;-45.120503652039325
1739209596.5471966;-38.13080360867914
1739209596.5472012;-45.120503652039325
1739209596.5472054;-33.981070128970906
1739209596.54721;-33.981070128970906
1739209596.5472145;-45.120503652039325
1739209596.5472188;-38.13080360867914
1739209596.5472233;-35.57807855764607
1739209596.5472279;-38.13080360867914
1739209596.5472324;-45.120503652039325
1739209596.5472367;-45.120503652039325
