CAN Message; 0x1a7:00000cc26a0fa623
Timestamp;Amplitude
1739209891.4045873;-38.13080360867914
1739209891.404606;-45.120503652039325
1739209891.404625;-38.13080360867914
1739209891.4046438;-35.57807855764607
1739209891.4046626;-38.13080360867914
1739209891.4046814;-45.120503652039325
1739209891.4047003;-38.13080360867914
1739209891.404719;-35.57807855764607
1739209891.404738;-35.57807855764607
1739209891.4047568;-45.120503652039325
1739209891.4047756;-35.57807855764607
1739209891.4047945;-35.57807855764607
1739209891.404813;-45.120503652039325
1739209891.404832;-45.120503652039325
1739209891.4048507;-45.120503652039325
1739209891.4048696;-38.13080360867914
1739209891.4048884;-38.13080360867914
1739209891.4049072;-38.13080360867914
1739209891.404926;-38.13080360867914
1739209891.404945;-45.120503652039325
1739209891.4049637;-38.13080360867914
1739209891.4049826;-45.120503652039325
1739209891.4050014;-30.49652367304973
1739209891.4050202;-45.120503652039325
1739209891.405039;-45.120503652039325
1739209891.405058;-38.13080360867914
1739209891.4050767;-38.13080360867914
1739209891.4050956;-35.57807855764607
1739209891.4051144;-33.981070128970906
1739209891.4051332;-35.57807855764607
1739209891.405152;-30.49652367304973
1739209891.405171;-38.13080360867914
1739209891.4051898;-38.13080360867914
1739209891.4052086;-45.120503652039325
1739209891.4052274;-45.120503652039325
1739209891.4052463;-45.120503652039325
1739209891.4052649;-38.13080360867914
1739209891.4052837;-45.120503652039325
1739209891.4053025;-31.141103565318915
1739209891.4053214;-38.13080360867914
1739209891.4053402;-45.120503652039325
1739209891.405359;-45.120503652039325
1739209891.4053779;-38.13080360867914
1739209891.4053967;-38.13080360867914
1739209891.4054155;-38.13080360867914
1739209891.4054344;-45.120503652039325
1739209891.4054532;-45.120503652039325
1739209891.405472;-35.57807855764607
1739209891.4054909;-38.13080360867914
1739209891.4055097;-45.120503652039325
1739209891.4055285;-38.13080360867914
1739209891.4055474;-38.13080360867914
1739209891.4055662;-45.120503652039325
1739209891.405585;-38.13080360867914
1739209891.405604;-35.57807855764607
1739209891.4056227;-33.981070128970906
1739209891.4056416;-38.13080360867914
1739209891.4056604;-45.120503652039325
1739209891.4056792;-45.120503652039325
1739209891.405698;-38.13080360867914
1739209891.4057167;-38.13080360867914
1739209891.4057355;-45.120503652039325
1739209891.4057543;-28.992665084841942
1739209891.4057732;-31.141103565318915
1739209891.405792;-38.13080360867914
1739209891.4058108;-45.120503652039325
1739209891.4058297;-33.981070128970906
1739209891.4058485;-35.57807855764607
1739209891.4058673;-38.13080360867914
1739209891.4058862;-38.13080360867914
1739209891.405905;-38.13080360867914
1739209891.4059238;-38.13080360867914
1739209891.4059427;-38.13080360867914
1739209891.4059615;-45.120503652039325
1739209891.4059803;-38.13080360867914
1739209891.4059992;-33.981070128970906
1739209891.406018;-38.13080360867914
1739209891.4060369;-45.120503652039325
1739209891.4060557;-38.13080360867914
1739209891.4060745;-45.120503652039325
1739209891.4060934;-45.120503652039325
1739209891.4061122;-45.120503652039325
1739209891.406131;-45.120503652039325
1739209891.4061499;-45.120503652039325
1739209891.4061687;-45.120503652039325
1739209891.4061873;-38.13080360867914
1739209891.4062061;-38.13080360867914
1739209891.406225;-33.981070128970906
