CAN Message; 0x77:d5c7924a6a71a47f
Timestamp;Amplitude
1739209638.3404458;-38.13080360867914
1739209638.340449;-38.13080360867914
1739209638.3404524;-38.13080360867914
1739209638.3404558;-45.120503652039325
1739209638.340459;-45.120503652039325
1739209638.3404624;-33.981070128970906
1739209638.3404658;-38.13080360867914
1739209638.3404691;-38.13080360867914
1739209638.3404725;-35.57807855764607
1739209638.3404758;-45.120503652039325
1739209638.340479;-45.120503652039325
1739209638.3404822;-45.120503652039325
1739209638.3404856;-38.13080360867914
1739209638.340489;-38.13080360867914
1739209638.3404922;-45.120503652039325
1739209638.3404956;-45.120503652039325
1739209638.340499;-38.13080360867914
1739209638.3405023;-45.120503652039325
1739209638.3405056;-38.13080360867914
1739209638.340509;-45.120503652039325
1739209638.3405123;-38.13080360867914
1739209638.3405156;-33.981070128970906
1739209638.340519;-38.13080360867914
1739209638.3405223;-45.120503652039325
1739209638.3405256;-38.13080360867914
1739209638.340529;-38.13080360867914
1739209638.3405323;-45.120503652039325
1739209638.3405356;-45.120503652039325
1739209638.340539;-35.57807855764607
1739209638.3405423;-38.13080360867914
1739209638.3405457;-33.981070128970906
1739209638.340549;-33.981070128970906
1739209638.3405523;-45.120503652039325
1739209638.3405557;-45.120503652039325
1739209638.340559;-38.13080360867914
1739209638.3405623;-45.120503652039325
1739209638.3405657;-45.120503652039325
1739209638.340569;-32.816014438256545
1739209638.3405724;-35.57807855764607
1739209638.3405757;-45.120503652039325
1739209638.340579;-33.981070128970906
1739209638.3405824;-45.120503652039325
1739209638.3405857;-45.120503652039325
1739209638.340589;-45.120503652039325
1739209638.3405924;-38.13080360867914
1739209638.3405957;-45.120503652039325
1739209638.340599;-31.141103565318893
1739209638.3406024;-27.8777449560314
1739209638.3406057;-45.120503652039325
1739209638.340609;-45.120503652039325
1739209638.3406124;-38.13080360867914
1739209638.3406157;-38.13080360867914
1739209638.340619;-45.120503652039325
1739209638.3406224;-38.13080360867914
1739209638.3406258;-45.120503652039325
1739209638.340629;-38.13080360867914
1739209638.3406324;-33.981070128970906
1739209638.3406358;-38.13080360867914
1739209638.340639;-45.120503652039325
1739209638.3406425;-45.120503652039325
1739209638.3406458;-38.13080360867914
1739209638.3406491;-38.13080360867914
1739209638.3406525;-30.49652367304973
1739209638.3406558;-32.816014438256545
1739209638.3406591;-45.120503652039325
1739209638.3406625;-38.13080360867914
1739209638.3406658;-35.57807855764607
1739209638.340669;-35.57807855764607
1739209638.3406723;-38.13080360867914
1739209638.3406756;-35.57807855764607
1739209638.340679;-45.120503652039325
1739209638.3406823;-45.120503652039325
1739209638.3406856;-38.13080360867914
1739209638.340689;-45.120503652039325
1739209638.3406923;-45.120503652039325
1739209638.3406956;-45.120503652039325
1739209638.340699;-38.13080360867914
1739209638.3407023;-35.57807855764607
1739209638.3407056;-45.120503652039325
1739209638.340709;-45.120503652039325
1739209638.3407123;-38.13080360867914
1739209638.3407156;-35.57807855764607
1739209638.340719;-45.120503652039325
1739209638.3407223;-45.120503652039325
1739209638.3407257;-38.13080360867914
1739209638.340729;-35.57807855764607
1739209638.3407323;-38.13080360867914
1739209638.3407357;-29.438486411369333
1739209638.340739;-33.981070128970906
1739209638.3407423;-45.120503652039325
1739209638.3407457;-38.13080360867914
1739209638.340749;-29.438486411369333
1739209638.3407524;-45.120503652039325
1739209638.3407557;-45.120503652039325
1739209638.340759;-45.120503652039325
1739209638.3407624;-32.81601443825658
1739209638.3407657;-38.13080360867914
1739209638.340769;-33.981070128970906
1739209638.3407724;-38.13080360867914
1739209638.3407757;-45.120503652039325
1739209638.340779;-38.13080360867914
1739209638.3407824;-45.120503652039325
1739209638.3407857;-45.120503652039325
1739209638.340789;-26.487275050834715
1739209638.3407924;-38.13080360867914
1739209638.3407958;-45.120503652039325
1739209638.340799;-38.13080360867914
1739209638.3408024;-38.13080360867914
1739209638.3408058;-38.13080360867914
1739209638.340809;-35.57807855764607
1739209638.3408124;-38.13080360867914
1739209638.3408158;-45.120503652039325
1739209638.3408191;-38.13080360867914
1739209638.3408225;-45.120503652039325
1739209638.3408258;-45.120503652039325
1739209638.3408291;-45.120503652039325
1739209638.3408325;-45.120503652039325
1739209638.3408358;-38.13080360867914
1739209638.3408391;-38.13080360867914
1739209638.3408425;-38.13080360867914
1739209638.3408458;-35.57807855764607
1739209638.3408492;-38.13080360867914
1739209638.3408525;-45.120503652039325
1739209638.3408556;-45.120503652039325
1739209638.340859;-45.120503652039325
1739209638.3408623;-45.120503652039325
1739209638.3408656;-45.120503652039325
1739209638.340869;-35.57807855764607
1739209638.3408723;-38.13080360867914
1739209638.3408756;-45.120503652039325
1739209638.340879;-38.13080360867914
1739209638.3408823;-45.120503652039325
1739209638.3408856;-38.13080360867914
1739209638.340889;-38.13080360867914
1739209638.3408923;-38.13080360867914
1739209638.3408957;-45.120503652039325
1739209638.340899;-38.13080360867914
1739209638.3409023;-35.57807855764607
1739209638.3409057;-45.120503652039325
1739209638.340909;-45.120503652039325
1739209638.3409123;-33.981070128970906
1739209638.3409157;-38.13080360867914
1739209638.340919;-45.120503652039325
1739209638.3409224;-33.981070128970906
1739209638.3409257;-35.57807855764607
1739209638.340929;-38.13080360867914
1739209638.3409324;-38.13080360867914
1739209638.3409357;-33.981070128970906
1739209638.340939;-33.981070128970906
1739209638.3409424;-38.13080360867914
1739209638.3409457;-38.13080360867914
1739209638.340949;-45.120503652039325
1739209638.3409524;-45.120503652039325
1739209638.3409557;-45.120503652039325
1739209638.340959;-45.120503652039325
1739209638.3409624;-45.120503652039325
1739209638.3409657;-38.13080360867914
1739209638.340969;-38.13080360867914
1739209638.3409724;-38.13080360867914
1739209638.3409758;-35.57807855764607
1739209638.340979;-35.57807855764607
1739209638.3409824;-45.120503652039325
1739209638.3409858;-45.120503652039325
1739209638.340989;-38.13080360867914
1739209638.3409925;-33.981070128970906
1739209638.3409958;-45.120503652039325
1739209638.3409991;-38.13080360867914
1739209638.3410025;-45.120503652039325
1739209638.3410058;-38.13080360867914
1739209638.3410091;-35.57807855764607
1739209638.3410125;-45.120503652039325
1739209638.3410158;-38.13080360867914
1739209638.3410192;-45.120503652039325
1739209638.3410225;-45.120503652039325
1739209638.3410258;-45.120503652039325
1739209638.3410292;-33.981070128970906
1739209638.3410325;-45.120503652039325
1739209638.3410358;-45.120503652039325
1739209638.3410392;-38.13080360867914
1739209638.3410425;-38.13080360867914
1739209638.3410456;-45.120503652039325
1739209638.341049;-45.120503652039325
1739209638.3410523;-45.120503652039325
1739209638.3410556;-45.120503652039325
1739209638.341059;-38.13080360867914
1739209638.3410623;-30.49652367304973
1739209638.3410656;-38.13080360867914
1739209638.341069;-38.13080360867914
1739209638.3410723;-33.981070128970906
