CAN Message; 0x1d3:0000bde621f95d2b
Timestamp;Amplitude
1739209918.7464986;-45.120503652039325
1739209918.746503;-32.816014438256545
1739209918.7465074;-38.13080360867914
1739209918.746512;-45.120503652039325
1739209918.7465162;-45.120503652039325
1739209918.7465208;-38.13080360867914
1739209918.746525;-38.13080360867914
1739209918.7465296;-45.120503652039325
1739209918.7465339;-45.120503652039325
1739209918.7465382;-45.120503652039325
1739209918.7465427;-38.13080360867914
1739209918.746547;-45.120503652039325
1739209918.7465515;-38.13080360867914
1739209918.7465558;-38.13080360867914
1739209918.7465603;-38.13080360867914
1739209918.7465646;-45.120503652039325
1739209918.7465692;-38.13080360867914
1739209918.7465734;-33.981070128970906
1739209918.7465777;-38.13080360867914
1739209918.7465823;-38.13080360867914
1739209918.7465866;-38.13080360867914
1739209918.746591;-29.438486411369333
1739209918.7465954;-35.57807855764607
1739209918.7466;-45.120503652039325
1739209918.7466042;-45.120503652039325
1739209918.7466087;-38.13080360867914
1739209918.746613;-38.13080360867914
1739209918.7466173;-38.13080360867914
1739209918.7466218;-45.120503652039325
1739209918.7466261;-33.981070128970956
1739209918.7466307;-45.120503652039325
1739209918.746635;-45.120503652039325
1739209918.7466395;-45.120503652039325
1739209918.7466438;-45.120503652039325
1739209918.7466483;-45.120503652039325
1739209918.7466526;-38.13080360867914
1739209918.746657;-38.13080360867914
1739209918.7466614;-30.49652367304973
1739209918.7466657;-38.13080360867914
1739209918.7466702;-45.120503652039325
1739209918.7466745;-38.13080360867914
1739209918.746679;-45.120503652039325
1739209918.7466834;-38.13080360867914
1739209918.746688;-33.981070128970906
1739209918.7466922;-45.120503652039325
1739209918.7466965;-31.141103565318893
1739209918.746701;-38.13080360867914
1739209918.7467053;-45.120503652039325
1739209918.7467098;-45.120503652039325
1739209918.746714;-38.13080360867914
1739209918.7467186;-45.120503652039325
1739209918.746723;-45.120503652039325
1739209918.7467275;-45.120503652039325
1739209918.7467318;-32.81601443825658
1739209918.746736;-45.120503652039325
1739209918.7467406;-38.13080360867914
1739209918.7467449;-45.120503652039325
1739209918.7467494;-45.120503652039325
1739209918.7467537;-38.13080360867914
1739209918.7467582;-38.13080360867914
1739209918.7467625;-38.13080360867914
1739209918.746767;-31.141103565318893
1739209918.7467713;-35.57807855764607
1739209918.7467756;-38.13080360867914
1739209918.7467802;-38.13080360867914
1739209918.7467844;-45.120503652039325
1739209918.746789;-45.120503652039325
1739209918.7467933;-45.120503652039325
1739209918.7467978;-45.120503652039325
1739209918.746802;-45.120503652039325
1739209918.7468066;-45.120503652039325
1739209918.746811;-45.120503652039325
1739209918.7468154;-45.120503652039325
1739209918.7468197;-33.981070128970906
1739209918.746824;-38.13080360867914
1739209918.7468286;-38.13080360867914
1739209918.7468328;-38.13080360867914
1739209918.7468374;-45.120503652039325
1739209918.7468417;-45.120503652039325
1739209918.7468462;-38.13080360867914
1739209918.7468505;-38.13080360867914
1739209918.746855;-45.120503652039325
1739209918.7468593;-38.13080360867914
1739209918.7468636;-35.57807855764607
1739209918.7468681;-38.13080360867914
1739209918.7468724;-45.120503652039325
1739209918.746877;-38.13080360867914
1739209918.7468812;-38.13080360867914
1739209918.7468858;-45.120503652039325
1739209918.74689;-45.120503652039325
1739209918.7468946;-38.13080360867914
1739209918.746899;-35.57807855764607
1739209918.7469032;-38.13080360867914
1739209918.7469077;-45.120503652039325
1739209918.746912;-45.120503652039325
1739209918.7469165;-45.120503652039325
1739209918.7469208;-45.120503652039325
1739209918.7469254;-45.120503652039325
1739209918.7469296;-38.13080360867914
1739209918.7469342;-35.57807855764607
1739209918.7469385;-38.13080360867914
1739209918.7469428;-45.120503652039325
1739209918.7469473;-45.120503652039325
1739209918.7469516;-35.57807855764607
1739209918.746956;-38.13080360867914
1739209918.7469604;-38.13080360867914
1739209918.746965;-45.120503652039325
1739209918.7469692;-38.13080360867914
1739209918.7469738;-38.13080360867914
1739209918.746978;-45.120503652039325
1739209918.7469823;-33.981070128970906
1739209918.7469869;-38.13080360867914
1739209918.7469912;-45.120503652039325
1739209918.7469957;-45.120503652039325
1739209918.747;-38.13080360867914
1739209918.7470045;-38.13080360867914
1739209918.7470088;-33.981070128970906
1739209918.7470133;-45.120503652039325
1739209918.7470176;-38.13080360867914
1739209918.747022;-35.57807855764607
1739209918.7470264;-45.120503652039325
1739209918.7470307;-45.120503652039325
1739209918.7470353;-45.120503652039325
1739209918.7470396;-35.57807855764607
1739209918.747044;-38.13080360867914
1739209918.7470484;-38.13080360867914
1739209918.747053;-45.120503652039325
1739209918.7470572;-38.13080360867914
