CAN Message; 0x24:09476bec35f51d1d
Timestamp;Amplitude
1739209814.8024163;-32.816014438256545
1739209814.802429;-38.13080360867914
1739209814.8024414;-38.13080360867914
1739209814.8024538;-45.120503652039325
1739209814.8024664;-33.981070128970906
1739209814.8024788;-45.120503652039325
1739209814.8024912;-45.120503652039325
1739209814.8025038;-45.120503652039325
1739209814.8025162;-45.120503652039325
1739209814.8025286;-45.120503652039325
1739209814.8025413;-45.120503652039325
1739209814.8025537;-33.981070128970906
1739209814.802566;-45.120503652039325
1739209814.8025787;-38.13080360867914
1739209814.802591;-38.13080360867914
1739209814.8026035;-38.13080360867914
1739209814.8026161;-38.13080360867914
1739209814.8026285;-45.120503652039325
1739209814.802641;-45.120503652039325
1739209814.8026536;-35.57807855764607
1739209814.802666;-35.57807855764607
1739209814.8026783;-38.13080360867914
1739209814.802691;-38.13080360867914
1739209814.8027034;-45.120503652039325
1739209814.8027158;-32.816014438256545
1739209814.8027284;-38.13080360867914
1739209814.8027408;-33.981070128970906
1739209814.8027532;-45.120503652039325
1739209814.8027658;-45.120503652039325
1739209814.8027782;-38.13080360867914
1739209814.8027906;-45.120503652039325
1739209814.8028033;-45.120503652039325
1739209814.8028157;-38.13080360867914
1739209814.802828;-45.120503652039325
1739209814.8028407;-38.13080360867914
1739209814.802853;-38.13080360867914
1739209814.8028655;-45.120503652039325
1739209814.8028781;-38.13080360867914
1739209814.8028905;-45.120503652039325
1739209814.802903;-38.13080360867914
1739209814.8029156;-26.991370085610722
1739209814.802928;-35.57807855764607
1739209814.8029404;-35.57807855764607
1739209814.802953;-45.120503652039325
1739209814.8029654;-33.981070128970906
1739209814.8029778;-45.120503652039325
1739209814.8029904;-45.120503652039325
1739209814.8030028;-45.120503652039325
1739209814.8030155;-45.120503652039325
1739209814.8030279;-45.120503652039325
1739209814.8030403;-45.120503652039325
1739209814.803053;-38.13080360867914
1739209814.8030653;-45.120503652039325
1739209814.8030777;-45.120503652039325
1739209814.8030903;-38.13080360867914
1739209814.8031027;-38.13080360867914
1739209814.8031151;-31.141103565318915
1739209814.8031278;-45.120503652039325
1739209814.8031402;-38.13080360867914
1739209814.8031526;-35.57807855764607
1739209814.8031652;-33.981070128970906
1739209814.8031776;-45.120503652039325
1739209814.80319;-45.120503652039325
1739209814.8032026;-35.57807855764607
1739209814.803215;-31.141103565318915
1739209814.8032274;-38.13080360867914
1739209814.80324;-38.13080360867914
1739209814.8032525;-38.13080360867914
1739209814.8032649;-38.13080360867914
1739209814.8032775;-45.120503652039325
1739209814.80329;-45.120503652039325
1739209814.8033023;-38.13080360867914
1739209814.803315;-33.981070128970906
1739209814.8033273;-38.13080360867914
1739209814.8033397;-45.120503652039325
1739209814.8033524;-33.981070128970906
1739209814.8033648;-38.13080360867914
1739209814.8033772;-45.120503652039325
1739209814.8033898;-38.13080360867914
1739209814.8034022;-33.981070128970906
1739209814.8034146;-27.267205301931607
1739209814.8034272;-38.13080360867914
1739209814.8034396;-38.13080360867914
1739209814.803452;-38.13080360867914
1739209814.8034647;-38.13080360867914
1739209814.803477;-32.816014438256545
1739209814.8034894;-38.13080360867914
1739209814.803502;-45.120503652039325
1739209814.8035145;-30.49652367304973
1739209814.8035269;-31.141103565318915
1739209814.8035395;-38.13080360867914
1739209814.803552;-45.120503652039325
1739209814.8035643;-45.120503652039325
1739209814.803577;-38.13080360867914
1739209814.8035893;-38.13080360867914
1739209814.8036017;-45.120503652039325
1739209814.8036144;-45.120503652039325
1739209814.8036268;-38.13080360867914
1739209814.8036392;-45.120503652039325
1739209814.8036518;-45.120503652039325
1739209814.8036642;-38.13080360867914
1739209814.8036766;-45.120503652039325
1739209814.8036892;-33.981070128970906
1739209814.8037016;-38.13080360867914
1739209814.803714;-33.981070128970906
1739209814.8037267;-32.816014438256545
1739209814.803739;-33.981070128970906
1739209814.8037515;-45.120503652039325
1739209814.803764;-38.13080360867914
1739209814.8037765;-38.13080360867914
1739209814.803789;-38.13080360867914
1739209814.8038015;-45.120503652039325
1739209814.803814;-33.981070128970906
1739209814.8038263;-45.120503652039325
1739209814.803839;-45.120503652039325
1739209814.8038514;-45.120503652039325
1739209814.8038638;-38.13080360867914
1739209814.8038764;-45.120503652039325
1739209814.8038888;-35.57807855764607
1739209814.8039012;-45.120503652039325
1739209814.8039138;-38.13080360867914
1739209814.8039262;-38.13080360867914
1739209814.8039386;-38.13080360867914
1739209814.8039513;-45.120503652039325
1739209814.8039637;-45.120503652039325
1739209814.803976;-38.13080360867914
1739209814.8039887;-38.13080360867914
1739209814.804001;-38.13080360867914
1739209814.8040135;-38.13080360867914
1739209814.8040261;-45.120503652039325
1739209814.8040385;-45.120503652039325
1739209814.804051;-32.816014438256545
1739209814.8040636;-31.141103565318893
1739209814.804076;-45.120503652039325
1739209814.8040884;-38.13080360867914
1739209814.804101;-45.120503652039325
1739209814.8041134;-45.120503652039325
1739209814.8041258;-45.120503652039325
1739209814.8041384;-45.120503652039325
1739209814.8041508;-45.120503652039325
1739209814.8041635;-33.981070128970906
1739209814.8041759;-45.120503652039325
1739209814.8041883;-45.120503652039325
1739209814.804201;-38.13080360867914
1739209814.8042133;-45.120503652039325
1739209814.8042257;-35.57807855764607
1739209814.8042383;-38.13080360867914
1739209814.8042507;-45.120503652039325
1739209814.804263;-38.13080360867914
1739209814.8042758;-45.120503652039325
1739209814.8042881;-45.120503652039325
1739209814.8043005;-45.120503652039325
1739209814.8043132;-33.981070128970906
1739209814.8043256;-45.120503652039325
1739209814.804338;-45.120503652039325
1739209814.8043506;-45.120503652039325
1739209814.804363;-35.57807855764607
1739209814.8043754;-45.120503652039325
1739209814.804388;-45.120503652039325
1739209814.8044004;-33.981070128970906
1739209814.8044128;-45.120503652039325
1739209814.8044255;-35.57807855764607
1739209814.8044379;-35.57807855764607
1739209814.8044503;-45.120503652039325
1739209814.804463;-38.13080360867914
1739209814.8044753;-32.816014438256545
1739209814.8044877;-35.57807855764607
1739209814.8045003;-45.120503652039325
1739209814.8045127;-38.13080360867914
1739209814.8045251;-38.13080360867914
1739209814.8045378;-45.120503652039325
1739209814.8045502;-38.13080360867914
1739209814.8045626;-38.13080360867914
1739209814.8045752;-45.120503652039325
1739209814.8045876;-38.13080360867914
1739209814.8046;-45.120503652039325
1739209814.8046126;-38.13080360867914
1739209814.804625;-38.13080360867914
1739209814.8046374;-38.13080360867914
1739209814.80465;-38.13080360867914
1739209814.8046625;-45.120503652039325
1739209814.8046749;-35.57807855764607
1739209814.8046875;-35.57807855764607
1739209814.8047;-45.120503652039325
1739209814.8047123;-45.120503652039325
1739209814.804725;-35.57807855764607
1739209814.8047373;-30.49652367304973
1739209814.8047497;-45.120503652039325
1739209814.8047624;-45.120503652039325
1739209814.8047748;-45.120503652039325
1739209814.8047872;-33.981070128970906
1739209814.8047998;-45.120503652039325
1739209814.8048122;-33.981070128970906
1739209814.8048246;-45.120503652039325
1739209814.8048372;-45.120503652039325
1739209814.8048496;-45.120503652039325
1739209814.804862;-45.120503652039325
1739209814.8048747;-45.120503652039325
1739209814.804887;-38.13080360867914
1739209814.8048995;-45.120503652039325
1739209814.804912;-45.120503652039325
1739209814.8049245;-28.21854285175415
1739209814.804937;-27.8777449560314
1739209814.8049495;-45.120503652039325
1739209814.804962;-45.120503652039325
1739209814.8049743;-38.13080360867914
1739209814.804987;-38.13080360867914
1739209814.8049994;-45.120503652039325
1739209814.8050117;-33.981070128970906
1739209814.8050244;-45.120503652039325
1739209814.8050368;-38.13080360867914
1739209814.8050492;-45.120503652039325
1739209814.8050618;-45.120503652039325
1739209814.815182;-33.981070128970906
1739209814.8151824;-45.120503652039325
1739209814.815183;-38.13080360867914
1739209814.8151834;-38.13080360867914
1739209814.8151839;-45.120503652039325
1739209814.8151844;-45.120503652039325
1739209814.8151848;-38.13080360867914
1739209814.8151853;-38.13080360867914
1739209814.8151858;-45.120503652039325
1739209814.8151863;-45.120503652039325
1739209814.8151867;-38.13080360867914
1739209814.8151872;-38.13080360867914
1739209814.8151877;-32.816014438256545
1739209814.8151882;-38.13080360867914
1739209814.8151886;-45.120503652039325
1739209814.8151891;-35.57807855764607
1739209814.8151896;-38.13080360867914
1739209814.81519;-45.120503652039325
1739209814.8151906;-45.120503652039325
1739209814.815191;-38.13080360867914
1739209814.8151915;-45.120503652039325
1739209814.815192;-45.120503652039325
1739209814.8151925;-38.13080360867914
1739209814.8151927;-35.57807855764607
1739209814.8151932;-31.141103565318915
1739209814.8151937;-35.57807855764607
1739209814.8151941;-38.13080360867914
1739209814.8151946;-35.57807855764607
1739209814.815195;-32.816014438256545
1739209814.8151956;-38.13080360867914
1739209814.815196;-45.120503652039325
1739209814.8151965;-38.13080360867914
1739209814.815197;-38.13080360867914
1739209814.8151975;-45.120503652039325
1739209814.815198;-33.981070128970906
1739209814.8151984;-38.13080360867914
1739209814.815199;-38.13080360867914
1739209814.8151994;-45.120503652039325
1739209814.8151999;-38.13080360867914
1739209814.8152003;-38.13080360867914
1739209814.8152008;-45.120503652039325
1739209814.8152013;-38.13080360867914
1739209814.8152018;-38.13080360867914
1739209814.8152022;-45.120503652039325
1739209814.8152027;-38.13080360867914
1739209814.8152032;-38.13080360867914
1739209814.8152037;-38.13080360867914
1739209814.8152041;-38.13080360867914
1739209814.8152046;-38.13080360867914
1739209814.815205;-38.13080360867914
