CAN Message; 0x77:864ad692d82cce16
Timestamp;Amplitude
1739209659.8379781;-38.13080360867914
1739209659.837984;-38.13080360867914
1739209659.8379903;-38.13080360867914
1739209659.8379962;-45.120503652039325
1739209659.8380024;-33.981070128970906
1739209659.8380084;-38.13080360867914
1739209659.8380146;-45.120503652039325
1739209659.8380206;-45.120503652039325
1739209659.8380268;-38.13080360867914
1739209659.8380327;-38.13080360867914
1739209659.838039;-38.13080360867914
1739209659.838045;-38.13080360867914
1739209659.838051;-38.13080360867914
1739209659.838057;-38.13080360867914
1739209659.8380632;-38.13080360867914
1739209659.8380692;-45.120503652039325
1739209659.8380754;-38.13080360867914
1739209659.8380814;-38.13080360867914
1739209659.8380876;-38.13080360867914
1739209659.8380938;-45.120503652039325
1739209659.8380997;-45.120503652039325
1739209659.838106;-38.13080360867914
1739209659.8381119;-38.13080360867914
1739209659.838118;-38.13080360867914
1739209659.838124;-38.13080360867914
1739209659.8381302;-32.816014438256545
1739209659.8381362;-35.57807855764607
1739209659.8381424;-38.13080360867914
1739209659.8381484;-38.13080360867914
1739209659.8381546;-35.57807855764607
1739209659.8381605;-35.57807855764607
1739209659.8381667;-45.120503652039325
1739209659.8381727;-45.120503652039325
1739209659.8381789;-38.13080360867914
1739209659.8381848;-38.13080360867914
1739209659.838191;-38.13080360867914
1739209659.838197;-45.120503652039325
1739209659.8382032;-45.120503652039325
1739209659.8382092;-45.120503652039325
1739209659.8382154;-45.120503652039325
1739209659.8382215;-33.981070128970906
1739209659.8382275;-45.120503652039325
1739209659.8382337;-45.120503652039325
1739209659.8382397;-45.120503652039325
1739209659.8382459;-38.13080360867914
1739209659.8382518;-33.981070128970906
1739209659.838258;-38.13080360867914
1739209659.838264;-35.57807855764607
1739209659.8382702;-38.13080360867914
1739209659.8382761;-45.120503652039325
1739209659.8382823;-45.120503652039325
1739209659.8382883;-45.120503652039325
1739209659.8382945;-38.13080360867914
1739209659.8383005;-31.141103565318915
1739209659.8383067;-38.13080360867914
1739209659.8383126;-38.13080360867914
1739209659.8383188;-38.13080360867914
1739209659.8383248;-45.120503652039325
1739209659.838331;-45.120503652039325
1739209659.8383372;-45.120503652039325
1739209659.8383431;-38.13080360867914
1739209659.8383493;-29.438486411369347
1739209659.8383553;-45.120503652039325
1739209659.8383615;-45.120503652039325
1739209659.8383675;-45.120503652039325
1739209659.8383737;-45.120503652039325
1739209659.8383796;-38.13080360867914
1739209659.8383858;-38.13080360867914
1739209659.8383918;-38.13080360867914
1739209659.838398;-28.992665084841942
1739209659.838404;-45.120503652039325
1739209659.8384101;-45.120503652039325
1739209659.838416;-45.120503652039325
1739209659.8384223;-45.120503652039325
1739209659.8384283;-45.120503652039325
1739209659.8384345;-38.13080360867914
1739209659.8384404;-38.13080360867914
1739209659.8384466;-31.14110356531892
1739209659.8384528;-45.120503652039325
1739209659.8384588;-38.13080360867914
1739209659.838465;-38.13080360867914
1739209659.838471;-38.13080360867914
1739209659.8384771;-38.13080360867914
1739209659.838483;-38.13080360867914
1739209659.8384893;-38.13080360867914
1739209659.8384953;-27.267205301931607
1739209659.8385015;-45.120503652039325
1739209659.8385074;-38.13080360867914
1739209659.8385136;-35.57807855764607
1739209659.8385196;-45.120503652039325
1739209659.8385258;-45.120503652039325
1739209659.8385317;-33.981070128970906
1739209659.838538;-33.981070128970906
1739209659.838544;-30.49652367304976
1739209659.83855;-45.120503652039325
1739209659.838556;-38.13080360867914
1739209659.8385623;-45.120503652039325
1739209659.8385682;-45.120503652039325
1739209659.8385744;-45.120503652039325
1739209659.8385806;-45.120503652039325
1739209659.8385866;-38.13080360867914
1739209659.8385928;-28.58837851428586
1739209659.8385987;-38.13080360867914
1739209659.838605;-45.120503652039325
1739209659.838611;-38.13080360867914
1739209659.838617;-35.57807855764607
1739209659.838623;-38.13080360867914
1739209659.8386292;-38.13080360867914
1739209659.8386352;-38.13080360867914
1739209659.8386414;-38.13080360867914
1739209659.8386474;-45.120503652039325
1739209659.8386536;-45.120503652039325
1739209659.8386595;-38.13080360867914
1739209659.8386657;-38.13080360867914
