CAN Message; 0x150:0700f6bce5ff5126
Timestamp;Amplitude
1739209628.0666344;-38.13080360867914
1739209628.0666378;-38.13080360867914
1739209628.066641;-38.13080360867914
1739209628.0666447;-45.120503652039325
1739209628.066648;-45.120503652039325
1739209628.0666513;-45.120503652039325
1739209628.0666547;-45.120503652039325
1739209628.066658;-45.120503652039325
1739209628.0666614;-45.120503652039325
1739209628.0666647;-45.120503652039325
1739209628.066668;-45.120503652039325
1739209628.0666716;-38.13080360867914
1739209628.066675;-45.120503652039325
1739209628.0666783;-45.120503652039325
1739209628.0666816;-38.13080360867914
1739209628.066685;-45.120503652039325
1739209628.0666883;-45.120503652039325
1739209628.0666916;-45.120503652039325
1739209628.066695;-45.120503652039325
1739209628.0666986;-45.120503652039325
1739209628.066702;-38.13080360867914
1739209628.0667052;-38.13080360867914
1739209628.0667086;-38.13080360867914
1739209628.066712;-38.13080360867914
1739209628.0667152;-38.13080360867914
1739209628.0667186;-45.120503652039325
1739209628.0667222;-38.13080360867914
1739209628.0667255;-38.13080360867914
1739209628.0667288;-38.13080360867914
1739209628.0667322;-33.981070128970906
1739209628.0667355;-33.981070128970906
1739209628.0667388;-38.13080360867914
1739209628.0667422;-38.13080360867914
1739209628.0667455;-45.120503652039325
1739209628.066749;-45.120503652039325
1739209628.0667524;-38.13080360867914
1739209628.0667558;-38.13080360867914
1739209628.066759;-45.120503652039325
1739209628.0667624;-35.57807855764607
1739209628.0667658;-35.57807855764607
1739209628.0667691;-38.13080360867914
1739209628.0667725;-45.120503652039325
1739209628.066776;-38.13080360867914
1739209628.0667794;-45.120503652039325
1739209628.0667827;-45.120503652039325
1739209628.066786;-45.120503652039325
1739209628.0667894;-45.120503652039325
1739209628.0667927;-45.120503652039325
1739209628.066796;-31.141103565318915
1739209628.0667996;-38.13080360867914
1739209628.066803;-45.120503652039325
1739209628.0668063;-45.120503652039325
1739209628.0668097;-35.57807855764607
1739209628.066813;-35.57807855764607
1739209628.0668163;-45.120503652039325
1739209628.0668197;-38.13080360867914
1739209628.066823;-45.120503652039325
1739209628.0668266;-45.120503652039325
1739209628.06683;-38.13080360867914
1739209628.0668333;-45.120503652039325
1739209628.0668366;-45.120503652039325
1739209628.06684;-35.57807855764607
1739209628.0668433;-38.13080360867914
1739209628.0668466;-45.120503652039325
