CAN Message; 0x77:ac0dfa700076178d
Timestamp;Amplitude
1739209769.5394344;-38.13080360867914
1739209769.539438;-45.120503652039325
1739209769.5394413;-45.120503652039325
1739209769.5394447;-32.816014438256545
1739209769.539448;-45.120503652039325
1739209769.5394516;-45.120503652039325
1739209769.539455;-45.120503652039325
1739209769.5394583;-45.120503652039325
1739209769.5394616;-45.120503652039325
1739209769.5394652;-32.816014438256545
1739209769.5394685;-45.120503652039325
1739209769.5394719;-45.120503652039325
1739209769.5394754;-38.13080360867914
1739209769.5394788;-45.120503652039325
1739209769.539482;-45.120503652039325
1739209769.5394855;-45.120503652039325
1739209769.539489;-45.120503652039325
1739209769.5394924;-45.120503652039325
1739209769.5394957;-38.13080360867914
1739209769.539499;-45.120503652039325
1739209769.5395026;-45.120503652039325
1739209769.539506;-32.816014438256545
1739209769.5395093;-38.13080360867914
1739209769.5395129;-45.120503652039325
1739209769.5395162;-45.120503652039325
1739209769.5395195;-38.13080360867914
1739209769.539523;-45.120503652039325
1739209769.5395265;-45.120503652039325
1739209769.5395298;-38.13080360867914
1739209769.5395331;-38.13080360867914
1739209769.5395365;-38.13080360867914
1739209769.53954;-38.13080360867914
1739209769.5395434;-38.13080360867914
1739209769.5395467;-45.120503652039325
1739209769.5395503;-35.57807855764607
1739209769.5395536;-35.57807855764607
1739209769.539557;-38.13080360867914
1739209769.5395603;-38.13080360867914
1739209769.539564;-38.13080360867914
1739209769.5395672;-38.13080360867914
1739209769.5395706;-45.120503652039325
1739209769.539574;-45.120503652039325
1739209769.5395775;-38.13080360867914
1739209769.5395808;-38.13080360867914
1739209769.5395842;-38.13080360867914
1739209769.5395877;-38.13080360867914
1739209769.539591;-33.981070128970906
1739209769.5395944;-38.13080360867914
1739209769.5395977;-38.13080360867914
1739209769.5396013;-38.13080360867914
1739209769.5396047;-38.13080360867914
1739209769.539608;-45.120503652039325
1739209769.5396113;-45.120503652039325
1739209769.539615;-38.13080360867914
1739209769.5396183;-38.13080360867914
