CAN Message; 0x98:0000464745118afd
Timestamp;Amplitude
1739209876.9625204;-31.141103565318915
1739209876.962525;-45.120503652039325
1739209876.9625292;-32.816014438256545
1739209876.9625337;-38.13080360867914
1739209876.962538;-38.13080360867914
1739209876.9625425;-38.13080360867914
1739209876.9625468;-38.13080360867914
1739209876.9625514;-33.981070128970956
1739209876.9625556;-38.13080360867914
1739209876.9625602;-30.49652367304976
1739209876.9625645;-33.981070128970906
1739209876.962569;-33.981070128970956
1739209876.9625733;-28.992665084841967
1739209876.9625778;-27.267205301931607
1739209876.962582;-31.141103565318915
1739209876.9625866;-26.035653463252796
1739209876.962591;-45.120503652039325
1739209876.9625955;-32.816014438256545
1739209876.9625998;-29.438486411369347
1739209876.9626043;-33.981070128970956
1739209876.9626086;-27.267205301931607
1739209876.962613;-26.991370085610736
1739209876.9626174;-45.120503652039325
1739209876.962622;-45.120503652039325
1739209876.9626262;-27.877744956031417
1739209876.9626307;-26.991370085610736
1739209876.962635;-45.120503652039325
1739209876.9626396;-45.120503652039325
1739209876.9626439;-35.57807855764607
1739209876.9626484;-38.13080360867914
1739209876.9626527;-28.992665084841942
1739209876.9626572;-27.267205301931607
1739209876.9626615;-38.13080360867914
1739209876.962666;-32.816014438256545
1739209876.9626703;-33.981070128970906
1739209876.9626749;-33.981070128970956
1739209876.9626791;-28.992665084841942
1739209876.9626837;-30.49652367304973
1739209876.962688;-32.816014438256545
1739209876.9626925;-29.438486411369333
1739209876.9626968;-38.13080360867914
1739209876.9627013;-26.991370085610747
1739209876.9627056;-20.954098578656478
1739209876.9627101;-27.877744956031414
1739209876.9627144;-45.120503652039325
1739209876.962719;-35.57807855764607
1739209876.9627233;-25.826314394896357
1739209876.9627278;-33.981070128970956
1739209876.962732;-32.81601443825658
1739209876.9627366;-25.252786309376837
1739209876.962741;-35.57807855764607
1739209876.9627454;-38.13080360867914
1739209876.9627497;-26.991370085610722
1739209876.9627542;-28.58837851428586
1739209876.9627585;-45.120503652039325
1739209876.962763;-45.120503652039325
1739209876.9627674;-32.81601443825658
1739209876.962772;-30.49652367304973
1739209876.9627762;-33.981070128970906
1739209876.9627807;-45.120503652039325
1739209876.962785;-33.981070128970906
1739209876.9627895;-38.13080360867914
1739209876.9627938;-38.13080360867914
1739209876.9627984;-45.120503652039325
1739209876.9628026;-33.981070128970956
1739209876.9628072;-26.487275050834715
1739209876.9628115;-28.21854285175415
1739209876.962816;-38.13080360867914
1739209876.9628203;-25.62660358559016
1739209876.9628248;-28.218542851754165
1739209876.962829;-45.120503652039325
1739209876.9628336;-38.13080360867914
1739209876.962838;-31.141103565318893
1739209876.9628425;-30.49652367304973
1739209876.9628468;-38.13080360867914
1739209876.9628513;-35.57807855764607
1739209876.9628556;-33.981070128970906
1739209876.96286;-33.981070128970906
1739209876.9628644;-33.981070128970906
1739209876.962869;-38.13080360867914
1739209876.9628732;-33.981070128970906
1739209876.9628778;-24.15140352195872
1739209876.962882;-31.141103565318893
1739209876.9628866;-38.13080360867914
1739209876.9628909;-29.438486411369333
1739209876.9628954;-29.438486411369333
1739209876.9628997;-32.816014438256545
1739209876.9629042;-28.992665084841942
1739209876.9629085;-45.120503652039325
1739209876.962913;-24.292649948874775
1739209876.9629173;-29.438486411369354
1739209876.9629219;-45.120503652039325
1739209876.9629261;-38.13080360867914
1739209876.9629307;-26.991370085610722
1739209876.962935;-28.992665084841942
1739209876.9629395;-33.981070128970906
1739209876.9629438;-28.992665084841942
1739209876.9629483;-32.81601443825658
1739209876.9629526;-30.49652367304973
1739209876.9629571;-32.816014438256545
1739209876.9629614;-31.141103565318915
1739209876.962966;-35.57807855764607
1739209876.9629703;-35.57807855764607
1739209876.9629748;-45.120503652039325
1739209876.962979;-38.13080360867914
1739209876.9629836;-28.992665084841942
1739209876.962988;-26.991370085610736
1739209876.9629924;-29.438486411369354
1739209876.9629967;-33.981070128970906
1739209876.9630013;-25.252786309376837
1739209876.9630055;-38.13080360867914
1739209876.96301;-28.58837851428586
1739209876.9630144;-45.120503652039325
1739209876.963019;-33.981070128970906
1739209876.9630232;-38.13080360867914
1739209876.9630277;-28.58837851428586
1739209876.963032;-33.981070128970906
1739209876.9630365;-31.141103565318915
1739209876.9630408;-33.981070128970906
1739209876.9630454;-45.120503652039325
1739209876.9630497;-38.13080360867914
1739209876.9630542;-33.981070128970906
1739209876.9630585;-32.816014438256545
1739209876.963063;-28.21854285175415
1739209876.9630673;-33.981070128970906
1739209876.9630718;-45.120503652039325
1739209876.963076;-45.120503652039325
1739209876.9630806;-45.120503652039325
1739209876.963085;-33.981070128970906
1739209876.9630895;-27.8777449560314
1739209876.9630938;-32.816014438256545
1739209876.9630983;-38.13080360867914
1739209876.9631026;-27.267205301931607
1739209876.963107;-33.981070128970956
1739209876.9631114;-32.816014438256545
1739209876.963116;-33.981070128970906
1739209876.9631202;-30.49652367304973
1739209876.9631248;-26.487275050834715
1739209876.963129;-32.816014438256545
1739209876.9631336;-28.588378514285886
1739209876.9631379;-20.888044912671212
1739209876.9631424;-22.44878636800916
1739209876.9631467;-33.981070128970956
1739209876.9631512;-38.13080360867914
1739209876.9631555;-45.120503652039325
1739209876.96316;-38.13080360867914
1739209876.9631643;-45.120503652039325
