CAN Message; 0x77:2fbef35f90c2d339
Timestamp;Amplitude
1739209815.092295;-38.13080360867914
1739209815.0923023;-38.13080360867914
1739209815.0923095;-45.120503652039325
1739209815.0923169;-33.981070128970906
1739209815.0923243;-38.13080360867914
1739209815.0923316;-38.13080360867914
1739209815.0923388;-38.13080360867914
1739209815.0923462;-38.13080360867914
1739209815.0923536;-45.120503652039325
1739209815.092361;-38.13080360867914
1739209815.0923681;-38.13080360867914
1739209815.0923755;-45.120503652039325
1739209815.092383;-45.120503652039325
1739209815.0923903;-38.13080360867914
1739209815.0923975;-35.57807855764607
1739209815.0924048;-38.13080360867914
1739209815.0924122;-45.120503652039325
1739209815.0924196;-38.13080360867914
1739209815.0924268;-35.57807855764607
1739209815.0924342;-38.13080360867914
1739209815.0924416;-45.120503652039325
1739209815.092449;-38.13080360867914
1739209815.092456;-32.816014438256545
1739209815.0924635;-38.13080360867914
1739209815.092471;-45.120503652039325
1739209815.0924783;-38.13080360867914
1739209815.0924854;-38.13080360867914
1739209815.0924928;-45.120503652039325
1739209815.0925002;-45.120503652039325
1739209815.0925076;-38.13080360867914
1739209815.0925148;-38.13080360867914
1739209815.0925221;-38.13080360867914
1739209815.0925295;-45.120503652039325
1739209815.092537;-38.13080360867914
1739209815.092544;-32.816014438256545
1739209815.0925515;-33.981070128970906
1739209815.0925589;-45.120503652039325
1739209815.0925663;-45.120503652039325
1739209815.0925734;-45.120503652039325
1739209815.0925808;-32.816014438256545
1739209815.0925882;-38.13080360867914
1739209815.0925956;-35.57807855764607
1739209815.0926027;-38.13080360867914
1739209815.0926101;-45.120503652039325
1739209815.0926175;-45.120503652039325
1739209815.092625;-38.13080360867914
1739209815.092632;-45.120503652039325
1739209815.0926394;-33.981070128970906
1739209815.0926468;-38.13080360867914
1739209815.0926542;-45.120503652039325
1739209815.0926614;-38.13080360867914
1739209815.0926688;-33.981070128970906
1739209815.0926762;-35.57807855764607
1739209815.0926836;-38.13080360867914
1739209815.0926907;-45.120503652039325
1739209815.092698;-32.816014438256545
1739209815.0927055;-38.13080360867914
1739209815.0927129;-45.120503652039325
1739209815.09272;-38.13080360867914
1739209815.0927274;-38.13080360867914
1739209815.0927348;-35.57807855764607
1739209815.0927422;-45.120503652039325
1739209815.0927494;-45.120503652039325
1739209815.0927567;-28.992665084841942
1739209815.0927641;-30.49652367304973
1739209815.0927715;-38.13080360867914
1739209815.0927787;-45.120503652039325
1739209815.092786;-38.13080360867914
1739209815.0927935;-38.13080360867914
1739209815.0928009;-45.120503652039325
1739209815.092808;-45.120503652039325
1739209815.0928154;-38.13080360867914
1739209815.0928228;-45.120503652039325
1739209815.0928302;-38.13080360867914
1739209815.0928373;-45.120503652039325
1739209815.0928447;-45.120503652039325
1739209815.092852;-45.120503652039325
1739209815.0928595;-45.120503652039325
1739209815.0928667;-35.57807855764607
1739209815.092874;-38.13080360867914
1739209815.0928814;-45.120503652039325
1739209815.0928888;-33.981070128970906
1739209815.092896;-38.13080360867914
1739209815.0929034;-45.120503652039325
1739209815.0929108;-45.120503652039325
1739209815.0929182;-38.13080360867914
1739209815.0929253;-35.57807855764607
1739209815.0929327;-32.816014438256545
1739209815.09294;-33.981070128970906
1739209815.0929475;-38.13080360867914
1739209815.0929546;-35.57807855764607
1739209815.092962;-35.57807855764607
1739209815.0929694;-38.13080360867914
