CAN Message; 0x98:0000170cb77b8a0e
Timestamp;Amplitude
1739209913.8934903;-38.13080360867914
1739209913.8934948;-45.120503652039325
1739209913.8934996;-38.13080360867914
1739209913.8935041;-38.13080360867914
1739209913.8935087;-38.13080360867914
1739209913.8935132;-35.57807855764607
1739209913.893518;-38.13080360867914
1739209913.8935225;-45.120503652039325
1739209913.893527;-38.13080360867914
1739209913.8935316;-45.120503652039325
1739209913.8935363;-38.13080360867914
1739209913.8935409;-38.13080360867914
1739209913.8935454;-38.13080360867914
1739209913.89355;-38.13080360867914
1739209913.8935544;-45.120503652039325
1739209913.8935592;-45.120503652039325
1739209913.8935637;-38.13080360867914
1739209913.8935683;-38.13080360867914
1739209913.8935728;-38.13080360867914
1739209913.8935776;-45.120503652039325
1739209913.893582;-45.120503652039325
1739209913.8935866;-35.57807855764607
1739209913.8935912;-45.120503652039325
1739209913.8935957;-45.120503652039325
1739209913.8936005;-38.13080360867914
1739209913.893605;-45.120503652039325
1739209913.8936095;-45.120503652039325
1739209913.893614;-45.120503652039325
1739209913.8936188;-38.13080360867914
1739209913.8936234;-38.13080360867914
1739209913.893628;-33.981070128970906
1739209913.8936324;-45.120503652039325
1739209913.8936372;-45.120503652039325
1739209913.8936417;-45.120503652039325
1739209913.8936462;-38.13080360867914
1739209913.8936508;-38.13080360867914
1739209913.8936553;-38.13080360867914
1739209913.89366;-38.13080360867914
1739209913.8936646;-45.120503652039325
1739209913.8936691;-38.13080360867914
1739209913.8936737;-38.13080360867914
1739209913.8936784;-38.13080360867914
1739209913.893683;-45.120503652039325
1739209913.8936875;-45.120503652039325
1739209913.893692;-38.13080360867914
1739209913.8936965;-45.120503652039325
1739209913.8937013;-45.120503652039325
1739209913.8937058;-32.816014438256545
1739209913.8937104;-45.120503652039325
1739209913.893715;-38.13080360867914
1739209913.8937197;-38.13080360867914
1739209913.8937242;-45.120503652039325
1739209913.8937287;-45.120503652039325
1739209913.8937333;-32.816014438256545
1739209913.893738;-38.13080360867914
1739209913.8937426;-45.120503652039325
1739209913.893747;-38.13080360867914
1739209913.8937516;-35.57807855764607
1739209913.8937562;-38.13080360867914
1739209913.893761;-45.120503652039325
1739209913.8937654;-45.120503652039325
1739209913.89377;-45.120503652039325
1739209913.8937745;-45.120503652039325
1739209913.8937793;-45.120503652039325
1739209913.8937838;-45.120503652039325
1739209913.8937883;-38.13080360867914
1739209913.8937929;-45.120503652039325
1739209913.8937974;-45.120503652039325
1739209913.8938022;-45.120503652039325
1739209913.8938067;-38.13080360867914
1739209913.8938112;-38.13080360867914
1739209913.8938158;-38.13080360867914
1739209913.8938205;-33.981070128970906
1739209913.893825;-35.57807855764607
1739209913.8938296;-45.120503652039325
1739209913.893834;-45.120503652039325
1739209913.893839;-45.120503652039325
1739209913.8938434;-45.120503652039325
1739209913.893848;-38.13080360867914
1739209913.8938525;-45.120503652039325
1739209913.893857;-45.120503652039325
1739209913.8938618;-45.120503652039325
1739209913.8938663;-45.120503652039325
1739209913.8938708;-45.120503652039325
1739209913.8938754;-45.120503652039325
1739209913.8938801;-38.13080360867914
1739209913.8938847;-45.120503652039325
1739209913.8938892;-45.120503652039325
1739209913.8938937;-45.120503652039325
1739209913.8938982;-38.13080360867914
1739209913.893903;-38.13080360867914
1739209913.8939075;-38.13080360867914
1739209913.893912;-38.13080360867914
1739209913.8939166;-45.120503652039325
1739209913.8939214;-38.13080360867914
1739209913.893926;-45.120503652039325
1739209913.8939304;-38.13080360867914
1739209913.893935;-45.120503652039325
1739209913.8939397;-45.120503652039325
1739209913.8939443;-45.120503652039325
1739209913.8939488;-38.13080360867914
1739209913.8939533;-38.13080360867914
1739209913.8939579;-45.120503652039325
1739209913.8939626;-45.120503652039325
1739209913.8939672;-33.981070128970906
1739209913.8939717;-31.141103565318915
1739209913.8939762;-31.141103565318915
1739209913.893981;-45.120503652039325
1739209913.8939855;-45.120503652039325
1739209913.89399;-38.13080360867914
1739209913.8939946;-38.13080360867914
1739209913.893999;-45.120503652039325
1739209913.8940039;-38.13080360867914
1739209913.8940084;-45.120503652039325
1739209913.894013;-38.13080360867914
1739209913.8940175;-38.13080360867914
1739209913.8940222;-45.120503652039325
1739209913.8940268;-38.13080360867914
1739209913.8940313;-38.13080360867914
1739209913.8940358;-45.120503652039325
1739209913.8940406;-45.120503652039325
1739209913.894045;-38.13080360867914
1739209913.8940496;-33.981070128970906
1739209913.8940542;-45.120503652039325
1739209913.8940587;-38.13080360867914
1739209913.8940635;-38.13080360867914
1739209913.894068;-38.13080360867914
1739209913.8940725;-45.120503652039325
1739209913.894077;-45.120503652039325
1739209913.8940818;-45.120503652039325
1739209913.8940864;-45.120503652039325
1739209913.894091;-38.13080360867914
1739209913.8940954;-38.13080360867914
1739209913.8941;-45.120503652039325
1739209913.8941047;-38.13080360867914
1739209913.8941092;-38.13080360867914
1739209913.8941138;-38.13080360867914
1739209913.8941183;-38.13080360867914
1739209913.894123;-35.57807855764607
1739209913.8941276;-35.57807855764607
1739209913.8941321;-38.13080360867914
1739209913.8941367;-38.13080360867914
1739209913.8941414;-38.13080360867914
1739209913.894146;-45.120503652039325
1739209913.8941505;-33.981070128970906
1739209913.894155;-45.120503652039325
1739209913.8941596;-45.120503652039325
1739209913.8941643;-45.120503652039325
1739209913.8941689;-45.120503652039325
1739209913.8941734;-45.120503652039325
1739209913.894178;-45.120503652039325
1739209913.8941827;-38.13080360867914
1739209913.8941872;-38.13080360867914
1739209913.8941917;-45.120503652039325
