CAN Message; 0x1d3:000046123bce8aed
Timestamp;Amplitude
1739209880.8237262;-45.120503652039325
1739209880.8237388;-45.120503652039325
1739209880.8237517;-45.120503652039325
1739209880.8237643;-38.13080360867914
1739209880.823777;-45.120503652039325
1739209880.8237896;-45.120503652039325
1739209880.8238022;-45.120503652039325
1739209880.823815;-45.120503652039325
1739209880.8238277;-45.120503652039325
1739209880.8238404;-38.13080360867914
1739209880.823853;-38.13080360867914
1739209880.823866;-45.120503652039325
1739209880.8238785;-45.120503652039325
1739209880.8238912;-45.120503652039325
1739209880.8239038;-33.981070128970906
1739209880.8239164;-32.816014438256545
1739209880.8239293;-38.13080360867914
1739209880.823942;-45.120503652039325
1739209880.8239546;-45.120503652039325
1739209880.8239672;-45.120503652039325
1739209880.8239799;-45.120503652039325
1739209880.8239927;-38.13080360867914
1739209880.8240054;-45.120503652039325
1739209880.824018;-45.120503652039325
1739209880.8240306;-45.120503652039325
1739209880.8240435;-45.120503652039325
1739209880.8240561;-38.13080360867914
1739209880.8240688;-38.13080360867914
1739209880.8240814;-45.120503652039325
1739209880.824094;-38.13080360867914
1739209880.824107;-35.57807855764607
1739209880.8241196;-35.57807855764607
1739209880.8241322;-45.120503652039325
1739209880.8241448;-45.120503652039325
1739209880.8241575;-31.141103565318893
1739209880.8241704;-33.981070128970906
1739209880.824183;-45.120503652039325
1739209880.8241956;-38.13080360867914
1739209880.8242083;-45.120503652039325
1739209880.8242211;-38.13080360867914
1739209880.8242338;-45.120503652039325
1739209880.8242464;-38.13080360867914
1739209880.824259;-45.120503652039325
1739209880.8242717;-45.120503652039325
1739209880.8242846;-38.13080360867914
1739209880.8242972;-38.13080360867914
1739209880.8243098;-38.13080360867914
1739209880.8243225;-45.120503652039325
1739209880.824335;-35.57807855764607
1739209880.824348;-38.13080360867914
1739209880.8243606;-35.57807855764607
1739209880.8243732;-45.120503652039325
1739209880.824386;-38.13080360867914
1739209880.8243988;-45.120503652039325
1739209880.8244114;-33.981070128970906
1739209880.824424;-28.992665084841942
1739209880.8244367;-45.120503652039325
1739209880.8244493;-33.981070128970906
1739209880.8244622;-45.120503652039325
1739209880.8244748;-45.120503652039325
1739209880.8244874;-38.13080360867914
1739209880.8245;-33.981070128970906
1739209880.8245127;-45.120503652039325
1739209880.8245256;-35.57807855764607
1739209880.8245382;-35.57807855764607
1739209880.8245509;-45.120503652039325
1739209880.8245635;-45.120503652039325
1739209880.8245764;-45.120503652039325
1739209880.824589;-45.120503652039325
1739209880.8246017;-45.120503652039325
1739209880.8246143;-31.141103565318915
1739209880.824627;-28.992665084841942
1739209880.8246398;-45.120503652039325
1739209880.8246524;-45.120503652039325
1739209880.824665;-38.13080360867914
1739209880.8246777;-38.13080360867914
1739209880.8246903;-45.120503652039325
1739209880.8247032;-38.13080360867914
1739209880.8247159;-38.13080360867914
1739209880.8247285;-38.13080360867914
1739209880.8247411;-45.120503652039325
1739209880.824754;-38.13080360867914
1739209880.8247666;-38.13080360867914
1739209880.8247793;-45.120503652039325
1739209880.824792;-45.120503652039325
1739209880.8248045;-38.13080360867914
1739209880.8248174;-33.981070128970906
1739209880.82483;-45.120503652039325
1739209880.8248427;-45.120503652039325
1739209880.8248553;-45.120503652039325
1739209880.824868;-35.57807855764607
1739209880.8248808;-38.13080360867914
1739209880.8248935;-45.120503652039325
1739209880.824906;-38.13080360867914
1739209880.8249187;-35.57807855764607
1739209880.8249316;-31.141103565318915
1739209880.8249443;-45.120503652039325
1739209880.824957;-45.120503652039325
1739209880.8249695;-45.120503652039325
1739209880.8249822;-38.13080360867914
1739209880.824995;-45.120503652039325
1739209880.8250077;-38.13080360867914
1739209880.8250203;-38.13080360867914
1739209880.825033;-32.816014438256545
1739209880.8250456;-45.120503652039325
1739209880.8250585;-38.13080360867914
1739209880.825071;-38.13080360867914
1739209880.8250837;-38.13080360867914
1739209880.8250964;-45.120503652039325
1739209880.8251092;-38.13080360867914
1739209880.8251219;-45.120503652039325
1739209880.8251345;-31.141103565318915
1739209880.8251472;-38.13080360867914
1739209880.8251598;-38.13080360867914
1739209880.8251727;-45.120503652039325
1739209880.8251853;-35.57807855764607
1739209880.825198;-38.13080360867914
1739209880.8252106;-45.120503652039325
1739209880.8252232;-45.120503652039325
1739209880.825236;-33.981070128970906
1739209880.8252487;-35.57807855764607
1739209880.8252614;-38.13080360867914
1739209880.825274;-38.13080360867914
1739209880.8252869;-38.13080360867914
1739209880.8252995;-38.13080360867914
1739209880.8253121;-38.13080360867914
1739209880.8253248;-38.13080360867914
1739209880.8253374;-35.57807855764607
1739209880.8253503;-38.13080360867914
1739209880.825363;-45.120503652039325
1739209880.8253756;-45.120503652039325
1739209880.8253882;-45.120503652039325
1739209880.8254008;-45.120503652039325
1739209880.8254137;-45.120503652039325
1739209880.8254263;-38.13080360867914
1739209880.825439;-38.13080360867914
1739209880.8254516;-38.13080360867914
1739209880.8254645;-38.13080360867914
1739209880.8254771;-38.13080360867914
1739209880.8254898;-33.981070128970906
1739209880.8255024;-45.120503652039325
1739209880.825515;-38.13080360867914
1739209880.825528;-35.57807855764607
1739209880.8255405;-38.13080360867914
1739209880.8255532;-45.120503652039325
1739209880.8255658;-45.120503652039325
1739209880.8255785;-38.13080360867914
1739209880.8255913;-38.13080360867914
1739209880.825604;-32.81601443825658
1739209880.8256166;-45.120503652039325
1739209880.8256292;-38.13080360867914
1739209880.825642;-38.13080360867914
1739209880.8256547;-35.57807855764607
1739209880.8256674;-38.13080360867914
1739209880.82568;-38.13080360867914
1739209880.8256927;-33.981070128970906
1739209880.8257055;-45.120503652039325
1739209880.8257182;-38.13080360867914
1739209880.8257308;-35.57807855764607
1739209880.8257434;-38.13080360867914
1739209880.825756;-45.120503652039325
1739209880.825769;-38.13080360867914
1739209880.8257816;-45.120503652039325
1739209880.8257942;-45.120503652039325
1739209880.8258069;-38.13080360867914
1739209880.8258197;-45.120503652039325
1739209880.8258324;-45.120503652039325
1739209880.825845;-45.120503652039325
1739209880.8258576;-45.120503652039325
1739209880.8258703;-45.120503652039325
1739209880.8258832;-45.120503652039325
1739209880.8258958;-38.13080360867914
1739209880.8259084;-35.57807855764607
1739209880.825921;-38.13080360867914
1739209880.8259337;-45.120503652039325
1739209880.8259466;-38.13080360867914
1739209880.8259592;-29.438486411369333
1739209880.8259718;-35.57807855764607
1739209880.8259845;-38.13080360867914
1739209880.825997;-38.13080360867914
1739209880.82601;-38.13080360867914
1739209880.8260226;-38.13080360867914
1739209880.8260353;-45.120503652039325
1739209880.826048;-38.13080360867914
1739209880.8260608;-45.120503652039325
1739209880.8260734;-45.120503652039325
1739209880.826086;-45.120503652039325
1739209880.8260987;-45.120503652039325
