CAN Message; 0x24:06147f762768e16b
Timestamp;Amplitude
1739209797.3956478;-45.120503652039325
1739209797.3956497;-38.13080360867914
1739209797.3956518;-45.120503652039325
1739209797.3956537;-38.13080360867914
1739209797.3956559;-38.13080360867914
1739209797.3956578;-38.13080360867914
1739209797.39566;-45.120503652039325
1739209797.3956618;-28.992665084841942
1739209797.395664;-27.8777449560314
1739209797.395666;-45.120503652039325
1739209797.395668;-45.120503652039325
1739209797.39567;-45.120503652039325
1739209797.395672;-35.57807855764607
1739209797.395674;-38.13080360867914
1739209797.3956761;-38.13080360867914
1739209797.395678;-45.120503652039325
1739209797.3956802;-45.120503652039325
1739209797.395682;-38.13080360867914
1739209797.3956842;-45.120503652039325
1739209797.3956861;-45.120503652039325
1739209797.395688;-45.120503652039325
1739209797.3956902;-38.13080360867914
1739209797.395692;-45.120503652039325
1739209797.3956943;-35.57807855764607
1739209797.3956962;-38.13080360867914
1739209797.3956983;-38.13080360867914
1739209797.3957002;-38.13080360867914
1739209797.3957024;-38.13080360867914
1739209797.3957043;-45.120503652039325
1739209797.3957064;-45.120503652039325
1739209797.3957083;-45.120503652039325
1739209797.3957105;-35.57807855764607
1739209797.3957124;-29.438486411369333
1739209797.3957145;-45.120503652039325
1739209797.3957164;-38.13080360867914
1739209797.3957186;-38.13080360867914
1739209797.3957205;-38.13080360867914
1739209797.3957226;-38.13080360867914
1739209797.3957245;-35.57807855764607
1739209797.3957267;-38.13080360867914
1739209797.3957286;-31.141103565318943
1739209797.3957307;-38.13080360867914
1739209797.3957326;-38.13080360867914
1739209797.3957348;-45.120503652039325
1739209797.3957367;-45.120503652039325
1739209797.3957388;-35.57807855764607
1739209797.3957407;-35.57807855764607
1739209797.395743;-35.57807855764607
1739209797.3957448;-28.21854285175415
1739209797.395747;-45.120503652039325
1739209797.3957489;-45.120503652039325
1739209797.395751;-35.57807855764607
1739209797.395753;-32.816014438256545
1739209797.395755;-45.120503652039325
1739209797.395757;-45.120503652039325
1739209797.395759;-45.120503652039325
1739209797.395761;-45.120503652039325
1739209797.3957632;-38.13080360867914
1739209797.395765;-45.120503652039325
1739209797.395767;-38.13080360867914
1739209797.3957691;-38.13080360867914
1739209797.395771;-33.981070128970906
1739209797.3957732;-45.120503652039325
1739209797.395775;-38.13080360867914
1739209797.3957772;-45.120503652039325
1739209797.3957791;-38.13080360867914
1739209797.3957813;-38.13080360867914
1739209797.3957832;-38.13080360867914
1739209797.3957853;-45.120503652039325
1739209797.3957872;-38.13080360867914
1739209797.3957894;-45.120503652039325
1739209797.3957913;-38.13080360867914
1739209797.3957934;-31.141103565318893
1739209797.3957953;-38.13080360867914
1739209797.3957975;-35.57807855764607
1739209797.3957994;-38.13080360867914
1739209797.3958015;-38.13080360867914
1739209797.3958035;-45.120503652039325
1739209797.3958056;-45.120503652039325
1739209797.3958075;-45.120503652039325
1739209797.3958097;-45.120503652039325
1739209797.3958116;-38.13080360867914
1739209797.3958137;-35.57807855764607
1739209797.3958156;-45.120503652039325
1739209797.3958178;-38.13080360867914
1739209797.3958197;-32.816014438256545
1739209797.3958218;-35.57807855764607
1739209797.3958237;-38.13080360867914
1739209797.3958259;-45.120503652039325
1739209797.3958278;-45.120503652039325
1739209797.39583;-38.13080360867914
1739209797.3958318;-45.120503652039325
1739209797.395834;-45.120503652039325
1739209797.3958359;-45.120503652039325
1739209797.395838;-33.981070128970906
1739209797.39584;-38.13080360867914
1739209797.395842;-35.57807855764607
1739209797.395844;-33.981070128970906
1739209797.395846;-35.57807855764607
1739209797.395848;-45.120503652039325
1739209797.39585;-32.816014438256545
1739209797.395852;-38.13080360867914
1739209797.395854;-38.13080360867914
1739209797.3958561;-38.13080360867914
1739209797.395858;-38.13080360867914
1739209797.3958602;-31.141103565318915
1739209797.395862;-38.13080360867914
1739209797.3958642;-45.120503652039325
1739209797.3958662;-45.120503652039325
1739209797.3958683;-38.13080360867914
1739209797.3958702;-45.120503652039325
1739209797.3958724;-45.120503652039325
1739209797.3958743;-45.120503652039325
1739209797.3958764;-33.981070128970906
1739209797.3958783;-45.120503652039325
1739209797.3958805;-38.13080360867914
1739209797.3958824;-38.13080360867914
1739209797.3958845;-33.981070128970906
1739209797.3958864;-35.57807855764607
1739209797.3958886;-33.981070128970906
1739209797.3958905;-45.120503652039325
1739209797.3958926;-45.120503652039325
