CAN Message; 0x1a7:0000df2bc3f70406
Timestamp;Amplitude
1739209766.1629689;-45.120503652039325
1739209766.1629722;-28.58837851428586
1739209766.1629753;-32.816014438256545
1739209766.1629786;-45.120503652039325
1739209766.1629817;-45.120503652039325
1739209766.162985;-45.120503652039325
1739209766.1629882;-45.120503652039325
1739209766.1629915;-45.120503652039325
1739209766.1629946;-45.120503652039325
1739209766.1629977;-45.120503652039325
1739209766.163001;-45.120503652039325
1739209766.1630042;-45.120503652039325
1739209766.1630075;-45.120503652039325
1739209766.1630106;-38.13080360867914
1739209766.163014;-35.57807855764607
1739209766.163017;-38.13080360867914
1739209766.1630204;-38.13080360867914
1739209766.1630235;-45.120503652039325
1739209766.1630266;-45.120503652039325
1739209766.16303;-38.13080360867914
1739209766.163033;-38.13080360867914
1739209766.1630363;-45.120503652039325
1739209766.1630394;-38.13080360867914
1739209766.1630428;-35.57807855764607
1739209766.163046;-45.120503652039325
1739209766.1630492;-35.57807855764607
1739209766.1630523;-38.13080360867914
1739209766.1630554;-45.120503652039325
1739209766.1630588;-38.13080360867914
1739209766.1630619;-38.13080360867914
1739209766.1630652;-38.13080360867914
1739209766.1630683;-38.13080360867914
1739209766.1630716;-35.57807855764607
1739209766.1630747;-38.13080360867914
1739209766.1630778;-45.120503652039325
1739209766.1630812;-33.981070128970906
1739209766.1630843;-35.57807855764607
1739209766.1630876;-35.57807855764607
1739209766.1630907;-38.13080360867914
1739209766.163094;-38.13080360867914
1739209766.1630971;-45.120503652039325
1739209766.1631005;-45.120503652039325
1739209766.1631036;-32.816014438256545
1739209766.1631067;-38.13080360867914
1739209766.16311;-35.57807855764607
1739209766.163113;-38.13080360867914
1739209766.1631165;-33.981070128970906
1739209766.1631196;-38.13080360867914
1739209766.163123;-35.57807855764607
1739209766.163126;-45.120503652039325
1739209766.1631293;-45.120503652039325
1739209766.1631324;-45.120503652039325
1739209766.1631355;-45.120503652039325
1739209766.1631389;-38.13080360867914
1739209766.163142;-45.120503652039325
