CAN Message; 0x1d3:00004cb9e1dd0972
Timestamp;Amplitude
1739209782.435528;-38.13080360867914
1739209782.4355285;-32.816014438256545
1739209782.435529;-38.13080360867914
1739209782.4355295;-45.120503652039325
1739209782.4355302;-38.13080360867914
1739209782.4355307;-35.57807855764607
1739209782.4355311;-38.13080360867914
1739209782.4355316;-45.120503652039325
1739209782.4355323;-33.981070128970906
1739209782.4355328;-38.13080360867914
1739209782.4355333;-38.13080360867914
1739209782.4355338;-45.120503652039325
1739209782.4355345;-45.120503652039325
1739209782.435535;-45.120503652039325
1739209782.4355354;-45.120503652039325
1739209782.4355361;-38.13080360867914
1739209782.4355366;-38.13080360867914
1739209782.435537;-38.13080360867914
1739209782.4355376;-38.13080360867914
1739209782.4355383;-35.57807855764607
1739209782.4355388;-45.120503652039325
1739209782.4355392;-38.13080360867914
1739209782.4355397;-31.141103565318915
1739209782.4355404;-38.13080360867914
1739209782.435541;-45.120503652039325
1739209782.4355414;-45.120503652039325
1739209782.4355419;-38.13080360867914
1739209782.4355426;-38.13080360867914
1739209782.435543;-45.120503652039325
1739209782.4355435;-45.120503652039325
1739209782.4355443;-35.57807855764607
1739209782.4355447;-33.981070128970906
1739209782.4355452;-45.120503652039325
1739209782.4355457;-45.120503652039325
1739209782.4355464;-38.13080360867914
1739209782.4355469;-32.816014438256545
1739209782.4355474;-33.981070128970906
1739209782.4355478;-45.120503652039325
1739209782.4355485;-25.826314394896357
1739209782.435549;-32.816014438256545
1739209782.4355495;-45.120503652039325
1739209782.4355502;-45.120503652039325
1739209782.4355507;-38.13080360867914
1739209782.4355512;-45.120503652039325
1739209782.4355516;-45.120503652039325
1739209782.4355524;-45.120503652039325
1739209782.4355528;-38.13080360867914
1739209782.4355533;-38.13080360867914
1739209782.4355538;-38.13080360867914
1739209782.4355545;-45.120503652039325
1739209782.435555;-45.120503652039325
1739209782.4355555;-38.13080360867914
1739209782.435556;-38.13080360867914
1739209782.4355567;-45.120503652039325
1739209782.4355571;-38.13080360867914
1739209782.4355576;-35.57807855764607
1739209782.4355583;-38.13080360867914
1739209782.4355588;-38.13080360867914
1739209782.4355593;-38.13080360867914
1739209782.4355597;-38.13080360867914
1739209782.4355605;-45.120503652039325
1739209782.435561;-45.120503652039325
1739209782.4355614;-30.49652367304973
1739209782.435562;-35.57807855764607
1739209782.4355626;-38.13080360867914
1739209782.435563;-38.13080360867914
1739209782.4355636;-45.120503652039325
1739209782.435564;-45.120503652039325
1739209782.4355648;-45.120503652039325
1739209782.4355652;-45.120503652039325
1739209782.4355657;-38.13080360867914
1739209782.4355664;-45.120503652039325
1739209782.435567;-38.13080360867914
1739209782.4355674;-45.120503652039325
1739209782.4355679;-45.120503652039325
1739209782.4355686;-45.120503652039325
1739209782.435569;-38.13080360867914
1739209782.4355695;-38.13080360867914
1739209782.43557;-29.438486411369333
1739209782.4355707;-31.141103565318893
1739209782.4355712;-45.120503652039325
1739209782.4355717;-35.57807855764607
1739209782.4355721;-45.120503652039325
1739209782.4355729;-45.120503652039325
1739209782.4355733;-38.13080360867914
1739209782.4355738;-38.13080360867914
1739209782.4355745;-38.13080360867914
1739209782.435575;-45.120503652039325
1739209782.4355755;-45.120503652039325
1739209782.435576;-38.13080360867914
1739209782.4355767;-38.13080360867914
1739209782.4355772;-45.120503652039325
1739209782.4355776;-38.13080360867914
1739209782.435578;-35.57807855764607
1739209782.4355788;-45.120503652039325
1739209782.4355793;-45.120503652039325
1739209782.4355798;-45.120503652039325
1739209782.4355803;-45.120503652039325
1739209782.435581;-38.13080360867914
1739209782.4355814;-38.13080360867914
1739209782.435582;-45.120503652039325
1739209782.4355826;-45.120503652039325
1739209782.435583;-35.57807855764607
1739209782.4355836;-38.13080360867914
1739209782.435584;-45.120503652039325
1739209782.4355848;-38.13080360867914
1739209782.4355853;-38.13080360867914
1739209782.4355857;-45.120503652039325
1739209782.4355862;-45.120503652039325
1739209782.435587;-45.120503652039325
1739209782.4355874;-45.120503652039325
1739209782.435588;-45.120503652039325
1739209782.4355886;-45.120503652039325
1739209782.435589;-38.13080360867914
1739209782.4355896;-38.13080360867914
1739209782.43559;-38.13080360867914
1739209782.4355907;-45.120503652039325
1739209782.4355912;-45.120503652039325
1739209782.4355917;-45.120503652039325
1739209782.4355922;-45.120503652039325
1739209782.435593;-33.981070128970906
1739209782.4355934;-38.13080360867914
