CAN Message; 0x1bb:000000d56cfeca7e
Timestamp;Amplitude
1739209615.0712473;-45.120503652039325
1739209615.0712557;-45.120503652039325
1739209615.0712643;-38.13080360867914
1739209615.0712726;-33.981070128970906
1739209615.0712812;-45.120503652039325
1739209615.0712898;-38.13080360867914
1739209615.0712981;-35.57807855764607
1739209615.0713067;-35.57807855764607
1739209615.071315;-38.13080360867914
1739209615.0713236;-38.13080360867914
1739209615.0713322;-38.13080360867914
1739209615.0713406;-35.57807855764607
1739209615.0713491;-38.13080360867914
1739209615.0713575;-38.13080360867914
1739209615.071366;-38.13080360867914
1739209615.0713747;-45.120503652039325
1739209615.071383;-45.120503652039325
1739209615.0713916;-45.120503652039325
1739209615.0714002;-45.120503652039325
1739209615.0714085;-31.141103565318915
1739209615.071417;-38.13080360867914
1739209615.0714254;-45.120503652039325
1739209615.071434;-45.120503652039325
1739209615.0714426;-33.981070128970906
1739209615.071451;-35.57807855764607
1739209615.0714595;-38.13080360867914
1739209615.0714679;-45.120503652039325
1739209615.0714765;-45.120503652039325
1739209615.071485;-38.13080360867914
1739209615.0714934;-38.13080360867914
1739209615.071502;-45.120503652039325
1739209615.0715103;-45.120503652039325
1739209615.071519;-38.13080360867914
1739209615.0715275;-45.120503652039325
1739209615.0715358;-45.120503652039325
1739209615.0715444;-45.120503652039325
1739209615.0715528;-38.13080360867914
1739209615.0715613;-38.13080360867914
1739209615.07157;-45.120503652039325
1739209615.0715783;-45.120503652039325
1739209615.0715868;-38.13080360867914
1739209615.0715952;-38.13080360867914
1739209615.0716038;-45.120503652039325
1739209615.0716124;-28.58837851428586
1739209615.0716207;-31.141103565318893
1739209615.0716293;-45.120503652039325
1739209615.0716376;-45.120503652039325
1739209615.0716462;-38.13080360867914
1739209615.0716548;-35.57807855764607
1739209615.0716631;-38.13080360867914
1739209615.0716717;-38.13080360867914
1739209615.07168;-38.13080360867914
1739209615.0716887;-38.13080360867914
1739209615.0716972;-35.57807855764607
1739209615.0717056;-33.981070128970906
1739209615.0717142;-33.981070128970906
1739209615.0717227;-45.120503652039325
1739209615.071731;-35.57807855764607
1739209615.0717397;-45.120503652039325
1739209615.071748;-30.49652367304973
1739209615.0717566;-32.816014438256545
1739209615.0717652;-45.120503652039325
1739209615.0717735;-45.120503652039325
1739209615.071782;-38.13080360867914
1739209615.0717905;-38.13080360867914
1739209615.071799;-38.13080360867914
1739209615.0718076;-33.981070128970906
1739209615.071816;-45.120503652039325
1739209615.0718246;-45.120503652039325
1739209615.071833;-38.13080360867914
1739209615.0718415;-38.13080360867914
1739209615.07185;-38.13080360867914
1739209615.0718584;-45.120503652039325
1739209615.071867;-33.981070128970906
1739209615.0718753;-35.57807855764607
1739209615.071884;-45.120503652039325
1739209615.0718925;-45.120503652039325
1739209615.0719008;-45.120503652039325
1739209615.0719094;-38.13080360867914
1739209615.0719178;-45.120503652039325
1739209615.0719264;-45.120503652039325
1739209615.071935;-38.13080360867914
1739209615.0719433;-38.13080360867914
1739209615.0719519;-31.141103565318893
1739209615.0719602;-29.438486411369333
1739209615.0719688;-33.981070128970906
1739209615.0719774;-38.13080360867914
1739209615.0719857;-45.120503652039325
1739209615.0719943;-45.120503652039325
1739209615.0720026;-45.120503652039325
1739209615.0720112;-38.13080360867914
1739209615.0720198;-45.120503652039325
1739209615.0720282;-38.13080360867914
1739209615.0720367;-38.13080360867914
1739209615.0720453;-45.120503652039325
1739209615.0720537;-38.13080360867914
1739209615.0720623;-38.13080360867914
1739209615.0720706;-38.13080360867914
1739209615.0720792;-45.120503652039325
1739209615.0720878;-35.57807855764607
1739209615.072096;-35.57807855764607
1739209615.0721047;-45.120503652039325
1739209615.072113;-45.120503652039325
1739209615.0721216;-38.13080360867914
1739209615.0721302;-45.120503652039325
1739209615.0721385;-45.120503652039325
1739209615.0721471;-45.120503652039325
1739209615.0721555;-38.13080360867914
1739209615.072164;-45.120503652039325
1739209615.0721726;-45.120503652039325
1739209615.072181;-45.120503652039325
1739209615.0721896;-38.13080360867914
1739209615.072198;-32.816014438256545
1739209615.0722065;-45.120503652039325
1739209615.072215;-38.13080360867914
1739209615.0722234;-38.13080360867914
1739209615.072232;-45.120503652039325
1739209615.0722404;-45.120503652039325
1739209615.072249;-45.120503652039325
1739209615.0722575;-45.120503652039325
1739209615.0722659;-45.120503652039325
1739209615.0722744;-38.13080360867914
1739209615.0722828;-45.120503652039325
1739209615.0722914;-38.13080360867914
1739209615.0723;-32.816014438256545
1739209615.0723083;-45.120503652039325
1739209615.072317;-45.120503652039325
1739209615.0723252;-38.13080360867914
1739209615.0723338;-31.141103565318893
1739209615.0723424;-45.120503652039325
1739209615.0723507;-45.120503652039325
1739209615.0723593;-38.13080360867914
1739209615.072368;-38.13080360867914
1739209615.0723763;-38.13080360867914
1739209615.0723848;-45.120503652039325
1739209615.0723932;-38.13080360867914
