CAN Message; 0x1a7:0000cb3767bd91ea
Timestamp;Amplitude
1739209826.6388278;-30.49652367304973
1739209826.6388297;-38.13080360867914
1739209826.6388319;-38.13080360867914
1739209826.638834;-45.120503652039325
1739209826.638836;-38.13080360867914
1739209826.638838;-38.13080360867914
1739209826.63884;-45.120503652039325
1739209826.638842;-38.13080360867914
1739209826.6388443;-33.981070128970906
1739209826.6388462;-38.13080360867914
1739209826.6388483;-38.13080360867914
1739209826.6388505;-45.120503652039325
1739209826.6388524;-38.13080360867914
1739209826.6388545;-38.13080360867914
1739209826.6388566;-45.120503652039325
1739209826.6388586;-33.981070128970906
1739209826.6388607;-33.981070128970956
1739209826.6388628;-32.816014438256545
1739209826.6388648;-33.981070128970906
1739209826.638867;-38.13080360867914
1739209826.6388688;-45.120503652039325
1739209826.638871;-38.13080360867914
1739209826.638873;-38.13080360867914
1739209826.638875;-45.120503652039325
1739209826.6388772;-33.981070128970906
1739209826.6388793;-32.816014438256545
1739209826.6388812;-38.13080360867914
1739209826.6388834;-33.981070128970906
1739209826.6388855;-38.13080360867914
1739209826.6388874;-35.57807855764607
1739209826.6388896;-35.57807855764607
1739209826.6388917;-38.13080360867914
1739209826.6388936;-38.13080360867914
1739209826.6388958;-30.49652367304973
1739209826.6388977;-38.13080360867914
1739209826.6388998;-45.120503652039325
1739209826.638902;-38.13080360867914
1739209826.6389039;-45.120503652039325
1739209826.638906;-38.13080360867914
1739209826.6389081;-45.120503652039325
1739209826.63891;-31.141103565318915
1739209826.6389122;-31.141103565318915
1739209826.6389143;-38.13080360867914
1739209826.6389163;-45.120503652039325
1739209826.6389184;-45.120503652039325
1739209826.6389203;-38.13080360867914
1739209826.6389225;-38.13080360867914
1739209826.6389246;-38.13080360867914
1739209826.6389265;-38.13080360867914
1739209826.6389287;-38.13080360867914
1739209826.6389308;-45.120503652039325
1739209826.6389327;-38.13080360867914
1739209826.6389349;-35.57807855764607
1739209826.638937;-38.13080360867914
1739209826.638939;-45.120503652039325
1739209826.638941;-45.120503652039325
1739209826.6389432;-45.120503652039325
1739209826.638945;-45.120503652039325
1739209826.6389472;-45.120503652039325
1739209826.6389492;-35.57807855764607
1739209826.6389513;-35.57807855764607
1739209826.6389534;-45.120503652039325
1739209826.6389554;-45.120503652039325
1739209826.6389575;-38.13080360867914
