CAN Message; 0x1bb:00007e10e615fa0e
Timestamp;Amplitude
1739209852.4494138;-38.13080360867914
1739209852.4494164;-38.13080360867914
1739209852.449419;-38.13080360867914
1739209852.4494216;-45.120503652039325
1739209852.4494243;-45.120503652039325
1739209852.449427;-45.120503652039325
1739209852.4494295;-31.141103565318943
1739209852.4494321;-45.120503652039325
1739209852.4494345;-38.13080360867914
1739209852.4494371;-38.13080360867914
1739209852.4494398;-45.120503652039325
1739209852.4494424;-38.13080360867914
1739209852.449445;-45.120503652039325
1739209852.4494476;-38.13080360867914
1739209852.4494503;-29.438486411369333
1739209852.4494529;-35.57807855764607
1739209852.4494555;-45.120503652039325
1739209852.4494581;-38.13080360867914
1739209852.4494607;-38.13080360867914
1739209852.4494634;-45.120503652039325
1739209852.449466;-45.120503652039325
1739209852.4494686;-45.120503652039325
1739209852.4494712;-45.120503652039325
1739209852.4494739;-45.120503652039325
1739209852.4494765;-38.13080360867914
1739209852.4494789;-45.120503652039325
1739209852.4494815;-35.57807855764607
1739209852.449484;-32.816014438256545
1739209852.4494867;-45.120503652039325
1739209852.4494894;-45.120503652039325
1739209852.449492;-38.13080360867914
1739209852.4494946;-38.13080360867914
1739209852.4494972;-45.120503652039325
1739209852.4494998;-45.120503652039325
1739209852.4495025;-45.120503652039325
1739209852.449505;-38.13080360867914
1739209852.4495077;-38.13080360867914
1739209852.4495103;-45.120503652039325
1739209852.449513;-38.13080360867914
1739209852.4495156;-33.981070128970906
1739209852.4495182;-45.120503652039325
1739209852.4495208;-45.120503652039325
1739209852.4495232;-35.57807855764607
1739209852.4495258;-33.981070128970906
1739209852.4495285;-45.120503652039325
1739209852.449531;-38.13080360867914
1739209852.4495337;-45.120503652039325
1739209852.4495363;-45.120503652039325
1739209852.449539;-45.120503652039325
1739209852.4495416;-45.120503652039325
1739209852.4495442;-45.120503652039325
1739209852.4495468;-45.120503652039325
1739209852.4495494;-38.13080360867914
1739209852.449552;-45.120503652039325
1739209852.4495547;-35.57807855764607
1739209852.4495573;-35.57807855764607
1739209852.44956;-45.120503652039325
1739209852.4495625;-45.120503652039325
1739209852.4495652;-35.57807855764607
1739209852.4495676;-38.13080360867914
1739209852.4495702;-38.13080360867914
1739209852.4495728;-38.13080360867914
1739209852.4495754;-45.120503652039325
1739209852.449578;-45.120503652039325
1739209852.4495807;-32.816014438256545
1739209852.4495833;-38.13080360867914
1739209852.449586;-45.120503652039325
1739209852.4495885;-45.120503652039325
1739209852.4495912;-38.13080360867914
1739209852.4495938;-45.120503652039325
1739209852.4495964;-35.57807855764607
1739209852.449599;-45.120503652039325
1739209852.4496017;-35.57807855764607
1739209852.4496043;-45.120503652039325
1739209852.449607;-38.13080360867914
1739209852.4496095;-38.13080360867914
1739209852.449612;-45.120503652039325
1739209852.4496145;-45.120503652039325
1739209852.4496171;-45.120503652039325
1739209852.4496198;-45.120503652039325
1739209852.4496224;-45.120503652039325
1739209852.449625;-38.13080360867914
1739209852.4496276;-45.120503652039325
1739209852.4496303;-38.13080360867914
1739209852.449633;-45.120503652039325
1739209852.4496355;-38.13080360867914
1739209852.4496381;-35.57807855764607
1739209852.4496408;-38.13080360867914
1739209852.4496434;-45.120503652039325
1739209852.449646;-45.120503652039325
1739209852.4496486;-35.57807855764607
1739209852.4496512;-38.13080360867914
1739209852.4496539;-45.120503652039325
1739209852.4496562;-45.120503652039325
1739209852.4496589;-45.120503652039325
1739209852.4496615;-45.120503652039325
1739209852.449664;-45.120503652039325
1739209852.4496667;-45.120503652039325
1739209852.4496694;-32.816014438256545
1739209852.449672;-33.981070128970906
1739209852.4496746;-45.120503652039325
1739209852.4496772;-45.120503652039325
1739209852.4496799;-32.816014438256545
1739209852.4496825;-38.13080360867914
1739209852.449685;-45.120503652039325
1739209852.4496877;-38.13080360867914
1739209852.4496903;-45.120503652039325
1739209852.449693;-45.120503652039325
1739209852.4496956;-45.120503652039325
1739209852.4496982;-45.120503652039325
1739209852.4497006;-38.13080360867914
1739209852.4497032;-38.13080360867914
1739209852.4497058;-38.13080360867914
1739209852.4497085;-45.120503652039325
1739209852.449711;-31.141103565318893
1739209852.4497137;-32.816014438256545
1739209852.4497163;-45.120503652039325
1739209852.449719;-38.13080360867914
1739209852.4497216;-38.13080360867914
1739209852.4497242;-38.13080360867914
1739209852.4497268;-38.13080360867914
1739209852.4497294;-38.13080360867914
1739209852.449732;-45.120503652039325
1739209852.4497347;-45.120503652039325
1739209852.4497373;-45.120503652039325
1739209852.44974;-45.120503652039325
1739209852.4497426;-45.120503652039325
1739209852.4497452;-33.981070128970906
1739209852.4497476;-33.981070128970906
1739209852.4497502;-38.13080360867914
1739209852.4497528;-45.120503652039325
1739209852.4497554;-38.13080360867914
1739209852.449758;-38.13080360867914
1739209852.4497607;-45.120503652039325
1739209852.4497633;-45.120503652039325
1739209852.449766;-33.981070128970906
1739209852.4497685;-45.120503652039325
1739209852.4497712;-38.13080360867914
1739209852.4497738;-32.816014438256545
1739209852.4497764;-38.13080360867914
