CAN Message; 0x1d3:00001efb38ddfa71
Timestamp;Amplitude
1739209862.5671804;-45.120503652039325
1739209862.5671933;-30.49652367304973
1739209862.5672061;-38.13080360867914
1739209862.567219;-45.120503652039325
1739209862.5672317;-45.120503652039325
1739209862.5672445;-33.981070128970906
1739209862.5672574;-45.120503652039325
1739209862.5672703;-38.13080360867914
1739209862.5672832;-38.13080360867914
1739209862.567296;-45.120503652039325
1739209862.567309;-38.13080360867914
1739209862.5673218;-45.120503652039325
1739209862.5673347;-38.13080360867914
1739209862.5673475;-45.120503652039325
1739209862.5673602;-45.120503652039325
1739209862.567373;-38.13080360867914
1739209862.567386;-38.13080360867914
1739209862.5673988;-38.13080360867914
1739209862.5674117;-38.13080360867914
1739209862.5674245;-38.13080360867914
1739209862.5674374;-35.57807855764607
1739209862.5674503;-35.57807855764607
1739209862.5674632;-38.13080360867914
1739209862.5674758;-45.120503652039325
1739209862.5674887;-45.120503652039325
1739209862.5675015;-38.13080360867914
1739209862.5675144;-38.13080360867914
1739209862.5675273;-35.57807855764607
1739209862.5675402;-38.13080360867914
1739209862.567553;-45.120503652039325
1739209862.567566;-38.13080360867914
1739209862.5675788;-45.120503652039325
1739209862.5675917;-38.13080360867914
1739209862.5676043;-45.120503652039325
1739209862.5676172;-45.120503652039325
1739209862.56763;-38.13080360867914
1739209862.567643;-38.13080360867914
1739209862.5676558;-35.57807855764607
1739209862.5676687;-45.120503652039325
1739209862.5676816;-45.120503652039325
1739209862.5676944;-33.981070128970906
1739209862.5677073;-27.8777449560314
1739209862.56772;-33.981070128970906
1739209862.5677328;-45.120503652039325
1739209862.5677457;-45.120503652039325
1739209862.5677586;-45.120503652039325
1739209862.5677714;-45.120503652039325
1739209862.5677843;-38.13080360867914
1739209862.5677972;-38.13080360867914
1739209862.56781;-45.120503652039325
1739209862.567823;-38.13080360867914
1739209862.5678358;-38.13080360867914
1739209862.5678484;-38.13080360867914
1739209862.5678613;-45.120503652039325
1739209862.5678742;-38.13080360867914
1739209862.567887;-31.141103565318893
1739209862.5679;-45.120503652039325
1739209862.5679128;-33.981070128970906
1739209862.5679257;-32.816014438256545
1739209862.5679386;-35.57807855764607
1739209862.5679514;-38.13080360867914
1739209862.567964;-45.120503652039325
1739209862.567977;-38.13080360867914
1739209862.5679898;-38.13080360867914
1739209862.5680027;-38.13080360867914
1739209862.5680156;-45.120503652039325
1739209862.5680285;-45.120503652039325
1739209862.5680413;-35.57807855764607
1739209862.5680542;-45.120503652039325
1739209862.568067;-32.816014438256545
1739209862.56808;-38.13080360867914
1739209862.5680926;-45.120503652039325
1739209862.5681055;-33.981070128970906
1739209862.5681183;-38.13080360867914
1739209862.5681312;-45.120503652039325
1739209862.568144;-38.13080360867914
1739209862.568157;-45.120503652039325
1739209862.5681698;-38.13080360867914
1739209862.5681827;-38.13080360867914
1739209862.5681956;-33.981070128970906
1739209862.5682082;-38.13080360867914
1739209862.568221;-33.981070128970906
1739209862.568234;-31.141103565318915
1739209862.5682468;-38.13080360867914
1739209862.5682597;-45.120503652039325
1739209862.5682726;-45.120503652039325
1739209862.5682855;-32.816014438256545
1739209862.5682983;-38.13080360867914
1739209862.5683112;-45.120503652039325
1739209862.568324;-38.13080360867914
1739209862.5683367;-29.438486411369347
1739209862.5683496;-38.13080360867914
1739209862.5683625;-38.13080360867914
1739209862.5683753;-45.120503652039325
1739209862.5683882;-45.120503652039325
1739209862.568401;-38.13080360867914
1739209862.568414;-38.13080360867914
1739209862.5684268;-38.13080360867914
1739209862.5684397;-33.981070128970906
1739209862.5684524;-38.13080360867914
1739209862.5684652;-45.120503652039325
1739209862.568478;-45.120503652039325
1739209862.568491;-38.13080360867914
1739209862.5685039;-45.120503652039325
1739209862.5685167;-45.120503652039325
1739209862.5685296;-38.13080360867914
1739209862.5685425;-33.981070128970906
1739209862.5685554;-45.120503652039325
1739209862.5685682;-38.13080360867914
1739209862.5685809;-35.57807855764607
1739209862.5685937;-38.13080360867914
1739209862.5686066;-38.13080360867914
1739209862.5686195;-35.57807855764607
1739209862.5686324;-38.13080360867914
1739209862.5686452;-38.13080360867914
1739209862.568658;-38.13080360867914
1739209862.568671;-38.13080360867914
1739209862.5686839;-38.13080360867914
1739209862.5686965;-38.13080360867914
1739209862.5687094;-35.57807855764607
1739209862.5687222;-38.13080360867914
1739209862.5687351;-45.120503652039325
1739209862.568748;-38.13080360867914
1739209862.5687609;-35.57807855764607
1739209862.5687737;-45.120503652039325
1739209862.5687866;-38.13080360867914
1739209862.5687995;-35.57807855764607
1739209862.5688124;-33.981070128970906
1739209862.568825;-45.120503652039325
1739209862.568838;-45.120503652039325
