CAN Message; 0x62:0d99281a74893ba8
Timestamp;Amplitude
1739209771.9319844;-38.13080360867914
1739209771.931986;-45.120503652039325
1739209771.931988;-38.13080360867914
1739209771.9319897;-38.13080360867914
1739209771.9319916;-38.13080360867914
1739209771.9319935;-33.981070128970906
1739209771.9319952;-38.13080360867914
1739209771.931997;-38.13080360867914
1739209771.931999;-45.120503652039325
1739209771.9320006;-45.120503652039325
1739209771.9320025;-35.57807855764607
1739209771.9320042;-32.816014438256545
1739209771.9320061;-38.13080360867914
1739209771.932008;-45.120503652039325
1739209771.9320097;-45.120503652039325
1739209771.9320116;-45.120503652039325
1739209771.9320135;-38.13080360867914
1739209771.9320152;-45.120503652039325
1739209771.932017;-45.120503652039325
1739209771.9320188;-38.13080360867914
1739209771.9320207;-45.120503652039325
1739209771.9320226;-45.120503652039325
1739209771.9320242;-38.13080360867914
1739209771.9320261;-35.57807855764607
1739209771.932028;-45.120503652039325
1739209771.9320297;-45.120503652039325
1739209771.9320316;-45.120503652039325
1739209771.9320333;-45.120503652039325
1739209771.9320352;-38.13080360867914
1739209771.932037;-45.120503652039325
1739209771.9320388;-38.13080360867914
1739209771.9320407;-38.13080360867914
1739209771.9320424;-38.13080360867914
1739209771.9320443;-45.120503652039325
1739209771.9320462;-45.120503652039325
1739209771.9320478;-33.981070128970906
1739209771.9320498;-31.14110356531892
1739209771.9320517;-45.120503652039325
1739209771.9320533;-38.13080360867914
1739209771.9320552;-38.13080360867914
1739209771.932057;-38.13080360867914
1739209771.9320588;-45.120503652039325
1739209771.9320607;-45.120503652039325
1739209771.9320624;-38.13080360867914
1739209771.9320643;-31.141103565318915
1739209771.9320662;-38.13080360867914
1739209771.9320679;-38.13080360867914
1739209771.9320698;-32.816014438256545
1739209771.9320714;-45.120503652039325
1739209771.9320734;-33.981070128970906
1739209771.9320753;-35.57807855764607
1739209771.932077;-38.13080360867914
1739209771.9320788;-38.13080360867914
1739209771.9320807;-35.57807855764607
1739209771.9320824;-45.120503652039325
1739209771.9320843;-45.120503652039325
1739209771.932086;-38.13080360867914
1739209771.932088;-38.13080360867914
1739209771.9320898;-38.13080360867914
1739209771.9320915;-33.981070128970906
1739209771.9320934;-32.81601443825658
1739209771.9320953;-45.120503652039325
1739209771.932097;-38.13080360867914
1739209771.9320989;-38.13080360867914
1739209771.9321005;-38.13080360867914
1739209771.9321024;-38.13080360867914
1739209771.9321043;-45.120503652039325
1739209771.932106;-45.120503652039325
1739209771.932108;-28.992665084841942
1739209771.9321096;-38.13080360867914
1739209771.9321115;-45.120503652039325
1739209771.9321134;-32.816014438256545
1739209771.932115;-45.120503652039325
1739209771.932117;-45.120503652039325
1739209771.932119;-38.13080360867914
1739209771.9321206;-45.120503652039325
1739209771.9321225;-45.120503652039325
1739209771.9321241;-45.120503652039325
1739209771.932126;-45.120503652039325
1739209771.932128;-45.120503652039325
