CAN Message; 0x1bb:0000bbe6c8d7a90e
Timestamp;Amplitude
1739209586.9468496;-38.13080360867914
1739209586.946857;-38.13080360867914
1739209586.9468644;-45.120503652039325
1739209586.946872;-45.120503652039325
1739209586.9468794;-38.13080360867914
1739209586.9468868;-38.13080360867914
1739209586.9468942;-38.13080360867914
1739209586.9469016;-38.13080360867914
1739209586.946909;-45.120503652039325
1739209586.9469166;-38.13080360867914
1739209586.946924;-35.57807855764607
1739209586.9469314;-38.13080360867914
1739209586.9469388;-45.120503652039325
1739209586.9469461;-35.57807855764607
1739209586.9469535;-35.57807855764607
1739209586.9469612;-45.120503652039325
1739209586.9469686;-38.13080360867914
1739209586.946976;-33.981070128970906
1739209586.9469833;-45.120503652039325
1739209586.9469907;-38.13080360867914
1739209586.9469981;-45.120503652039325
1739209586.9470057;-31.141103565318915
1739209586.9470131;-45.120503652039325
1739209586.9470205;-45.120503652039325
1739209586.947028;-45.120503652039325
1739209586.9470353;-45.120503652039325
1739209586.9470427;-38.13080360867914
1739209586.9470503;-38.13080360867914
1739209586.9470577;-45.120503652039325
1739209586.947065;-28.992665084841942
1739209586.9470725;-33.981070128970906
1739209586.94708;-35.57807855764607
1739209586.9470873;-33.981070128970906
1739209586.947095;-38.13080360867914
1739209586.9471023;-38.13080360867914
1739209586.9471097;-45.120503652039325
1739209586.947117;-38.13080360867914
1739209586.9471245;-32.816014438256545
1739209586.9471319;-38.13080360867914
1739209586.9471395;-38.13080360867914
1739209586.947147;-38.13080360867914
1739209586.9471543;-45.120503652039325
1739209586.9471617;-32.816014438256545
1739209586.947169;-35.57807855764607
1739209586.9471765;-45.120503652039325
1739209586.947184;-38.13080360867914
1739209586.9471915;-33.981070128970906
1739209586.9471989;-38.13080360867914
1739209586.9472063;-45.120503652039325
1739209586.9472136;-38.13080360867914
1739209586.947221;-38.13080360867914
1739209586.9472287;-38.13080360867914
1739209586.947236;-45.120503652039325
1739209586.9472435;-38.13080360867914
1739209586.9472508;-45.120503652039325
1739209586.9472582;-38.13080360867914
1739209586.9472656;-38.13080360867914
1739209586.9472733;-45.120503652039325
1739209586.9472806;-45.120503652039325
1739209586.947288;-45.120503652039325
1739209586.9472954;-45.120503652039325
1739209586.9473028;-45.120503652039325
1739209586.9473102;-38.13080360867914
1739209586.9473178;-38.13080360867914
1739209586.9473252;-45.120503652039325
1739209586.9473326;-45.120503652039325
1739209586.94734;-38.13080360867914
1739209586.9473474;-45.120503652039325
1739209586.9473548;-38.13080360867914
1739209586.9473624;-38.13080360867914
1739209586.9473698;-45.120503652039325
1739209586.9473772;-38.13080360867914
1739209586.9473846;-35.57807855764607
1739209586.947392;-38.13080360867914
1739209586.9473994;-45.120503652039325
1739209586.947407;-45.120503652039325
1739209586.9474144;-45.120503652039325
1739209586.9474218;-45.120503652039325
1739209586.9474292;-38.13080360867914
1739209586.9474366;-38.13080360867914
1739209586.947444;-45.120503652039325
1739209586.9474516;-45.120503652039325
1739209586.947459;-32.816014438256545
1739209586.9474664;-38.13080360867914
1739209586.9474738;-45.120503652039325
1739209586.9474812;-32.816014438256545
1739209586.9474885;-31.141103565318915
1739209586.9474962;-45.120503652039325
1739209586.9475036;-38.13080360867914
1739209586.947511;-38.13080360867914
1739209586.9475183;-33.981070128970906
1739209586.9475257;-45.120503652039325
1739209586.9475331;-38.13080360867914
1739209586.9475408;-45.120503652039325
1739209586.9475482;-38.13080360867914
1739209586.9475555;-45.120503652039325
1739209586.947563;-45.120503652039325
1739209586.9475703;-38.13080360867914
1739209586.9475777;-45.120503652039325
1739209586.9475853;-35.57807855764607
1739209586.9475927;-45.120503652039325
1739209586.9476001;-38.13080360867914
1739209586.9476075;-26.991370085610736
1739209586.947615;-38.13080360867914
1739209586.9476223;-45.120503652039325
1739209586.94763;-38.13080360867914
1739209586.9476373;-38.13080360867914
1739209586.9476447;-38.13080360867914
1739209586.947652;-35.57807855764607
1739209586.9476595;-38.13080360867914
1739209586.947667;-35.57807855764607
1739209586.9476745;-45.120503652039325
1739209586.947682;-38.13080360867914
1739209586.9476893;-45.120503652039325
1739209586.9476967;-45.120503652039325
1739209586.947704;-38.13080360867914
1739209586.9477115;-45.120503652039325
1739209586.947719;-45.120503652039325
1739209586.9477265;-26.035653463252796
1739209586.9477339;-38.13080360867914
1739209586.9477413;-45.120503652039325
1739209586.9477487;-38.13080360867914
1739209586.947756;-32.816014438256545
1739209586.9477637;-38.13080360867914
1739209586.947771;-45.120503652039325
1739209586.9477785;-45.120503652039325
1739209586.9477859;-35.57807855764607
1739209586.9477932;-45.120503652039325
1739209586.9478006;-35.57807855764607
1739209586.9478083;-38.13080360867914
1739209586.9478157;-45.120503652039325
1739209586.947823;-38.13080360867914
1739209586.9478304;-45.120503652039325
1739209586.9478378;-45.120503652039325
1739209586.9478452;-28.21854285175415
1739209586.9478528;-32.816014438256545
1739209586.9478602;-45.120503652039325
1739209586.9478676;-38.13080360867914
1739209586.947875;-31.141103565318893
1739209586.9478824;-38.13080360867914
1739209586.9478898;-45.120503652039325
1739209586.9478974;-38.13080360867914
1739209586.9479048;-38.13080360867914
1739209586.9479122;-45.120503652039325
1739209586.9479196;-45.120503652039325
1739209586.947927;-38.13080360867914
1739209586.9479344;-45.120503652039325
1739209586.947942;-38.13080360867914
1739209586.9479494;-38.13080360867914
1739209586.9479568;-38.13080360867914
1739209586.9479642;-32.816014438256545
1739209586.9479716;-38.13080360867914
1739209586.947979;-45.120503652039325
1739209586.9479866;-35.57807855764607
1739209586.947994;-38.13080360867914
1739209586.9480014;-45.120503652039325
1739209586.9480088;-45.120503652039325
1739209586.9480162;-38.13080360867914
1739209586.9480236;-38.13080360867914
1739209586.9480312;-38.13080360867914
1739209586.9480386;-38.13080360867914
1739209586.948046;-45.120503652039325
1739209586.9480534;-38.13080360867914
1739209586.9480608;-38.13080360867914
1739209586.9480681;-38.13080360867914
1739209586.9480758;-33.981070128970906
1739209586.9480832;-45.120503652039325
1739209586.9480906;-38.13080360867914
1739209586.948098;-38.13080360867914
1739209586.9481053;-38.13080360867914
1739209586.9481127;-45.120503652039325
1739209586.9481204;-45.120503652039325
1739209586.9481277;-38.13080360867914
1739209586.9481351;-45.120503652039325
1739209586.9481425;-38.13080360867914
1739209586.94815;-32.816014438256545
1739209586.9481573;-45.120503652039325
1739209586.948165;-38.13080360867914
1739209586.9481723;-35.57807855764607
1739209586.9481797;-35.57807855764607
1739209586.948187;-45.120503652039325
1739209586.9481945;-45.120503652039325
1739209586.948202;-45.120503652039325
1739209586.9482095;-45.120503652039325
1739209586.948217;-38.13080360867914
1739209586.9482243;-45.120503652039325
1739209586.9482317;-45.120503652039325
1739209586.948239;-45.120503652039325
1739209586.9482465;-33.981070128970906
1739209586.948254;-38.13080360867914
1739209586.9482615;-35.57807855764607
1739209586.948269;-33.981070128970906
1739209586.9482763;-45.120503652039325
1739209586.9482837;-38.13080360867914
1739209586.948291;-35.57807855764607
1739209586.9482987;-35.57807855764607
1739209586.948306;-45.120503652039325
1739209586.9483135;-45.120503652039325
1739209586.9483209;-38.13080360867914
1739209586.9483283;-45.120503652039325
1739209586.9483356;-45.120503652039325
1739209586.9483433;-45.120503652039325
1739209586.9483507;-38.13080360867914
1739209586.948358;-38.13080360867914
1739209586.9483654;-38.13080360867914
1739209586.9483728;-45.120503652039325
1739209586.9483802;-38.13080360867914
1739209586.9483879;-35.57807855764607
1739209586.9483953;-38.13080360867914
1739209586.9484026;-38.13080360867914
1739209586.94841;-45.120503652039325
1739209586.9484174;-38.13080360867914
1739209586.9484248;-38.13080360867914
1739209586.9484324;-45.120503652039325
1739209586.9484398;-45.120503652039325
1739209586.9484472;-45.120503652039325
1739209586.9484546;-45.120503652039325
1739209586.948462;-38.13080360867914
1739209586.9484694;-38.13080360867914
1739209586.948477;-45.120503652039325
1739209586.9484844;-45.120503652039325
1739209586.9484918;-33.981070128970906
1739209586.9484992;-45.120503652039325
1739209586.9485066;-33.981070128970906
1739209586.948514;-45.120503652039325
1739209586.9485216;-38.13080360867914
1739209586.948529;-45.120503652039325
1739209586.9485364;-38.13080360867914
1739209586.9485438;-32.816014438256545
1739209586.9485512;-38.13080360867914
1739209586.9485586;-45.120503652039325
1739209586.9485662;-38.13080360867914
1739209586.9485736;-38.13080360867914
1739209586.948581;-45.120503652039325
1739209586.9485884;-45.120503652039325
1739209586.9485958;-45.120503652039325
1739209586.9486032;-45.120503652039325
1739209586.9486108;-38.13080360867914
1739209586.9486182;-38.13080360867914
1739209586.9486256;-31.141103565318915
1739209586.948633;-45.120503652039325
1739209586.9486403;-38.13080360867914
1739209586.9486477;-38.13080360867914
1739209586.9486554;-38.13080360867914
1739209586.9486628;-32.816014438256545
1739209586.9486701;-38.13080360867914
1739209586.9486775;-45.120503652039325
1739209586.948685;-38.13080360867914
1739209586.9486923;-35.57807855764607
1739209586.9487;-45.120503652039325
1739209586.9487073;-45.120503652039325
1739209586.9487147;-45.120503652039325
1739209586.9487221;-45.120503652039325
1739209586.9487295;-45.120503652039325
1739209586.948737;-38.13080360867914
1739209586.9487443;-38.13080360867914
1739209586.948752;-45.120503652039325
1739209586.9487593;-45.120503652039325
1739209586.9487667;-45.120503652039325
1739209586.948774;-38.13080360867914
1739209586.9487815;-45.120503652039325
1739209586.948789;-38.13080360867914
1739209586.9487965;-45.120503652039325
1739209586.948804;-38.13080360867914
1739209586.9488113;-32.816014438256545
1739209586.9488187;-45.120503652039325
1739209586.948826;-45.120503652039325
1739209586.9488335;-38.13080360867914
1739209586.948841;-38.13080360867914
1739209586.9488485;-38.13080360867914
1739209586.9488559;-32.816014438256545
1739209586.9488633;-38.13080360867914
1739209586.9488707;-45.120503652039325
1739209586.948878;-45.120503652039325
1739209586.9488857;-38.13080360867914
1739209586.948893;-38.13080360867914
1739209586.9489005;-45.120503652039325
1739209586.9489079;-38.13080360867914
1739209586.9489152;-38.13080360867914
1739209586.9489226;-45.120503652039325
1739209586.9489303;-28.21854285175415
1739209586.9489377;-38.13080360867914
1739209586.948945;-45.120503652039325
1739209586.9489524;-45.120503652039325
1739209586.9489598;-35.57807855764607
